,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,49243000.0,52329000.0,64534000.0,74352000.0,,,,,,,,,49243000.0,64534000.0,,,,,,52329000.0,,,,,49243000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,29511000.0,38756000.0,40564000.0,52835000.0,,,,,,,,,29511000.0,40564000.0,,,,,,38756000.0,,,,,29511000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,10689000.0,10916000.0,6353000.0,4247000.0,,,,,,,,,10689000.0,6353000.0,,,,,,10916000.0,,,,,10689000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,31583000.0,25115000.0,17460000.0,12742000.0,,,,,,,,,31583000.0,17460000.0,,,,,,25115000.0,,,,,31583000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,85754000.0,100567000.0,116975000.0,109162000.0,,,,,,,,,100567000.0,109162000.0,,,,,85754000.0,109162000.0,,,,,109162000.0,,,,109162000.0,,109162000.0,109162000.0,109162000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,62296000.0,249624000.0,412047000.0,551834000.0,,,,,,,,,249624000.0,551834000.0,,,,,62296000.0,551834000.0,,,,,551834000.0,,,,551834000.0,,551834000.0,551834000.0,551834000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,3285000.0,9478000.0,14630000.0,16328000.0,,,,,,,,,9478000.0,16328000.0,,,,,3285000.0,16328000.0,,,,,16328000.0,,,,16328000.0,,16328000.0,16328000.0,16328000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,380214000.0,400780000.0,586221000.0,745976000.0,,,,,,,,,400780000.0,745976000.0,,,,,380214000.0,745976000.0,,,,,745976000.0,,,,745976000.0,,745976000.0,745976000.0,745976000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,224217000.0,358560000.0,447812000.0,,,,,,,,,224217000.0,447812000.0,,,,,,447812000.0,,,,,447812000.0,,,,447812000.0,,447812000.0,447812000.0,447812000.0,CommonMetricExtracted
