,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1193625000.0,1151921000.0,1248623000.0,1489637000.0,2122245000.0,2207885000.0,2017853000.0,1831421000.0,,,,,,,1193625000.0,1248623000.0,2122245000.0,2017853000.0,,,,,1248623000.0,2207885000.0,,,,1193625000.0,2122245000.0,,,,1489637000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,390623000.0,395161000.0,422298000.0,430305000.0,440672000.0,634311000.0,655566000.0,673344000.0,662896000.0,722502000.0,867441000.0,1225816000.0,1386147000.0,1260327000.0,1096668000.0,,,,395161000.0,430305000.0,634311000.0,673344000.0,722502000.0,1225816000.0,1260327000.0,,390623000.0,430305000.0,655566000.0,722502000.0,1386147000.0,,,430305000.0,673344000.0,1225816000.0,,390623000.0,634311000.0,867441000.0,,634311000.0,390623000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,171231000.0,173531000.0,182512000.0,186720000.0,194847000.0,299801000.0,318175000.0,317527000.0,298810000.0,319636000.0,363227000.0,533268000.0,571661000.0,500840000.0,485016000.0,,,,173531000.0,186720000.0,299801000.0,317527000.0,319636000.0,533268000.0,500840000.0,,171231000.0,186720000.0,318175000.0,319636000.0,571661000.0,,,186720000.0,317527000.0,533268000.0,,171231000.0,299801000.0,363227000.0,,299801000.0,171231000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,-52000.0,-1550000.0,14839000.0,15471000.0,605000.0,644000.0,-84000.0,5888000.0,-5332000.0,-805000.0,6793000.0,,,,,,-1550000.0,15471000.0,644000.0,5888000.0,-805000.0,,,,14839000.0,644000.0,-5332000.0,,,,15471000.0,5888000.0,,,-1550000.0,-84000.0,,-1550000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,7771000.0,9073000.0,8403000.0,10930000.0,15579000.0,11968000.0,-2769000.0,8217000.0,18844000.0,30463000.0,1492000.0,-2060000.0,203000.0,,,,,9073000.0,10930000.0,11968000.0,8217000.0,30463000.0,-2060000.0,,,9073000.0,15579000.0,8217000.0,1492000.0,,,9073000.0,11968000.0,30463000.0,,,10930000.0,18844000.0,,10930000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,44041000.0,40791000.0,34766000.0,58998000.0,118652000.0,29610000.0,-44702000.0,-6105000.0,,,,,,,44041000.0,34766000.0,118652000.0,-44702000.0,,,,,34766000.0,29610000.0,,,,44041000.0,118652000.0,,,,58998000.0,,,,,CommonMetricExtracted
Cash,,,,,29562000.0,27843000.0,21442000.0,28854000.0,154000.0,5203000.0,27940000.0,27826000.0,149732000.0,147240000.0,172923000.0,240506000.0,173573000.0,31465000.0,126807000.0,159437000.0,,,27843000.0,28854000.0,5203000.0,27826000.0,147240000.0,240506000.0,31465000.0,159437000.0,29562000.0,28854000.0,27940000.0,147240000.0,173573000.0,159437000.0,,28854000.0,27826000.0,240506000.0,159437000.0,29562000.0,5203000.0,172923000.0,159437000.0,5203000.0,159437000.0,159437000.0,159437000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,11916000.0,14968000.0,14957000.0,13339000.0,16191000.0,19123000.0,14073000.0,12935000.0,12374000.0,15178000.0,20831000.0,23812000.0,20419000.0,18024000.0,,,,14968000.0,13339000.0,19123000.0,12935000.0,15178000.0,23812000.0,18024000.0,,14968000.0,16191000.0,12935000.0,20831000.0,18024000.0,,14968000.0,19123000.0,15178000.0,18024000.0,,13339000.0,12374000.0,18024000.0,13339000.0,18024000.0,18024000.0,18024000.0,CommonMetricExtracted
