,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,-155000.0,197000.0,3223000.0,7109000.0,4070000.0,5475000.0,92000.0,,,,,,,,197000.0,7109000.0,5475000.0,,,,,197000.0,4070000.0,,,,,7109000.0,,,,3223000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,49775000.0,48365000.0,44434000.0,43110000.0,40959000.0,40915000.0,53827000.0,72498000.0,80527000.0,91766000.0,101986000.0,112327000.0,116459000.0,142086000.0,213335000.0,227732000.0,,,49775000.0,44434000.0,40959000.0,53827000.0,80527000.0,101986000.0,116459000.0,213335000.0,,48365000.0,40959000.0,72498000.0,101986000.0,142086000.0,,49775000.0,40959000.0,80527000.0,116459000.0,,48365000.0,53827000.0,112327000.0,,53827000.0,48365000.0,,CommonMetricExtracted
Interest,,,,,29655000.0,30964000.0,33728000.0,35764000.0,39057000.0,38162000.0,53979000.0,59452000.0,61567000.0,62717000.0,65455000.0,73974000.0,79176000.0,94411000.0,111796000.0,106691000.0,,,29655000.0,33728000.0,39057000.0,53979000.0,61567000.0,65455000.0,79176000.0,111796000.0,,30964000.0,39057000.0,59452000.0,65455000.0,94411000.0,,29655000.0,39057000.0,61567000.0,79176000.0,,30964000.0,53979000.0,73974000.0,,53979000.0,30964000.0,,CommonMetricExtracted
Taxes,,,,,9399000.0,8755000.0,8058000.0,8099000.0,7062000.0,7282000.0,5903000.0,5058000.0,4899000.0,4928000.0,4840000.0,5423000.0,11399000.0,20843000.0,26231000.0,26838000.0,,,9399000.0,8058000.0,7062000.0,5903000.0,4899000.0,4840000.0,11399000.0,26231000.0,,8755000.0,7062000.0,5058000.0,4840000.0,20843000.0,,9399000.0,7062000.0,4899000.0,11399000.0,,8755000.0,5903000.0,5423000.0,,5903000.0,8755000.0,,CommonMetricExtracted
NetIncome,,,,,5842000.0,8991000.0,9218000.0,9932000.0,7780000.0,8965000.0,8055000.0,20557000.0,22711000.0,32569000.0,35760000.0,41876000.0,51844000.0,60597000.0,49932000.0,45949000.0,,,5842000.0,9218000.0,7780000.0,8055000.0,22711000.0,35760000.0,51844000.0,49932000.0,,8991000.0,7780000.0,20557000.0,35760000.0,60597000.0,,5842000.0,7780000.0,22711000.0,51844000.0,,8991000.0,8055000.0,41876000.0,,8055000.0,8991000.0,,CommonMetricExtracted
Cash,,,,,,37305000.0,52422000.0,37759000.0,27513000.0,27428000.0,56014000.0,41778000.0,57614000.0,57926000.0,70760000.0,254621000.0,112790000.0,75551000.0,103658000.0,85738000.0,,,37305000.0,37759000.0,27428000.0,41778000.0,57926000.0,254621000.0,75551000.0,85738000.0,,37759000.0,56014000.0,57926000.0,112790000.0,85738000.0,,37759000.0,41778000.0,254621000.0,85738000.0,,27428000.0,70760000.0,85738000.0,27428000.0,85738000.0,85738000.0,85738000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,511000.0,1769000.0,355000.0,272000.0,1237000.0,2600000.0,4766000.0,33931000.0,27836000.0,6399965000.0,6541697000.0,,,,,511000.0,355000.0,1237000.0,4766000.0,27836000.0,6541697000.0,,,1769000.0,1237000.0,33931000.0,6541697000.0,,,355000.0,4766000.0,6541697000.0,,511000.0,2600000.0,6541697000.0,511000.0,6541697000.0,6541697000.0,6541697000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,13944000.0,16461000.0,18429000.0,17187000.0,17049000.0,24190000.0,23225000.0,22286000.0,21211000.0,23817000.0,25620000.0,37520000.0,39173000.0,44364000.0,52274000.0,,,13944000.0,18429000.0,17049000.0,23225000.0,21211000.0,25620000.0,39173000.0,52274000.0,,18429000.0,24190000.0,21211000.0,37520000.0,52274000.0,,18429000.0,23225000.0,25620000.0,52274000.0,,17049000.0,23817000.0,52274000.0,17049000.0,52274000.0,52274000.0,52274000.0,CommonMetricExtracted
Goodwill,,,,,,3709000.0,3709000.0,3709000.0,6354000.0,5591000.0,35090000.0,37164000.0,38201000.0,38201000.0,38201000.0,45775000.0,94240000.0,94640000.0,167446000.0,167450000.0,,,3709000.0,3709000.0,5591000.0,37164000.0,38201000.0,45775000.0,94640000.0,167450000.0,,3709000.0,35090000.0,38201000.0,94240000.0,167450000.0,,3709000.0,37164000.0,45775000.0,167450000.0,,5591000.0,38201000.0,167450000.0,5591000.0,167450000.0,167450000.0,167450000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,3222000.0,7821000.0,7990000.0,7168000.0,5751000.0,4444000.0,3842000.0,8366000.0,7026000.0,22842000.0,20750000.0,,,,,3222000.0,7990000.0,5751000.0,3842000.0,7026000.0,20750000.0,,,7821000.0,5751000.0,8366000.0,20750000.0,,,7990000.0,3842000.0,20750000.0,,3222000.0,4444000.0,20750000.0,3222000.0,20750000.0,20750000.0,20750000.0,CommonMetricExtracted
TotalAssets,,,,,,982751000.0,1067871000.0,1139695000.0,1137326000.0,1136967000.0,1869902000.0,1966113000.0,2159069000.0,2328864000.0,2449158000.0,3071148000.0,4142749000.0,4082200000.0,5078350000.0,5118924000.0,,,982751000.0,1139695000.0,1136967000.0,1966113000.0,2328864000.0,3071148000.0,4082200000.0,5118924000.0,,1139695000.0,1869902000.0,2328864000.0,4142749000.0,5118924000.0,,1139695000.0,1966113000.0,3071148000.0,5118924000.0,,1136967000.0,2449158000.0,5118924000.0,1136967000.0,5118924000.0,5118924000.0,5118924000.0,CommonMetricExtracted
