,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,35582000.0,39368000.0,139431000.0,48990000.0,184380000.0,153619000.0,224394000.0,42694000.0,211732000.0,237926000.0,,,,,,35582000.0,139431000.0,184380000.0,224394000.0,211732000.0,,,,39368000.0,184380000.0,42694000.0,,,,139431000.0,224394000.0,,,35582000.0,153619000.0,,35582000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,27542000.0,120724000.0,122367000.0,98983000.0,103586000.0,83504000.0,77118000.0,54591000.0,51495000.0,51233000.0,,,,,,27542000.0,122367000.0,103586000.0,77118000.0,51495000.0,,,,120724000.0,103586000.0,54591000.0,,,,122367000.0,77118000.0,,,27542000.0,83504000.0,,27542000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,-4368000.0,-104505000.0,24196000.0,-58762000.0,24713000.0,2838000.0,12985000.0,-36245000.0,109298000.0,205096000.0,,,,,,-4368000.0,24196000.0,24713000.0,12985000.0,109298000.0,,,,-104505000.0,24713000.0,-36245000.0,,,,24196000.0,12985000.0,,,-4368000.0,2838000.0,,-4368000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,-546000.0,-7888000.0,0.0,9183000.0,2445000.0,1744000.0,-325000.0,-1471000.0,-4418000.0,27462000.0,,,,,,-546000.0,0.0,2445000.0,-325000.0,-4418000.0,,,,-7888000.0,2445000.0,-1471000.0,,,,0.0,-325000.0,,,-546000.0,1744000.0,,-546000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,-3822000.0,-96617000.0,24196000.0,-67945000.0,22268000.0,1094000.0,13310000.0,-34774000.0,113716000.0,177634000.0,,,,,,-3822000.0,24196000.0,22268000.0,13310000.0,113716000.0,,,,-96617000.0,22268000.0,-34774000.0,,,,24196000.0,13310000.0,,,-3822000.0,1094000.0,,-3822000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,152221000.0,108657000.0,62304000.0,848478000.0,,,298144000.0,265462000.0,131771000.0,353801000.0,430875000.0,,,,,152221000.0,62304000.0,,298144000.0,131771000.0,430875000.0,,,108657000.0,,265462000.0,430875000.0,,,62304000.0,298144000.0,430875000.0,,152221000.0,,430875000.0,152221000.0,430875000.0,430875000.0,430875000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
