,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,104900000.0,144563000.0,200462000.0,290874000.0,354330000.0,432725000.0,505988000.0,543676000.0,,,,,,,104900000.0,200462000.0,354330000.0,505988000.0,,,,,200462000.0,432725000.0,,,,104900000.0,354330000.0,,,,290874000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,48672000.0,65499000.0,88322000.0,120007000.0,167002000.0,222944000.0,239660000.0,247738000.0,,,,,,,48672000.0,88322000.0,167002000.0,239660000.0,,,,,88322000.0,222944000.0,,,,48672000.0,167002000.0,,,,120007000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,40818000.0,50134000.0,71097000.0,101181000.0,152645000.0,179869000.0,191773000.0,198610000.0,,,,,,,40818000.0,71097000.0,152645000.0,191773000.0,,,,,71097000.0,179869000.0,,,,40818000.0,152645000.0,,,,101181000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,28989000.0,34618000.0,46492000.0,74814000.0,126859000.0,155308000.0,152190000.0,137980000.0,,,,,,,28989000.0,46492000.0,126859000.0,152190000.0,,,,,46492000.0,155308000.0,,,,28989000.0,126859000.0,,,,74814000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,-539000.0,-741000.0,-2561000.0,-279000.0,356000.0,-29000.0,-1832000.0,-1028000.0,,,,,,,-539000.0,-2561000.0,356000.0,-1832000.0,,,,,-2561000.0,-29000.0,,,,-539000.0,356000.0,,,,-279000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,5887000.0,4051000.0,2747000.0,,,,,,,,,,4051000.0,,,,,,5887000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,208000.0,185000.0,492000.0,-11480000.0,69000.0,94000.0,-221000.0,2604000.0,,,,,,,208000.0,492000.0,69000.0,-221000.0,,,,,492000.0,94000.0,,,,208000.0,69000.0,,,,-11480000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,-32450000.0,-30935000.0,-51550000.0,-95932000.0,-222697000.0,-190774000.0,-133088000.0,-158058000.0,,,,,,,-32450000.0,-51550000.0,-222697000.0,-133088000.0,,,,,-51550000.0,-190774000.0,,,,-32450000.0,-222697000.0,,,,-95932000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,31309000.0,36963000.0,,,166068000.0,143391000.0,107921000.0,286175000.0,,,,,,,36963000.0,,143391000.0,286175000.0,,,,36963000.0,166068000.0,286175000.0,,,,,286175000.0,,,,286175000.0,,286175000.0,286175000.0,286175000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,24729000.0,,,64625000.0,89578000.0,120498000.0,115988000.0,,,,,,,24729000.0,,89578000.0,115988000.0,,,,24729000.0,64625000.0,115988000.0,,,,,115988000.0,,,,115988000.0,,115988000.0,115988000.0,115988000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,8896000.0,,,32160000.0,28933000.0,20455000.0,28325000.0,,,,,,,8896000.0,,28933000.0,28325000.0,,,,8896000.0,32160000.0,28325000.0,,,,,28325000.0,,,,28325000.0,,28325000.0,28325000.0,28325000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,117267000.0,,,624648000.0,636483000.0,463673000.0,440195000.0,,,,,,,117267000.0,,636483000.0,440195000.0,,,,117267000.0,624648000.0,440195000.0,,,,,440195000.0,,,,440195000.0,,440195000.0,440195000.0,440195000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,382000.0,360000.0,,,636805000.0,670185000.0,670356000.0,670356000.0,,,,,,,360000.0,,670185000.0,670356000.0,,,,360000.0,636805000.0,670356000.0,,,,,670356000.0,,,,670356000.0,,670356000.0,670356000.0,670356000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,610000.0,,,102596000.0,82900000.0,62475000.0,42876000.0,,,,,,,610000.0,,82900000.0,42876000.0,,,,610000.0,102596000.0,42876000.0,,,,,42876000.0,,,,42876000.0,,42876000.0,42876000.0,42876000.0,CommonMetricExtracted
