,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1494900000.0,1804600000.0,2163000000.0,2594400000.0,3342200000.0,4417400000.0,5304800000.0,5955800000.0,,,,,,,1494900000.0,2163000000.0,3342200000.0,5304800000.0,,,,,2163000000.0,4417400000.0,,,,1494900000.0,3342200000.0,,,,2594400000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,85206000.0,113598000.0,147420000.0,180643000.0,231009000.0,286777000.0,337837000.0,385300000.0,450400000.0,505900000.0,570000000.0,783000000.0,1084900000.0,1237200000.0,1157600000.0,,,,113598000.0,180643000.0,286777000.0,385300000.0,505900000.0,783000000.0,1237200000.0,,85206000.0,180643000.0,337837000.0,505900000.0,1084900000.0,,,180643000.0,385300000.0,783000000.0,,85206000.0,286777000.0,570000000.0,,286777000.0,85206000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,111968000.0,145532000.0,179155000.0,224991000.0,315804000.0,470371000.0,626501000.0,701026000.0,782300000.0,926900000.0,1071900000.0,1345700000.0,1686100000.0,2006000000.0,2044800000.0,,,,145532000.0,224991000.0,470371000.0,701026000.0,926900000.0,1345700000.0,2006000000.0,,111968000.0,224991000.0,626501000.0,926900000.0,1686100000.0,,,224991000.0,701026000.0,1345700000.0,,111968000.0,470371000.0,1071900000.0,,470371000.0,111968000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,49801000.0,63577000.0,81078000.0,102660000.0,122880000.0,158129000.0,183100000.0,210614000.0,244500000.0,277100000.0,341400000.0,424200000.0,512400000.0,613800000.0,716800000.0,,,,63577000.0,102660000.0,158129000.0,210614000.0,277100000.0,424200000.0,613800000.0,,49801000.0,102660000.0,183100000.0,277100000.0,512400000.0,,,102660000.0,210614000.0,424200000.0,,49801000.0,158129000.0,341400000.0,,158129000.0,49801000.0,,CommonMetricExtracted
OperatingMargin,,,,,,56341000.0,92073000.0,104996000.0,75941000.0,61549000.0,17005000.0,43148000.0,124000000.0,254300000.0,386000000.0,541700000.0,628400000.0,955500000.0,1333700000.0,2058500000.0,,,,92073000.0,75941000.0,17005000.0,124000000.0,386000000.0,628400000.0,1333700000.0,,56341000.0,75941000.0,43148000.0,386000000.0,955500000.0,,,75941000.0,124000000.0,628400000.0,,56341000.0,17005000.0,541700000.0,,17005000.0,56341000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,0.0,0.0,14900000.0,18000000.0,21000000.0,20000000.0,,,,,,,,0.0,14900000.0,21000000.0,,,,,0.0,18000000.0,,,,,14900000.0,,,,0.0,,,,,CommonMetricExtracted
Taxes,,,,,,15096000.0,29581000.0,38160000.0,31668000.0,36206000.0,9018000.0,10961000.0,92600000.0,-80600000.0,54300000.0,53200000.0,14100000.0,30800000.0,143800000.0,283900000.0,,,,29581000.0,31668000.0,9018000.0,92600000.0,54300000.0,14100000.0,143800000.0,,15096000.0,31668000.0,10961000.0,54300000.0,30800000.0,,,31668000.0,92600000.0,14100000.0,,15096000.0,9018000.0,53200000.0,,9018000.0,15096000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,331700000.0,488500000.0,606700000.0,856600000.0,1147800000.0,1745200000.0,,,,,,,,331700000.0,606700000.0,1147800000.0,,,,,331700000.0,856600000.0,,,,,606700000.0,,,,488500000.0,,,,,CommonMetricExtracted
Cash,,,,,212458000.0,66859000.0,71990000.0,122975000.0,,283254000.0,543300000.0,709003000.0,811004000.0,1112400000.0,1222500000.0,1061800000.0,1319100000.0,1682900000.0,1397900000.0,2875900000.0,,,66859000.0,122975000.0,283254000.0,709003000.0,1112400000.0,1061800000.0,1682900000.0,2875900000.0,212458000.0,122975000.0,543300000.0,1112400000.0,1319100000.0,2875900000.0,,122975000.0,709003000.0,1061800000.0,2875900000.0,212458000.0,283254000.0,1222500000.0,2875900000.0,283254000.0,2875900000.0,2875900000.0,2875900000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,95522000.0,107642000.0,,184741000.0,259563000.0,312998000.0,348200000.0,444500000.0,544300000.0,720000000.0,807700000.0,1261700000.0,1402000000.0,1463400000.0,,,,107642000.0,184741000.0,312998000.0,444500000.0,720000000.0,1261700000.0,1463400000.0,,107642000.0,259563000.0,444500000.0,807700000.0,1463400000.0,,107642000.0,312998000.0,720000000.0,1463400000.0,,184741000.0,544300000.0,1463400000.0,184741000.0,1463400000.0,1463400000.0,1463400000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,13948000.0,13215000.0,,31143000.0,35761000.0,33306000.0,40067000.0,36800000.0,41200000.0,43300000.0,65400000.0,73100000.0,101100000.0,126100000.0,,,,13215000.0,31143000.0,33306000.0,36800000.0,43300000.0,73100000.0,126100000.0,,13215000.0,35761000.0,36800000.0,65400000.0,126100000.0,,13215000.0,33306000.0,43300000.0,126100000.0,,31143000.0,41200000.0,126100000.0,31143000.0,126100000.0,126100000.0,126100000.0,CommonMetricExtracted
Inventory,,,,,,,16249000.0,21060000.0,,69477000.0,83868000.0,106887000.0,77300000.0,90000000.0,117900000.0,139800000.0,175800000.0,264600000.0,484800000.0,315500000.0,,,,21060000.0,69477000.0,106887000.0,90000000.0,139800000.0,264600000.0,315500000.0,,21060000.0,83868000.0,90000000.0,175800000.0,315500000.0,,21060000.0,106887000.0,139800000.0,315500000.0,,69477000.0,117900000.0,315500000.0,69477000.0,315500000.0,315500000.0,315500000.0,CommonMetricExtracted
