,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,442286.0,137295.0,192387.0,104673.0,40264.0,38379.0,40300.0,52864.0,,256219.0,497896.0,105533.0,,719312.0,3174952.0,2294717.0,,,442286.0,192387.0,40264.0,40300.0,,497896.0,,3174952.0,,137295.0,40264.0,52864.0,497896.0,719312.0,,442286.0,40264.0,,,,137295.0,40300.0,105533.0,,40300.0,137295.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,-76195.0,-366433.0,-305983.0,-262827.0,-233148.0,-240322.0,-160582.0,-434766.0,-1081379.0,-466573.0,-70086.0,-431088.0,-579451.0,299826.0,2774034.0,2036845.0,,,-76195.0,-305983.0,-233148.0,-160582.0,-1081379.0,-70086.0,-579451.0,2774034.0,,-366433.0,-233148.0,-434766.0,-70086.0,299826.0,,-76195.0,-233148.0,-1081379.0,-579451.0,,-366433.0,-160582.0,-431088.0,,-160582.0,-366433.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,16264.0,15791.0,3969.0,2475.0,3794.0,4355.0,,,,46311.0,,,182037.0,282429.0,166553.0,,,16264.0,3969.0,3794.0,,,,182037.0,166553.0,,3969.0,4355.0,,,166553.0,,3969.0,,,166553.0,,3794.0,46311.0,166553.0,3794.0,166553.0,166553.0,166553.0,CommonMetricExtracted
