,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,4098.0,4213.0,3901.0,3944000.0,4222000.0,4363000.0,3817000.0,764000.0,791000.0,682000.0,590000.0,101000.0,101000.0,212000.0,152000.0,146000.0,,,4098.0,3901.0,4222000.0,3817000.0,791000.0,590000.0,101000.0,152000.0,,4213.0,4222000.0,764000.0,590000.0,212000.0,,4098.0,4222000.0,791000.0,101000.0,,4213.0,3817000.0,101000.0,,3817000.0,4213.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,519.0,33.0,-9932.0,1990.0,,,1348000.0,813000.0,29000.0,31000.0,441000.0,331000.0,414000.0,343000.0,222000.0,219000.0,,,519.0,-9932.0,,1348000.0,29000.0,441000.0,414000.0,222000.0,,33.0,,813000.0,441000.0,343000.0,,519.0,,29000.0,414000.0,,33.0,1348000.0,331000.0,,1348000.0,33.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,-2352000.0,1916000.0,78000.0,181000.0,-21000.0,-18000.0,,,,,,,,-2352000.0,78000.0,-21000.0,,,,,-2352000.0,181000.0,,,,,78000.0,,,,1916000.0,,,,,CommonMetricExtracted
Cash,,,,190.0,155.0,59.0,109.0,,,300000.0,473000.0,113000.0,419000.0,361000.0,22000.0,27000.0,252000.0,436000.0,447000.0,363000.0,,190.0,59.0,,300000.0,113000.0,361000.0,27000.0,436000.0,363000.0,155.0,,473000.0,361000.0,252000.0,363000.0,190.0,,113000.0,27000.0,363000.0,155.0,300000.0,22000.0,363000.0,300000.0,363000.0,363000.0,363000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,44000.0,,,,,,,,,,44000.0,,,,,,44000.0,,,,,44000.0,,,,44000.0,,44000.0,44000.0,44000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,383.0,296.0,610.0,2019000.0,698000.0,651000.0,438000.0,522000.0,4496000.0,4141000.0,3802000.0,3812000.0,4008000.0,459000.0,372000.0,,,383.0,610.0,698000.0,438000.0,4496000.0,3802000.0,4008000.0,372000.0,,610.0,651000.0,4496000.0,3812000.0,372000.0,,610.0,438000.0,3802000.0,372000.0,,698000.0,4141000.0,372000.0,698000.0,372000.0,372000.0,372000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,1464.0,1636.0,1614.0,1625000.0,1638000.0,937000.0,731000.0,661000.0,618000.0,668000.0,656000.0,643000.0,631000.0,629000.0,636000.0,,,1464.0,1614.0,1638000.0,731000.0,618000.0,656000.0,631000.0,636000.0,,1614.0,937000.0,618000.0,643000.0,636000.0,,1614.0,731000.0,656000.0,636000.0,,1638000.0,668000.0,636000.0,1638000.0,636000.0,636000.0,636000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,24067.0,13450.0,12484.0,13308000.0,12274000.0,8875000.0,7178000.0,4205000.0,7882000.0,5790000.0,4611000.0,4455000.0,4639000.0,4630000.0,4594000.0,,,24067.0,12484.0,12274000.0,7178000.0,7882000.0,4611000.0,4639000.0,4594000.0,,12484.0,8875000.0,7882000.0,4455000.0,4594000.0,,12484.0,7178000.0,4611000.0,4594000.0,,12274000.0,5790000.0,4594000.0,12274000.0,4594000.0,4594000.0,4594000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,239.0,839.0,211.0,1086000.0,902000.0,392000.0,297000.0,475000.0,91000.0,390000.0,112000.0,60000.0,63000.0,75000.0,57000.0,,,239.0,211.0,902000.0,297000.0,91000.0,112000.0,63000.0,57000.0,,211.0,392000.0,91000.0,60000.0,57000.0,,211.0,297000.0,112000.0,57000.0,,902000.0,390000.0,57000.0,902000.0,57000.0,57000.0,57000.0,CommonMetricExtracted
CurrentLiability,,,,,,395.0,1256.0,477.0,2236000.0,2012000.0,1374000.0,452000.0,585000.0,182000.0,469000.0,196000.0,92000.0,103000.0,114000.0,94000.0,,,395.0,477.0,2012000.0,452000.0,182000.0,196000.0,103000.0,94000.0,,477.0,1374000.0,182000.0,92000.0,94000.0,,477.0,452000.0,196000.0,94000.0,,2012000.0,469000.0,94000.0,2012000.0,94000.0,94000.0,94000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,18271.0,6478.0,6646.0,7072000.0,6293000.0,3671000.0,3719000.0,4609000.0,4761000.0,2409000.0,4325000.0,4395000.0,4576000.0,4555000.0,4537000.0,,,18271.0,6646.0,6293000.0,3719000.0,4761000.0,4325000.0,4576000.0,4537000.0,,6646.0,3671000.0,4761000.0,4395000.0,4537000.0,,6646.0,3719000.0,4325000.0,4537000.0,,6293000.0,2409000.0,4537000.0,6293000.0,4537000.0,4537000.0,4537000.0,CommonMetricExtracted
OperatingCashFlow,,,,,736.0,104.0,566.0,501000.0,1602000.0,-282000.0,579000.0,-314000.0,202000.0,-637000.0,369000.0,-535000.0,123000.0,184000.0,22000.0,-64000.0,,,736.0,566.0,1602000.0,579000.0,202000.0,369000.0,123000.0,22000.0,,104.0,1602000.0,-314000.0,369000.0,184000.0,,736.0,1602000.0,202000.0,123000.0,,104.0,579000.0,-535000.0,,579000.0,104.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,-823.0,-267.0,-1336.0,-209.0,-401.0,-954000.0,-112000.0,686000.0,14000.0,-3960000.0,-56000.0,593000.0,276000.0,,-11000.0,-20000.0,,,-823.0,-1336.0,-401.0,-112000.0,14000.0,-56000.0,276000.0,-11000.0,,-267.0,-401.0,686000.0,-56000.0,,,-823.0,-401.0,14000.0,276000.0,,-267.0,-112000.0,593000.0,,-112000.0,-267.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,0.12664714494875548,0.007832898172323759,-2.5460138426044603,0.0005045638945233266,,,0.35315692952580563,1.0641361256544504,0.03666245259165613,0.045454545454545456,0.747457627118644,3.277227722772277,4.099009900990099,1.6179245283018868,1.4605263157894737,1.5,,,0.12664714494875548,-2.5460138426044603,,0.35315692952580563,0.03666245259165613,0.747457627118644,4.099009900990099,1.4605263157894737,,0.007832898172323759,,1.0641361256544504,0.747457627118644,1.6179245283018868,,0.12664714494875548,,0.03666245259165613,4.099009900990099,,0.007832898172323759,0.35315692952580563,3.277227722772277,,0.35315692952580563,0.007832898172323759,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,-3.986440677966102,18.97029702970297,0.7722772277227723,0.8537735849056604,-0.13815789473684212,-0.1232876712328767,,,,,,,,-3.986440677966102,0.7722772277227723,-0.13815789473684212,,,,,-3.986440677966102,0.8537735849056604,,,,,0.7722772277227723,,,,18.97029702970297,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,0.15404699738903394,0.36824324324324326,,,0.4297994269340974,0.7265745007680492,0.2579908675799087,0.8026819923371648,0.08029359430604982,0.005312726394590679,0.0071015255128879535,0.06610703043022036,0.10878243512974052,0.9738562091503268,0.9758064516129032,,,0.15404699738903394,,0.4297994269340974,0.2579908675799087,0.08029359430604982,0.0071015255128879535,0.10878243512974052,0.9758064516129032,,,0.7265745007680492,0.08029359430604982,0.06610703043022036,0.9758064516129032,,,0.2579908675799087,0.0071015255128879535,0.9758064516129032,,0.4297994269340974,0.005312726394590679,0.9758064516129032,0.4297994269340974,0.9758064516129032,0.9758064516129032,0.9758064516129032,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,0.11827956989247312,,,,,,,,,,0.11827956989247312,,,,,,0.11827956989247312,,,,,0.11827956989247312,,,,0.11827956989247312,,0.11827956989247312,0.11827956989247312,0.11827956989247312,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,0.015913907009598206,0.02200743494423792,0.04886254405639218,0.1517132551848512,0.0568681766335343,0.07335211267605633,0.061019782669267206,0.12413793103448276,0.5704136006089825,0.7151986183074266,0.8245499891563652,0.8556677890011223,0.863979305884889,0.09913606911447084,0.08097518502394427,,,0.015913907009598206,0.04886254405639218,0.0568681766335343,0.061019782669267206,0.5704136006089825,0.8245499891563652,0.863979305884889,0.08097518502394427,,0.04886254405639218,0.07335211267605633,0.5704136006089825,0.8556677890011223,0.08097518502394427,,0.04886254405639218,0.061019782669267206,0.8245499891563652,0.08097518502394427,,0.0568681766335343,0.7151986183074266,0.08097518502394427,0.0568681766335343,0.08097518502394427,0.08097518502394427,0.08097518502394427,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,0.06083018240744588,0.12163568773234201,0.1292854854213393,0.12210700330628194,0.13345282711422518,0.1055774647887324,0.10183895235441627,0.1571938168846611,0.07840649581324537,0.1153713298791019,0.14226848839731077,0.14433221099887766,0.136020694115111,0.13585313174946004,0.13844144536351763,,,0.06083018240744588,0.1292854854213393,0.13345282711422518,0.10183895235441627,0.07840649581324537,0.14226848839731077,0.136020694115111,0.13844144536351763,,0.1292854854213393,0.1055774647887324,0.07840649581324537,0.14433221099887766,0.13844144536351763,,0.1292854854213393,0.10183895235441627,0.14226848839731077,0.13844144536351763,,0.13345282711422518,0.1153713298791019,0.13844144536351763,0.13345282711422518,0.13844144536351763,0.13844144536351763,0.13844144536351763,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,0.6050632911392405,0.6679936305732485,0.44234800838574423,0.4856887298747764,0.44831013916500995,0.2852983988355167,0.6570796460176991,0.811965811965812,0.5,0.8315565031982942,0.5714285714285714,0.6521739130434783,0.6116504854368932,0.6578947368421053,0.6063829787234043,,,0.6050632911392405,0.44234800838574423,0.44831013916500995,0.6570796460176991,0.5,0.5714285714285714,0.6116504854368932,0.6063829787234043,,0.44234800838574423,0.2852983988355167,0.5,0.6521739130434783,0.6063829787234043,,0.44234800838574423,0.6570796460176991,0.5714285714285714,0.6063829787234043,,0.44831013916500995,0.8315565031982942,0.6063829787234043,0.44831013916500995,0.6063829787234043,0.6063829787234043,0.6063829787234043,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TotalLiabilitiesPercentOfTotalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
EquityPercentOfTotalAssets,,,,,,0.7591723106328168,0.481635687732342,0.5323614226209549,0.5314096783889389,0.5127097930584976,0.41363380281690143,0.5181108943995542,1.096076099881094,0.604034509007866,0.4160621761658031,0.9379744090219041,0.9865319865319865,0.9864194869583962,0.9838012958963283,0.9875925119721376,,,0.7591723106328168,0.5323614226209549,0.5127097930584976,0.5181108943995542,0.604034509007866,0.9379744090219041,0.9864194869583962,0.9875925119721376,,0.5323614226209549,0.41363380281690143,0.604034509007866,0.9865319865319865,0.9875925119721376,,0.5323614226209549,0.5181108943995542,0.9379744090219041,0.9875925119721376,,0.5127097930584976,0.4160621761658031,0.9875925119721376,0.5127097930584976,0.9875925119721376,0.9875925119721376,0.9875925119721376,CommonMetricCalculated
NetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CapitalExpendituresPercentOfInvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InvestingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
DividendsPaidPercentOfFinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FinancingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetCashFlowPercentOfNetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FreeCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FreeCashFlowPercentOfNetProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetOperatingProfitAfterTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetWorkingCapital,,,,,,-12.0,-960.0,133.0,-217000.0,-1314000.0,-723000.0,-14000.0,-63000.0,4314000.0,3672000.0,3606000.0,3720000.0,3905000.0,345000.0,278000.0,,,-12.0,133.0,-1314000.0,-14000.0,4314000.0,3606000.0,3905000.0,278000.0,,133.0,-723000.0,4314000.0,3720000.0,278000.0,,133.0,-14000.0,3606000.0,278000.0,,-1314000.0,3672000.0,278000.0,-1314000.0,278000.0,278000.0,278000.0,CommonMetricCalculated
InvestedCapital,,,,,,1452.0,676.0,1747.0,1408000.0,324000.0,214000.0,717000.0,598000.0,4932000.0,4340000.0,4262000.0,4363000.0,4536000.0,974000.0,914000.0,,,1452.0,1747.0,324000.0,717000.0,4932000.0,4262000.0,4536000.0,914000.0,,1747.0,214000.0,4932000.0,4363000.0,914000.0,,1747.0,717000.0,4262000.0,914000.0,,324000.0,4340000.0,914000.0,,914000.0,914000.0,914000.0,CommonMetricCalculated
