,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3047474000.0,3146480000.0,1526024000.0,1867909000.0,3405670000.0,3208083000.0,2945303000.0,2663550000.0,2509315000.0,,,,,,,3146480000.0,1867909000.0,3208083000.0,2663550000.0,,,,3047474000.0,1867909000.0,2945303000.0,,,,3146480000.0,3208083000.0,,,,3405670000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1927895000.0,1959638000.0,865234000.0,1079593000.0,2034272000.0,1901564000.0,1860353000.0,1692031000.0,1545584000.0,,,,,,,1959638000.0,1079593000.0,1901564000.0,1692031000.0,,,,1927895000.0,1079593000.0,1860353000.0,,,,1959638000.0,1901564000.0,,,,2034272000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,211829000.0,406282000.0,795548000.0,836306000.0,505282000.0,606917000.0,999789000.0,902064000.0,852488000.0,735339000.0,726028000.0,,,,,,406282000.0,836306000.0,606917000.0,902064000.0,735339000.0,,,,795548000.0,606917000.0,852488000.0,,,,836306000.0,902064000.0,,,406282000.0,999789000.0,,406282000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,-116000.0,-350000.0,-1621000.0,973000.0,838000.0,426000.0,16494000.0,18701000.0,5707000.0,5429000.0,1317000.0,,,,,,-350000.0,973000.0,426000.0,18701000.0,5429000.0,,,,-1621000.0,426000.0,5707000.0,,,,973000.0,18701000.0,,,-350000.0,16494000.0,,-350000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,108366000.0,111776000.0,104697000.0,,,,,,,,,,111776000.0,,,,,,108366000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,-4927000.0,4688000.0,-819000.0,226395000.0,-1420000.0,15083000.0,41971000.0,9825000.0,-161229000.0,35690000.0,9377000.0,,,,,,4688000.0,226395000.0,15083000.0,9825000.0,35690000.0,,,,-819000.0,15083000.0,-161229000.0,,,,226395000.0,9825000.0,,,4688000.0,41971000.0,,4688000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,-1348000.0,-1918000.0,-1209000.0,-253000.0,-103000.0,-33000.0,,,,,,,,-1348000.0,-1209000.0,-103000.0,,,,,-1348000.0,-253000.0,,,,,-1209000.0,,,,-1918000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,134096000.0,78596000.0,123709000.0,196696000.0,172246000.0,120589000.0,48651000.0,156042000.0,170725000.0,130756000.0,94255000.0,100180000.0,106299000.0,,,,134096000.0,123709000.0,172246000.0,48651000.0,170725000.0,94255000.0,106299000.0,,134096000.0,196696000.0,48651000.0,130756000.0,106299000.0,,134096000.0,172246000.0,170725000.0,106299000.0,,123709000.0,156042000.0,106299000.0,123709000.0,106299000.0,106299000.0,106299000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,357523000.0,330473000.0,358041000.0,352546000.0,,438523000.0,314305000.0,328733000.0,289415000.0,266096000.0,239636000.0,,,,,357523000.0,358041000.0,,314305000.0,289415000.0,239636000.0,,,330473000.0,,328733000.0,239636000.0,,,358041000.0,314305000.0,239636000.0,,357523000.0,438523000.0,239636000.0,357523000.0,239636000.0,239636000.0,239636000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,46205000.0,36210000.0,40268000.0,,,,,,,,,46205000.0,40268000.0,,,,,,40268000.0,,,,,40268000.0,,,,40268000.0,,40268000.0,40268000.0,40268000.0,CommonMetricExtracted
Inventory,,,,,,,,,7697000.0,38944000.0,25777000.0,40426000.0,30199000.0,25022000.0,55090000.0,35075000.0,37662000.0,45223000.0,26794000.0,20910000.0,,,,,38944000.0,40426000.0,25022000.0,35075000.0,45223000.0,20910000.0,,,25777000.0,25022000.0,37662000.0,20910000.0,,,40426000.0,35075000.0,20910000.0,,38944000.0,55090000.0,20910000.0,38944000.0,20910000.0,20910000.0,20910000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,140617000.0,531070000.0,629536000.0,603506000.0,589848000.0,297609000.0,779115000.0,636686000.0,577261000.0,507777000.0,444237000.0,425895000.0,,,,,531070000.0,603506000.0,297609000.0,636686000.0,507777000.0,425895000.0,,,629536000.0,297609000.0,577261000.0,425895000.0,,,603506000.0,636686000.0,425895000.0,,531070000.0,779115000.0,425895000.0,531070000.0,425895000.0,425895000.0,425895000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,270187000.0,934483000.0,896585000.0,1087701000.0,933334000.0,339608000.0,815807000.0,590272000.0,415384000.0,305994000.0,239087000.0,240980000.0,,,,,934483000.0,1087701000.0,339608000.0,590272000.0,305994000.0,240980000.0,,,896585000.0,339608000.0,415384000.0,240980000.0,,,1087701000.0,590272000.0,240980000.0,,934483000.0,815807000.0,240980000.0,934483000.0,240980000.0,240980000.0,240980000.0,CommonMetricExtracted
Goodwill,,,,,,,,,555479000.0,544345000.0,575685000.0,698288000.0,737716000.0,310737000.0,914331000.0,534088000.0,533709000.0,533166000.0,533876000.0,530028000.0,,,,,544345000.0,698288000.0,310737000.0,534088000.0,533166000.0,530028000.0,,,575685000.0,310737000.0,533709000.0,530028000.0,,,698288000.0,534088000.0,530028000.0,,544345000.0,914331000.0,530028000.0,544345000.0,530028000.0,530028000.0,530028000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,145401000.0,156742000.0,303575000.0,351477000.0,403493000.0,486054000.0,1012564000.0,824650000.0,713153000.0,613358000.0,524350000.0,430374000.0,,,,,156742000.0,351477000.0,486054000.0,824650000.0,613358000.0,430374000.0,,,303575000.0,486054000.0,713153000.0,430374000.0,,,351477000.0,824650000.0,430374000.0,,156742000.0,1012564000.0,430374000.0,156742000.0,430374000.0,430374000.0,430374000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,693399000.0,2384460000.0,2427799000.0,2844681000.0,2569977000.0,1443864000.0,4020102000.0,3108914000.0,2828069000.0,2393555000.0,2181247000.0,2040147000.0,,,,,2384460000.0,2844681000.0,1443864000.0,3108914000.0,2393555000.0,2040147000.0,,,2427799000.0,1443864000.0,2828069000.0,2040147000.0,,,2844681000.0,3108914000.0,2040147000.0,,2384460000.0,4020102000.0,2040147000.0,2384460000.0,2040147000.0,2040147000.0,2040147000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,4312000.0,2250000.0,3509000.0,14387000.0,2716000.0,12395000.0,3300000.0,128445000.0,69456000.0,60452000.0,63752000.0,74300000.0,,,,,2250000.0,14387000.0,12395000.0,128445000.0,60452000.0,74300000.0,,,3509000.0,12395000.0,69456000.0,74300000.0,,,14387000.0,128445000.0,74300000.0,,2250000.0,3300000.0,74300000.0,2250000.0,74300000.0,74300000.0,74300000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,318785000.0,393026000.0,438724000.0,387406000.0,,453628000.0,378246000.0,357014000.0,351848000.0,293444000.0,318384000.0,,,,,318785000.0,438724000.0,,378246000.0,351848000.0,318384000.0,,,393026000.0,,357014000.0,318384000.0,,,438724000.0,378246000.0,318384000.0,,318785000.0,453628000.0,318384000.0,318785000.0,318384000.0,318384000.0,318384000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,103121000.0,410233000.0,491172000.0,571987000.0,632988000.0,247844000.0,979978000.0,975909000.0,898582000.0,866648000.0,709830000.0,698520000.0,,,,,410233000.0,571987000.0,247844000.0,975909000.0,866648000.0,698520000.0,,,491172000.0,247844000.0,898582000.0,698520000.0,,,571987000.0,975909000.0,698520000.0,,410233000.0,979978000.0,698520000.0,410233000.0,698520000.0,698520000.0,698520000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,14466000.0,1212698000.0,1046254000.0,1602949000.0,1234831000.0,40788000.0,2988199000.0,2530727000.0,2080244000.0,1859526000.0,1677942000.0,1673383000.0,,,,,1212698000.0,1602949000.0,40788000.0,2530727000.0,1859526000.0,1673383000.0,,,1046254000.0,40788000.0,2080244000.0,1673383000.0,,,1602949000.0,2530727000.0,1673383000.0,,1212698000.0,2988199000.0,1673383000.0,1212698000.0,1673383000.0,1673383000.0,1673383000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,298037000.0,1446988000.0,1369223000.0,1987920000.0,1552582000.0,725094000.0,3036896000.0,2745955000.0,2298454000.0,2098182000.0,1863934000.0,1887513000.0,,,,,1446988000.0,1987920000.0,725094000.0,2745955000.0,2098182000.0,1887513000.0,,,1369223000.0,725094000.0,2298454000.0,1887513000.0,,,1987920000.0,2745955000.0,1887513000.0,,1446988000.0,3036896000.0,1887513000.0,1446988000.0,1887513000.0,1887513000.0,1887513000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,1092270000.0,1265221000.0,937472000.0,1058576000.0,856761000.0,1017395000.0,717223000.0,981356000.0,364109000.0,532100000.0,295742000.0,317785000.0,153139000.0,,,,1092270000.0,937472000.0,856761000.0,717223000.0,364109000.0,295742000.0,153139000.0,,1092270000.0,1058576000.0,717223000.0,532100000.0,153139000.0,,1092270000.0,856761000.0,364109000.0,153139000.0,,937472000.0,981356000.0,153139000.0,937472000.0,153139000.0,153139000.0,153139000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,254535000.0,346138000.0,231020000.0,167923000.0,236468000.0,109559000.0,25535000.0,57770000.0,127453000.0,40776000.0,94574000.0,100310000.0,,,,,254535000.0,231020000.0,236468000.0,25535000.0,127453000.0,94574000.0,,,254535000.0,167923000.0,25535000.0,40776000.0,,,254535000.0,236468000.0,127453000.0,,,231020000.0,57770000.0,,231020000.0,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,53619000.0,72307000.0,53979000.0,60048000.0,72325000.0,11639000.0,13978000.0,36975000.0,39560000.0,45376000.0,38116000.0,49534000.0,,,,,53619000.0,53979000.0,72325000.0,13978000.0,39560000.0,38116000.0,,,53619000.0,60048000.0,13978000.0,45376000.0,,,53619000.0,72325000.0,39560000.0,,,53979000.0,36975000.0,,53979000.0,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,-7752000.0,-31772000.0,-43312000.0,-144833000.0,-87569000.0,-201476000.0,-785060000.0,160136000.0,70647000.0,22124000.0,46979000.0,-27950000.0,,,,,-7752000.0,-43312000.0,-87569000.0,-785060000.0,70647000.0,46979000.0,,,-7752000.0,-144833000.0,-785060000.0,22124000.0,,,-7752000.0,-87569000.0,70647000.0,,,-43312000.0,160136000.0,,-43312000.0,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,-302119000.0,132055000.0,206308000.0,271418000.0,-79723000.0,98525000.0,898913000.0,-201342000.0,-261172000.0,-102867000.0,-135511000.0,-68853000.0,,,,,-302119000.0,206308000.0,-79723000.0,898913000.0,-261172000.0,-135511000.0,,,-302119000.0,271418000.0,898913000.0,-102867000.0,,,-302119000.0,-79723000.0,-261172000.0,,,206308000.0,-201342000.0,,206308000.0,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.6326206556643306,0.622803259515395,0.566985840327544,0.5779687340229102,0.597319176549695,0.5927415219618695,0.6316338251106932,0.6352540782039008,0.6159386127289719,,,,,,,0.622803259515395,0.5779687340229102,0.5927415219618695,0.6352540782039008,,,,0.6326206556643306,0.5779687340229102,0.6316338251106932,,,,0.622803259515395,0.5927415219618695,,,,0.597319176549695,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,1119579000.0,1186842000.0,660790000.0,788316000.0,1371398000.0,1306519000.0,1084950000.0,971519000.0,963731000.0,,,,,,,1186842000.0,788316000.0,1306519000.0,971519000.0,,,,1119579000.0,788316000.0,1084950000.0,,,,1186842000.0,1306519000.0,,,,1371398000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,0.3673793443356695,0.377196740484605,0.433014159672456,0.4220312659770899,0.4026808234503049,0.40725847803813053,0.3683661748893068,0.3647459217960992,0.3840613872710282,,,,,,,0.377196740484605,0.4220312659770899,0.40725847803813053,0.3647459217960992,,,,0.3673793443356695,0.4220312659770899,0.3683661748893068,,,,0.377196740484605,0.40725847803813053,,,,0.4026808234503049,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,0.2610516119251551,0.26579097912588034,0.3311101267083611,0.32491786270102024,0.29356602371926815,0.2811847449084079,0.28943983012953167,0.27607478740778285,0.2893331447028372,,,,,,,0.26579097912588034,0.32491786270102024,0.2811847449084079,0.27607478740778285,,,,0.2610516119251551,0.32491786270102024,0.28943983012953167,,,,0.26579097912588034,0.2811847449084079,,,,0.29356602371926815,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,-0.000531915940874311,0.00030923444611121,0.0005491394630752858,0.00022806250197413258,0.004843099889302252,0.0058293379566551114,0.001937661422271325,0.0020382572131178315,0.0005248444296551051,,,,,,,0.00030923444611121,0.00022806250197413258,0.0058293379566551114,0.0020382572131178315,,,,-0.000531915940874311,0.00022806250197413258,0.001937661422271325,,,,0.00030923444611121,0.0058293379566551114,,,,0.004843099889302252,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,18.988260031540214,20.588690366550008,79.49658314350798,,,,,,,,,,20.588690366550008,,,,,,18.988260031540214,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,42.474137931034484,-13.394285714285715,0.5052436767427514,232.67728674203494,-1.694510739856802,35.406103286384976,2.5446222868922033,0.5253729747072349,-28.25109514631155,6.573954687787806,7.119969627942293,,,,,,-13.394285714285715,232.67728674203494,35.406103286384976,0.5253729747072349,6.573954687787806,,,,0.5052436767427514,35.406103286384976,-28.25109514631155,,,,232.67728674203494,0.5253729747072349,,,-13.394285714285715,2.5446222868922033,,-13.394285714285715,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,-0.0007216625649322317,-0.0005631784641494919,-0.0003768605737445072,-8.589948130973282e-05,-3.867019579133112e-05,-1.3150999376323817e-05,,,,,,,,-0.0007216625649322317,-0.0003768605737445072,-3.867019579133112e-05,,,,,-0.0007216625649322317,-8.589948130973282e-05,,,,,-0.0003768605737445072,,,,-0.0005631784641494919,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,0.5589366861759246,0.2329429265445233,0.31244599196868805,0.2854089271689097,0.20444080508876863,0.1634728788443898,0.20028108815771742,0.26814630759903624,0.2265110582561441,0.18562282261701496,0.22551025691241386,0.24958968759905611,,,,,0.2329429265445233,0.2854089271689097,0.1634728788443898,0.26814630759903624,0.18562282261701496,0.24958968759905611,,,0.31244599196868805,0.1634728788443898,0.2265110582561441,0.24958968759905611,,,0.2854089271689097,0.26814630759903624,0.24958968759905611,,0.2329429265445233,0.20028108815771742,0.24958968759905611,0.2329429265445233,0.24958968759905611,0.24958968759905611,0.24958968759905611,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,0.6732125708475343,0.5249469450515936,0.5932683353603775,0.5976895742632,,0.5628475898936613,0.4936577842138825,0.569470308924386,0.5699647679985506,0.5989955811875193,0.5626645065098205,,,,,0.6732125708475343,0.5932683353603775,,0.4936577842138825,0.5699647679985506,0.5626645065098205,,,0.5249469450515936,,0.569470308924386,0.5626645065098205,,,0.5932683353603775,0.4936577842138825,0.5626645065098205,,0.6732125708475343,0.5628475898936613,0.5626645065098205,0.6732125708475343,0.5626645065098205,0.5626645065098205,0.5626645065098205,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.09099466891962417,0.08151054504690064,0.0945491259582761,,,,,,,,,0.09099466891962417,0.0945491259582761,,,,,,0.0945491259582761,,,,,0.0945491259582761,,,,0.0945491259582761,,0.0945491259582761,0.0945491259582761,0.0945491259582761,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,0.054737336168457586,0.07333119927693148,0.04094603009200427,0.06698524952527399,0.05119793573937692,0.08407675843136464,0.07070843200297773,0.05508995014811069,0.06524258524307029,0.08906074910836843,0.06031465186375741,0.04909660831895185,,,,,0.07333119927693148,0.06698524952527399,0.08407675843136464,0.05508995014811069,0.08906074910836843,0.04909660831895185,,,0.04094603009200427,0.08407675843136464,0.06524258524307029,0.04909660831895185,,,0.06698524952527399,0.05508995014811069,0.04909660831895185,,0.07333119927693148,0.07070843200297773,0.04909660831895185,0.07333119927693148,0.04909660831895185,0.04909660831895185,0.04909660831895185,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,0.20279377385891817,0.2227212869999916,0.25930317954657695,0.21215243466666386,0.22951489449127366,0.2061198284602982,0.19380478405771795,0.20479369966489905,0.20411842851076123,0.2121434435390037,0.20366194199923254,0.20875701603855015,,,,,0.2227212869999916,0.21215243466666386,0.2061198284602982,0.20479369966489905,0.2121434435390037,0.20875701603855015,,,0.25930317954657695,0.2061198284602982,0.20411842851076123,0.20875701603855015,,,0.21215243466666386,0.20479369966489905,0.20875701603855015,,0.2227212869999916,0.19380478405771795,0.20875701603855015,0.2227212869999916,0.20875701603855015,0.20875701603855015,0.20875701603855015,CommonMetricCalculated
