,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,414197000.0,490071000.0,703831000.0,1161042000.0,,,,,,,,,414197000.0,703831000.0,,,,,,490071000.0,,,,,414197000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,324600000.0,406957000.0,515198000.0,875806000.0,,,,,,,,,324600000.0,515198000.0,,,,,,406957000.0,,,,,324600000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,25728000.0,24038000.0,41386000.0,70686000.0,,,,,,,,,25728000.0,41386000.0,,,,,,24038000.0,,,,,25728000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,0.0,1426000.0,3925000.0,9791000.0,,,,,,,,,0.0,3925000.0,,,,,,1426000.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,37725000.0,31164000.0,114995000.0,140614000.0,,,,,,,,,37725000.0,114995000.0,,,,,,31164000.0,,,,,37725000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,568000.0,1240000.0,256000.0,,,,,,,,,,1240000.0,,,,,,568000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,29380000.0,24941000.0,93830000.0,121146000.0,,,,,,,,,29380000.0,93830000.0,,,,,,24941000.0,,,,,29380000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,29257000.0,23972000.0,94108000.0,125808000.0,,,,,,,,,29257000.0,94108000.0,,,,,,23972000.0,,,,,29257000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,143531000.0,183283000.0,259759000.0,,,,,,,,,143531000.0,259759000.0,,,,,,259759000.0,,,,,259759000.0,,,,259759000.0,,259759000.0,259759000.0,259759000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,27142000.0,58876000.0,57313000.0,,,,,,,,,27142000.0,57313000.0,,,,,,57313000.0,,,,,57313000.0,,,,57313000.0,,57313000.0,57313000.0,57313000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,7566000.0,17516000.0,14672000.0,,,,,,,,,7566000.0,14672000.0,,,,,,14672000.0,,,,,14672000.0,,,,14672000.0,,14672000.0,14672000.0,14672000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,78338000.0,132247000.0,172489000.0,,,,,,,,,78338000.0,172489000.0,,,,,,172489000.0,,,,,172489000.0,,,,172489000.0,,172489000.0,172489000.0,172489000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,258122000.0,392807000.0,547592000.0,,,,,,,,,258122000.0,547592000.0,,,,,,547592000.0,,,,,547592000.0,,,,547592000.0,,547592000.0,547592000.0,547592000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,0.0,12586000.0,12586000.0,,,,,,,,,0.0,12586000.0,,,,,,12586000.0,,,,,12586000.0,,,,12586000.0,,12586000.0,12586000.0,12586000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,0.0,8367000.0,6198000.0,,,,,,,,,0.0,6198000.0,,,,,,6198000.0,,,,,6198000.0,,,,6198000.0,,6198000.0,6198000.0,6198000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,418600000.0,846909000.0,1070475000.0,,,,,,,,,418600000.0,1070475000.0,,,,,,1070475000.0,,,,,1070475000.0,,,,1070475000.0,,1070475000.0,1070475000.0,1070475000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,72777000.0,142288000.0,171372000.0,,,,,,,,,72777000.0,171372000.0,,,,,,171372000.0,,,,,171372000.0,,,,171372000.0,,171372000.0,171372000.0,171372000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,3690000.0,169354000.0,326579000.0,436980000.0,,,,,,,,,169354000.0,436980000.0,,,,,3690000.0,436980000.0,,,,,436980000.0,,,,436980000.0,,436980000.0,436980000.0,436980000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,238228000.0,694341000.0,796496000.0,,,,,,,,,238228000.0,796496000.0,,,,,,796496000.0,,,,,796496000.0,,,,796496000.0,,796496000.0,796496000.0,796496000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,223435000.0,556493000.0,665258000.0,,,,,,,,,223435000.0,665258000.0,,,,,,665258000.0,,,,,665258000.0,,,,665258000.0,,665258000.0,665258000.0,665258000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,195165000.0,290416000.0,405217000.0,,,,,,,,,195165000.0,405217000.0,,,,,,405217000.0,,,,,405217000.0,,,,405217000.0,,405217000.0,405217000.0,405217000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,8556000.0,49656000.0,133452000.0,158078000.0,,,,,,,,,8556000.0,133452000.0,,,,,,49656000.0,,,,,8556000.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,1825000.0,709000.0,4380000.0,15536000.0,,,,,,,,,1825000.0,4380000.0,,,,,,709000.0,,,,,1825000.0,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,-1825000.0,-709000.0,-90547000.0,-55419000.0,,,,,,,,,-1825000.0,-90547000.0,,,,,,-709000.0,,,,,-1825000.0,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,-2956000.0,31887000.0,-4003000.0,-24969000.0,,,,,,,,,-2956000.0,-4003000.0,,,,,,31887000.0,,,,,-2956000.0,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,0.7836850580762295,0.830404165926978,0.731991060353977,0.7543275781582406,,,,,,,,,0.7836850580762295,0.731991060353977,,,,,,0.830404165926978,,,,,0.7836850580762295,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,89597000.0,83114000.0,188633000.0,285236000.0,,,,,,,,,89597000.0,188633000.0,,,,,,83114000.0,,,,,89597000.0,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.21631494192377057,0.16959583407302206,0.26800893964602296,0.2456724218417594,,,,,,,,,0.21631494192377057,0.26800893964602296,,,,,,0.16959583407302206,,,,,0.21631494192377057,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,0.0621153702223821,0.049050035607085506,0.058801047410528946,0.06088151849803883,,,,,,,,,0.0621153702223821,0.058801047410528946,,,,,,0.049050035607085506,,,,,0.0621153702223821,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,0.0,0.002909782460092517,0.005576622797233995,0.008432942133014999,,,,,,,,,0.0,0.005576622797233995,,,,,,0.002909782460092517,,,,,0.0,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.0910798484778982,0.06359078582491108,0.16338439199182758,0.12111017517023501,,,,,,,,,0.0910798484778982,0.16338439199182758,,,,,,0.06359078582491108,,,,,0.0910798484778982,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,0.018226158387883454,0.010783077525109788,0.001820586854793975,,,,,,,,,,0.010783077525109788,,,,,,0.018226158387883454,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,0.7787939032471836,0.800314465408805,0.8159485195008479,0.8615500590268395,,,,,,,,,0.7787939032471836,0.8159485195008479,,,,,,0.800314465408805,,,,,0.7787939032471836,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,0.0706354705611098,0.04891536124357491,0.13370823393683995,0.10835783718418456,,,,,,,,,0.0706354705611098,0.13370823393683995,,,,,,0.04891536124357491,,,,,0.0706354705611098,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.5560587629105617,0.4665981003393524,0.47436595129220294,,,,,,,,,0.5560587629105617,0.47436595129220294,,,,,,0.47436595129220294,,,,,0.47436595129220294,,,,0.47436595129220294,,0.47436595129220294,0.47436595129220294,0.47436595129220294,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.10515182743043987,0.14988531263444899,0.10466369121535742,,,,,,,,,0.10515182743043987,0.10466369121535742,,,,,,0.10466369121535742,,,,,0.10466369121535742,,,,0.10466369121535742,,0.10466369121535742,0.10466369121535742,0.10466369121535742,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.02931172081418864,0.044591873362745574,0.026793671200455813,,,,,,,,,0.02931172081418864,0.026793671200455813,,,,,,0.026793671200455813,,,,,0.026793671200455813,,,,0.026793671200455813,,0.026793671200455813,0.026793671200455813,0.026793671200455813,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.30349214712422806,0.33667169882410447,0.3149954710806586,,,,,,,,,0.30349214712422806,0.3149954710806586,,,,,,0.3149954710806586,,,,,0.3149954710806586,,,,0.3149954710806586,,0.3149954710806586,0.3149954710806586,0.3149954710806586,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,0.6166316292403249,0.4638125229511081,0.5115411382797357,,,,,,,,,0.6166316292403249,0.5115411382797357,,,,,,0.5115411382797357,,,,,0.5115411382797357,,,,0.5115411382797357,,0.5115411382797357,0.5115411382797357,0.5115411382797357,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,0.0,0.014861100779422582,0.011757397417034495,,,,,,,,,0.0,0.011757397417034495,,,,,,0.011757397417034495,,,,,0.011757397417034495,,,,0.011757397417034495,,0.011757397417034495,0.011757397417034495,0.011757397417034495,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,0.0,0.00987945576207125,0.005789953058221818,,,,,,,,,0.0,0.005789953058221818,,,,,,0.005789953058221818,,,,,0.005789953058221818,,,,0.005789953058221818,,0.005789953058221818,0.005789953058221818,0.005789953058221818,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,0.42973298534430837,0.4356924358271659,0.39217355485376904,,,,,,,,,0.42973298534430837,0.39217355485376904,,,,,,0.39217355485376904,,,,,0.39217355485376904,,,,0.39217355485376904,,0.39217355485376904,0.39217355485376904,0.39217355485376904,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,0.7579564526596102,0.5868519460262752,0.6568579408289716,,,,,,,,,0.7579564526596102,0.6568579408289716,,,,,,0.6568579408289716,,,,,0.6568579408289716,,,,0.6568579408289716,,0.6568579408289716,0.6568579408289716,0.6568579408289716,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
