,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,26542000.0,27308000.0,32863000.0,24453000.0,5463000.0,533000.0,1175000.0,17200000.0,16915000.0,,,,,,,27308000.0,24453000.0,533000.0,17200000.0,,,,26542000.0,24453000.0,1175000.0,,,,27308000.0,533000.0,,,,5463000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,10581000.0,10061000.0,14732000.0,18166000.0,,,,,,,,,10581000.0,14732000.0,,,,,,10061000.0,,,,,10581000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,10508000.0,14820000.0,57219000.0,76650000.0,96829000.0,14120000.0,6610000.0,5216000.0,5182000.0,5374000.0,4020000.0,4086000.0,6775000.0,7427000.0,6637000.0,5576000.0,,,10508000.0,57219000.0,96829000.0,6610000.0,5182000.0,4020000.0,6775000.0,6637000.0,,14820000.0,96829000.0,5216000.0,4020000.0,7427000.0,,10508000.0,96829000.0,5182000.0,6775000.0,,14820000.0,6610000.0,4086000.0,,6610000.0,14820000.0,,CommonMetricExtracted
OperatingMargin,,,,,-1316000.0,-4599000.0,-10710000.0,15000.0,-11276000.0,-1368000.0,-4267000.0,-13243000.0,-1348000.0,-5775000.0,-2305000.0,-13225000.0,1065000.0,4679000.0,15620000.0,12184000.0,,,-1316000.0,-10710000.0,-11276000.0,-4267000.0,-1348000.0,-2305000.0,1065000.0,15620000.0,,-4599000.0,-11276000.0,-13243000.0,-2305000.0,4679000.0,,-1316000.0,-11276000.0,-1348000.0,1065000.0,,-4599000.0,-4267000.0,-13225000.0,,-4267000.0,-4599000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,2161000.0,3879000.0,,,,,,,,,,2161000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,-259000.0,-1110000.0,-7226000.0,-14542000.0,-19885000.0,-40112000.0,-131348000.0,-192060000.0,-258866000.0,-41145000.0,-36194000.0,-37228000.0,-24630000.0,-27976000.0,-28660000.0,-40186000.0,-59203000.0,-98007000.0,-66215000.0,-78640000.0,-259000.0,-7226000.0,-19885000.0,-131348000.0,-258866000.0,-36194000.0,-24630000.0,-28660000.0,-59203000.0,-66215000.0,-7226000.0,-40112000.0,-258866000.0,-37228000.0,-28660000.0,-98007000.0,-259000.0,-19885000.0,-258866000.0,-24630000.0,-59203000.0,-259000.0,-40112000.0,-36194000.0,-40186000.0,-259000.0,-36194000.0,-40112000.0,-259000.0,CommonMetricExtracted
Cash,,,,9635000.0,21240000.0,15274000.0,94225000.0,66744000.0,24625000.0,6359000.0,17031000.0,27888000.0,11553000.0,33734000.0,16302000.0,78338000.0,40833000.0,237125000.0,298349000.0,189389000.0,,9635000.0,15274000.0,66744000.0,6359000.0,27888000.0,33734000.0,78338000.0,237125000.0,189389000.0,21240000.0,66744000.0,17031000.0,33734000.0,40833000.0,189389000.0,9635000.0,66744000.0,27888000.0,78338000.0,189389000.0,21240000.0,6359000.0,16302000.0,189389000.0,6359000.0,189389000.0,189389000.0,189389000.0,CommonMetricExtracted
CurrentReceivables,,,,,,2830000.0,2938000.0,698000.0,1358000.0,2361000.0,1391000.0,1122000.0,1054000.0,526000.0,1135000.0,527000.0,978000.0,476000.0,2623000.0,2411000.0,,,2830000.0,698000.0,2361000.0,1122000.0,526000.0,527000.0,476000.0,2411000.0,,698000.0,1391000.0,526000.0,978000.0,2411000.0,,698000.0,1122000.0,527000.0,2411000.0,,2361000.0,1135000.0,2411000.0,2361000.0,2411000.0,2411000.0,2411000.0,CommonMetricExtracted
