,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1329293000.0,1474744000.0,1653292000.0,1646045000.0,1650115000.0,1987608000.0,2143521000.0,2195606000.0,2113316000.0,,,,,,,1474744000.0,1646045000.0,1987608000.0,2195606000.0,,,,1329293000.0,1646045000.0,2143521000.0,,,,1474744000.0,1987608000.0,,,,1650115000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,618424000.0,679542000.0,770753000.0,786289000.0,795178000.0,953659000.0,1086082000.0,1034585000.0,990855000.0,,,,,,,679542000.0,786289000.0,953659000.0,1034585000.0,,,,618424000.0,786289000.0,1086082000.0,,,,679542000.0,953659000.0,,,,795178000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,138665000.0,115550000.0,135903000.0,151276000.0,163523000.0,177853000.0,194751000.0,201855000.0,215253000.0,233462000.0,245473000.0,234325000.0,220271000.0,271526000.0,250948000.0,260712000.0,273741000.0,,,115550000.0,151276000.0,177853000.0,201855000.0,233462000.0,234325000.0,271526000.0,260712000.0,,135903000.0,177853000.0,215253000.0,234325000.0,250948000.0,,115550000.0,177853000.0,233462000.0,271526000.0,,135903000.0,201855000.0,220271000.0,,201855000.0,135903000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,36558000.0,37538000.0,37699000.0,41554000.0,48921000.0,51428000.0,54246000.0,58559000.0,60606000.0,60106000.0,63124000.0,67557000.0,72194000.0,79651000.0,80008000.0,82822000.0,87230000.0,,,37538000.0,41554000.0,51428000.0,58559000.0,60106000.0,67557000.0,79651000.0,82822000.0,,37699000.0,51428000.0,60606000.0,67557000.0,80008000.0,,37538000.0,51428000.0,60106000.0,79651000.0,,37699000.0,58559000.0,72194000.0,,58559000.0,37699000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,405877000.0,374651000.0,508465000.0,565724000.0,608802000.0,589283000.0,,,,,,,,405877000.0,508465000.0,608802000.0,,,,,405877000.0,565724000.0,,,,,508465000.0,,,,374651000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,9897000.0,5191000.0,2828000.0,,,,,,,,,,5191000.0,,,,,,9897000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,57700000.0,19700000.0,45700000.0,67400000.0,68200000.0,78000000.0,89500000.0,129000000.0,55981000.0,94682000.0,69712000.0,62024000.0,44195000.0,68599000.0,105079000.0,102291000.0,103199000.0,,,19700000.0,67400000.0,78000000.0,129000000.0,94682000.0,62024000.0,68599000.0,102291000.0,,45700000.0,78000000.0,55981000.0,62024000.0,105079000.0,,19700000.0,78000000.0,94682000.0,68599000.0,,45700000.0,129000000.0,44195000.0,,129000000.0,45700000.0,,CommonMetricExtracted
NetIncome,,,,120879000.0,48967000.0,102840000.0,142328000.0,149126000.0,210822000.0,225573000.0,345713000.0,40674000.0,252412000.0,341054000.0,343853000.0,330456000.0,439866000.0,460645000.0,506511000.0,486084000.0,,,48967000.0,142328000.0,210822000.0,345713000.0,252412000.0,343853000.0,439866000.0,506511000.0,,102840000.0,210822000.0,40674000.0,343853000.0,460645000.0,,48967000.0,210822000.0,252412000.0,439866000.0,,102840000.0,345713000.0,330456000.0,,345713000.0,102840000.0,,CommonMetricExtracted
Cash,,,4922000.0,12119000.0,5412000.0,9591000.0,303150000.0,31120000.0,19756000.0,23656000.0,52295000.0,52365000.0,103662000.0,132118000.0,220973000.0,378909000.0,624302000.0,339196000.0,537951000.0,675336000.0,,12119000.0,9591000.0,31120000.0,23656000.0,52365000.0,132118000.0,378909000.0,339196000.0,675336000.0,5412000.0,31120000.0,52295000.0,132118000.0,624302000.0,675336000.0,12119000.0,31120000.0,52365000.0,378909000.0,675336000.0,5412000.0,23656000.0,220973000.0,675336000.0,23656000.0,675336000.0,675336000.0,675336000.0,CommonMetricExtracted
CurrentReceivables,,,,,100824000.0,124593000.0,150912000.0,172143000.0,183293000.0,214944000.0,225509000.0,218365000.0,266080000.0,274608000.0,267345000.0,314946000.0,325132000.0,346010000.0,354439000.0,362533000.0,,,124593000.0,172143000.0,214944000.0,218365000.0,274608000.0,314946000.0,346010000.0,362533000.0,100824000.0,172143000.0,225509000.0,274608000.0,325132000.0,362533000.0,,172143000.0,218365000.0,314946000.0,362533000.0,100824000.0,214944000.0,267345000.0,362533000.0,214944000.0,362533000.0,362533000.0,362533000.0,CommonMetricExtracted
