,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,0.0,,,,0.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,354883.0,289934.0,971427.0,,7302923.0,8970865.0,11510074.0,17616605.0,10535446.0,,,,,,,289934.0,,8970865.0,17616605.0,,,,354883.0,,11510074.0,,,,289934.0,8970865.0,,,,7302923.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,-4132159.0,-3312347.0,-12363541.0,,-17961581.0,-19600757.0,-23830719.0,-31056894.0,-21174167.0,,,,,,,-3312347.0,,-19600757.0,-31056894.0,,,,-4132159.0,,-23830719.0,,,,-3312347.0,-19600757.0,,,,-17961581.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,-4132159.0,-3314157.0,-12372339.0,,-17942770.0,-19595624.0,-23740621.0,-30860461.0,-21111163.0,,,,,,,-3314157.0,,-19595624.0,-30860461.0,,,,-4132159.0,,-23740621.0,,,,-3314157.0,-19595624.0,,,,-17942770.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,6737629.0,1601660.0,,,,,,,,,,1601660.0,,,,,,1601660.0,,,,,1601660.0,,,,1601660.0,,1601660.0,1601660.0,1601660.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,28352.0,23479.0,236851.0,171716.0,384553.0,511348.0,,794138.0,475807.0,,,,,,28352.0,236851.0,384553.0,,475807.0,,,,236851.0,511348.0,475807.0,,,28352.0,384553.0,475807.0,,,171716.0,475807.0,,475807.0,475807.0,475807.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,1638828.0,193574.0,8847066.0,2976643.0,30715407.0,39140224.0,,7531767.0,2077467.0,,,,,,1638828.0,8847066.0,30715407.0,,2077467.0,,,,8847066.0,39140224.0,2077467.0,,,1638828.0,30715407.0,2077467.0,,,2976643.0,2077467.0,,2077467.0,2077467.0,2077467.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,5157.0,7804.0,24354.0,44654.0,39441.0,48608.0,,7859.0,0.0,,,,,,5157.0,24354.0,39441.0,,0.0,,,,24354.0,48608.0,0.0,,,5157.0,39441.0,0.0,,,44654.0,0.0,,0.0,0.0,0.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,241037.0,298569.0,379451.0,491200.0,601625.0,642360.0,,773478.0,0.0,,,,,,241037.0,379451.0,601625.0,,0.0,,,,379451.0,642360.0,0.0,,,241037.0,601625.0,0.0,,,491200.0,0.0,,0.0,0.0,0.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,1910529.0,1259538.0,9268956.0,3534229.0,31367214.0,42862286.0,39409431.0,10670592.0,4124325.0,,,,,,1910529.0,9268956.0,31367214.0,39409431.0,4124325.0,,,,9268956.0,42862286.0,4124325.0,,,1910529.0,31367214.0,4124325.0,,,3534229.0,4124325.0,,4124325.0,4124325.0,4124325.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,285661.0,629074.0,295069.0,436258.0,192968.0,973195.0,,1397610.0,1074295.0,,,,,,285661.0,295069.0,192968.0,,1074295.0,,,,295069.0,973195.0,1074295.0,,,285661.0,192968.0,1074295.0,,,436258.0,1074295.0,,1074295.0,1074295.0,1074295.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,571322.0,1661928.0,775642.0,1021368.0,901448.0,3170590.0,,6508416.0,5008340.0,,,,,,571322.0,775642.0,901448.0,,5008340.0,,,,775642.0,3170590.0,5008340.0,,,571322.0,901448.0,5008340.0,,,1021368.0,5008340.0,,5008340.0,5008340.0,5008340.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,393737.0,1624868.0,428574.0,8881135.0,3023545.0,30916490.0,41276991.0,37024614.0,7416384.0,1620155.0,,,,,,1624868.0,8881135.0,30916490.0,37024614.0,1620155.0,,,393737.0,8881135.0,41276991.0,1620155.0,,,1624868.0,30916490.0,1620155.0,,,3023545.0,1620155.0,,1620155.0,1620155.0,1620155.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,-1248263.0,-2171594.0,-6846534.0,-6918721.0,-13935086.0,-14284924.0,-17621498.0,-24738603.0,-17149088.0,,,,,,,-2171594.0,-6918721.0,-14284924.0,-24738603.0,,,,-1248263.0,-6918721.0,-17621498.0,,,,-2171594.0,-14284924.0,,,,-13935086.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,-89534.0,-63421.0,-103317.0,-946899.0,-2337250.0,-83796.0,97731.0,-71214.0,1166.0,,,,,,,-63421.0,-946899.0,-83796.0,-71214.0,,,,-89534.0,-946899.0,97731.0,,,,-63421.0,-83796.0,,,,-2337250.0,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,2705872.0,793971.0,15389518.0,1267194.0,41589529.0,25677911.0,6426.0,10593377.0,12011953.0,,,,,,,793971.0,1267194.0,25677911.0,10593377.0,,,,2705872.0,1267194.0,6426.0,,,,793971.0,25677911.0,,,,41589529.0,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,0.8945615285231208,0.7709677217496115,,,,,,,,,,0.7709677217496115,,,,,,0.7709677217496115,,,,,0.7709677217496115,,,,0.7709677217496115,,0.7709677217496115,0.7709677217496115,0.7709677217496115,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,0.017300168168959768,0.12129211567669211,0.02677170035806221,0.057687804684673306,0.012519873169839489,0.013064513887299163,,0.1054384714768792,0.22903227825038858,,,,,,0.017300168168959768,0.02677170035806221,0.012519873169839489,,0.22903227825038858,,,,0.02677170035806221,0.013064513887299163,0.22903227825038858,,,0.017300168168959768,0.012519873169839489,0.22903227825038858,,,0.057687804684673306,0.22903227825038858,,0.22903227825038858,0.22903227825038858,0.22903227825038858,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,0.8577875551745092,0.15368651045065732,0.9544835470143563,0.8422326340483314,0.9792201181781717,0.9131623077686524,,0.7058434058766374,0.5037107890382062,,,,,,0.8577875551745092,0.9544835470143563,0.9792201181781717,,0.5037107890382062,,,,0.9544835470143563,0.9131623077686524,0.5037107890382062,,,0.8577875551745092,0.9792201181781717,0.5037107890382062,,,0.8422326340483314,0.5037107890382062,,0.5037107890382062,0.5037107890382062,0.5037107890382062,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,0.0026992524060090164,0.006195922631949175,0.0026274803764307435,0.012634721745534882,0.0012573956998539941,0.001134050573037565,,0.0007365102142411592,0.0,,,,,,0.0026992524060090164,0.0026274803764307435,0.0012573956998539941,,0.0,,,,0.0026274803764307435,0.001134050573037565,0.0,,,0.0026992524060090164,0.0012573956998539941,0.0,,,0.012634721745534882,0.0,,0.0,0.0,0.0,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
