,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1447743000.0,1679373000.0,2023464000.0,2204336000.0,2485200000.0,3737184000.0,4564737000.0,4022667000.0,4295834000.0,,,,,,,1679373000.0,2204336000.0,3737184000.0,4022667000.0,,,,1447743000.0,2204336000.0,4564737000.0,,,,1679373000.0,3737184000.0,,,,2485200000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,935322000.0,1094587000.0,1298424000.0,1406584000.0,1527546000.0,2377102000.0,3042733000.0,2657236000.0,2630208000.0,,,,,,,1094587000.0,1406584000.0,2377102000.0,2657236000.0,,,,935322000.0,1406584000.0,3042733000.0,,,,1094587000.0,2377102000.0,,,,1527546000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,59823000.0,57954000.0,77776000.0,101448000.0,107515000.0,120408000.0,130242000.0,164860000.0,174841000.0,191887000.0,217683000.0,246373000.0,319020000.0,496260000.0,448199000.0,526446000.0,,,59823000.0,77776000.0,107515000.0,130242000.0,174841000.0,217683000.0,319020000.0,448199000.0,,57954000.0,107515000.0,164860000.0,217683000.0,496260000.0,,59823000.0,107515000.0,174841000.0,319020000.0,,57954000.0,130242000.0,246373000.0,,130242000.0,57954000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,10842000.0,14700000.0,16476000.0,23499000.0,29271000.0,31494000.0,32922000.0,37229000.0,42925000.0,50019000.0,68394000.0,80251000.0,104303000.0,159774000.0,173443000.0,219600000.0,,,10842000.0,16476000.0,29271000.0,32922000.0,42925000.0,68394000.0,104303000.0,173443000.0,,14700000.0,29271000.0,37229000.0,68394000.0,159774000.0,,10842000.0,29271000.0,42925000.0,104303000.0,,14700000.0,32922000.0,80251000.0,,32922000.0,14700000.0,,CommonMetricExtracted
OperatingMargin,,,,,98512000.0,90296000.0,112981000.0,223555000.0,351465000.0,293375000.0,179561000.0,204617000.0,251064000.0,357181000.0,372163000.0,479106000.0,721136000.0,566330000.0,386199000.0,536742000.0,,,98512000.0,112981000.0,351465000.0,179561000.0,251064000.0,372163000.0,721136000.0,386199000.0,,90296000.0,351465000.0,204617000.0,372163000.0,566330000.0,,98512000.0,351465000.0,251064000.0,721136000.0,,90296000.0,179561000.0,479106000.0,,179561000.0,90296000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,54826000.0,97627000.0,89713000.0,,,,,,,,,,97627000.0,,,,,,54826000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,161261000.0,71039000.0,81124000.0,180100000.0,238605000.0,251204000.0,337881000.0,536068000.0,398523000.0,267079000.0,246464000.0,,,,,,71039000.0,180100000.0,251204000.0,536068000.0,267079000.0,,,,81124000.0,251204000.0,398523000.0,,,,180100000.0,536068000.0,,,71039000.0,337881000.0,,71039000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,174613000.0,77747000.0,98812000.0,161135000.0,241220000.0,252308000.0,347218000.0,556569000.0,408870000.0,217120000.0,316978000.0,,,,,,77747000.0,161135000.0,252308000.0,556569000.0,217120000.0,,,,98812000.0,252308000.0,408870000.0,,,,161135000.0,556569000.0,,,77747000.0,347218000.0,,77747000.0,,,CommonMetricExtracted
Cash,,,,81229000.0,161307000.0,78583000.0,93126000.0,108023000.0,150147000.0,189761000.0,115857000.0,67272000.0,138472000.0,224482000.0,322883000.0,655128000.0,147339000.0,132723000.0,200994000.0,281277000.0,,81229000.0,78583000.0,108023000.0,189761000.0,67272000.0,224482000.0,655128000.0,132723000.0,281277000.0,161307000.0,108023000.0,115857000.0,224482000.0,147339000.0,281277000.0,81229000.0,108023000.0,67272000.0,655128000.0,281277000.0,161307000.0,189761000.0,322883000.0,281277000.0,189761000.0,281277000.0,281277000.0,281277000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,164907000.0,189107000.0,182185000.0,241857000.0,280002000.0,326133000.0,319538000.0,374906000.0,546466000.0,522458000.0,537316000.0,612107000.0,,,,,189107000.0,241857000.0,326133000.0,374906000.0,522458000.0,612107000.0,,,182185000.0,326133000.0,546466000.0,612107000.0,,,241857000.0,374906000.0,612107000.0,,189107000.0,319538000.0,612107000.0,189107000.0,612107000.0,612107000.0,612107000.0,CommonMetricExtracted
