,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1794872578.0,1834063697.0,1858897406.0,1688189405.0,1731169929.0,1918958043.0,2299215044.0,2313314333.0,,,,,,,1794872578.0,1858897406.0,1731169929.0,2299215044.0,,,,,1858897406.0,1918958043.0,,,,1794872578.0,1731169929.0,,,,1688189405.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1010472512.0,1100344312.0,1143597005.0,1170589437.0,1082745885.0,1111462082.0,1309143858.0,1536585036.0,1542224143.0,,,,,,,1100344312.0,1170589437.0,1111462082.0,1536585036.0,,,,1010472512.0,1170589437.0,1309143858.0,,,,1100344312.0,1111462082.0,,,,1082745885.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,42425050.0,35807622.0,40617833.0,48578252.0,48359725.0,49496038.0,55879783.0,56616694.0,62471277.0,71443476.0,75206283.0,85083056.0,89952381.0,92162193.0,106499255.0,112539255.0,121023692.0,,,35807622.0,48578252.0,49496038.0,56616694.0,71443476.0,85083056.0,92162193.0,112539255.0,,40617833.0,49496038.0,62471277.0,85083056.0,106499255.0,,35807622.0,49496038.0,71443476.0,92162193.0,,40617833.0,56616694.0,89952381.0,,56616694.0,40617833.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,51888922.0,47128086.0,64100411.0,81634158.0,85003602.0,76495051.0,84175738.0,88392919.0,94238032.0,99726438.0,107134862.0,114687309.0,115935047.0,117763676.0,133308804.0,154359700.0,181475221.0,,,47128086.0,81634158.0,76495051.0,88392919.0,99726438.0,114687309.0,117763676.0,154359700.0,,64100411.0,76495051.0,94238032.0,114687309.0,133308804.0,,47128086.0,76495051.0,99726438.0,117763676.0,,64100411.0,88392919.0,115935047.0,,88392919.0,64100411.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,500415334.0,411812929.0,416351736.0,369723076.0,504981174.0,472213683.0,,,,,,,,500415334.0,416351736.0,504981174.0,,,,,500415334.0,369723076.0,,,,,416351736.0,,,,411812929.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,30106914.0,31715218.0,65706045.0,79763583.0,81038760.0,105134094.0,126721911.0,145121597.0,162969497.0,125004782.0,84163850.0,75731395.0,64249308.0,55554504.0,50965724.0,76577902.0,67725940.0,,,31715218.0,79763583.0,105134094.0,145121597.0,125004782.0,75731395.0,55554504.0,76577902.0,,65706045.0,105134094.0,162969497.0,75731395.0,50965724.0,,31715218.0,105134094.0,125004782.0,55554504.0,,65706045.0,145121597.0,64249308.0,,145121597.0,65706045.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,318757352.0,428403272.0,404487743.0,,,,,,,,,,428403272.0,,,,,,318757352.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,317717093.0,294306512.0,336108446.0,348349773.0,357986774.0,389678664.0,309591724.0,497429804.0,551557527.0,546477075.0,569734496.0,217025278.0,296321622.0,423371036.0,262311670.0,,226435019.0,233318766.0,,294306512.0,348349773.0,389678664.0,497429804.0,546477075.0,217025278.0,423371036.0,,233318766.0,336108446.0,389678664.0,551557527.0,217025278.0,262311670.0,233318766.0,294306512.0,389678664.0,546477075.0,423371036.0,233318766.0,336108446.0,497429804.0,296321622.0,233318766.0,497429804.0,233318766.0,233318766.0,233318766.0,CommonMetricExtracted
CurrentReceivables,,,,,71159512.0,95647612.0,110389715.0,109579693.0,143046590.0,168008704.0,195969400.0,211591745.0,231121788.0,213537799.0,235410326.0,284925335.0,249794906.0,,321809868.0,295344353.0,,,95647612.0,109579693.0,168008704.0,211591745.0,213537799.0,284925335.0,,295344353.0,71159512.0,109579693.0,195969400.0,213537799.0,249794906.0,295344353.0,,109579693.0,211591745.0,284925335.0,295344353.0,71159512.0,168008704.0,235410326.0,295344353.0,168008704.0,295344353.0,295344353.0,295344353.0,CommonMetricExtracted
PrepaidExpenses,,,,,,24095563.0,34354946.0,24671561.0,28473764.0,49441302.0,57239099.0,30587575.0,14403902.0,25672579.0,29319036.0,17577981.0,39178119.0,,32663762.0,49862777.0,,,24095563.0,24671561.0,49441302.0,30587575.0,25672579.0,17577981.0,,49862777.0,,24671561.0,57239099.0,25672579.0,39178119.0,49862777.0,,24671561.0,30587575.0,17577981.0,49862777.0,,49441302.0,29319036.0,49862777.0,49441302.0,49862777.0,49862777.0,49862777.0,CommonMetricExtracted
Inventory,,,,,53608996.0,100728730.0,188753312.0,159930266.0,120074164.0,141757884.0,174695411.0,189311437.0,216765583.0,225281599.0,248941855.0,226291843.0,316267442.0,,402473028.0,436497445.0,,,100728730.0,159930266.0,141757884.0,189311437.0,225281599.0,226291843.0,,436497445.0,53608996.0,159930266.0,174695411.0,225281599.0,316267442.0,436497445.0,,159930266.0,189311437.0,226291843.0,436497445.0,53608996.0,141757884.0,248941855.0,436497445.0,141757884.0,436497445.0,436497445.0,436497445.0,CommonMetricExtracted
CurrentAssets,,,,,505413495.0,655269274.0,752292984.0,744663040.0,601186242.0,856637694.0,984008792.0,1154989029.0,1184563823.0,850930254.0,950376892.0,979330564.0,872975749.0,,997738153.0,1037328170.0,,,655269274.0,744663040.0,856637694.0,1154989029.0,850930254.0,979330564.0,,1037328170.0,505413495.0,744663040.0,984008792.0,850930254.0,872975749.0,1037328170.0,,744663040.0,1154989029.0,979330564.0,1037328170.0,505413495.0,856637694.0,950376892.0,1037328170.0,856637694.0,1037328170.0,1037328170.0,1037328170.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,197530249.0,205107756.0,282541588.0,349938172.0,357021225.0,373390992.0,412720270.0,465822467.0,492479330.0,498473766.0,498316100.0,468135135.0,464121676.0,,652877672.0,728481467.0,,,205107756.0,349938172.0,373390992.0,465822467.0,498473766.0,468135135.0,,728481467.0,197530249.0,349938172.0,412720270.0,498473766.0,464121676.0,728481467.0,,349938172.0,465822467.0,468135135.0,728481467.0,197530249.0,373390992.0,498316100.0,728481467.0,373390992.0,728481467.0,728481467.0,728481467.0,CommonMetricExtracted
Goodwill,,,,,,,,0.0,307365845.0,307365845.0,307365845.0,307365845.0,307365845.0,307400000.0,307365845.0,311922787.0,313960209.0,,340105631.0,340668927.0,,,,0.0,307365845.0,307365845.0,307400000.0,311922787.0,,340668927.0,,0.0,307365845.0,307400000.0,313960209.0,340668927.0,,0.0,307365845.0,311922787.0,340668927.0,,307365845.0,307365845.0,340668927.0,307365845.0,340668927.0,340668927.0,340668927.0,CommonMetricExtracted
IntangibleAssets,,,,,10504497.0,13222442.0,13024265.0,29256089.0,366175000.0,346875000.0,327575000.0,308275000.0,288975000.0,269675000.0,250375000.0,249748127.0,239189627.0,,214005910.0,195157160.0,,,13222442.0,29256089.0,346875000.0,308275000.0,269675000.0,249748127.0,,195157160.0,10504497.0,29256089.0,327575000.0,269675000.0,239189627.0,195157160.0,,29256089.0,308275000.0,249748127.0,195157160.0,10504497.0,346875000.0,250375000.0,195157160.0,346875000.0,195157160.0,195157160.0,195157160.0,CommonMetricExtracted
TotalAssets,,,,,822603489.0,1002690639.0,1176027002.0,1265691335.0,1764088434.0,2022540029.0,2148672928.0,2309619833.0,2352053912.0,2085434068.0,2168803193.0,2197941170.0,2131391166.0,,2611437552.0,2760820975.0,,,1002690639.0,1265691335.0,2022540029.0,2309619833.0,2085434068.0,2197941170.0,,2760820975.0,822603489.0,1265691335.0,2148672928.0,2085434068.0,2131391166.0,2760820975.0,,1265691335.0,2309619833.0,2197941170.0,2760820975.0,822603489.0,2022540029.0,2168803193.0,2760820975.0,2022540029.0,2760820975.0,2760820975.0,2760820975.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,50196331.0,66363811.0,94135862.0,80769350.0,104709546.0,116946554.0,114182076.0,129979972.0,147144798.0,153300846.0,155460967.0,159179058.0,167636457.0,,248883345.0,233166309.0,,,66363811.0,80769350.0,116946554.0,129979972.0,153300846.0,159179058.0,,233166309.0,50196331.0,80769350.0,114182076.0,153300846.0,167636457.0,233166309.0,,80769350.0,129979972.0,159179058.0,233166309.0,50196331.0,116946554.0,155460967.0,233166309.0,116946554.0,233166309.0,233166309.0,233166309.0,CommonMetricExtracted
CurrentLiability,,,,,67704610.0,83241528.0,111884202.0,102642678.0,132879033.0,151466243.0,152878434.0,173850702.0,276346537.0,196517726.0,199845988.0,216599516.0,217258601.0,,309452139.0,288278518.0,,,83241528.0,102642678.0,151466243.0,173850702.0,196517726.0,216599516.0,,288278518.0,67704610.0,102642678.0,152878434.0,196517726.0,217258601.0,288278518.0,,102642678.0,173850702.0,216599516.0,288278518.0,67704610.0,151466243.0,199845988.0,288278518.0,151466243.0,288278518.0,288278518.0,288278518.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,0.0,7414424.0,17300442.0,11746599.0,,27311507.0,36028644.0,,,,,,,0.0,17300442.0,,36028644.0,,,,0.0,11746599.0,36028644.0,,,,17300442.0,36028644.0,,,7414424.0,36028644.0,,36028644.0,36028644.0,36028644.0,CommonMetricExtracted
TotalLiability,,,,,,,,144730779.0,436484751.0,451127584.0,426156167.0,399195599.0,302535651.0,223682408.0,230715373.0,233998042.0,193402699.0,,298920483.0,288721320.0,,,,144730779.0,451127584.0,399195599.0,223682408.0,233998042.0,,288721320.0,,144730779.0,426156167.0,223682408.0,193402699.0,288721320.0,,144730779.0,399195599.0,233998042.0,288721320.0,,451127584.0,230715373.0,288721320.0,451127584.0,288721320.0,288721320.0,288721320.0,CommonMetricExtracted
ShareholderEquity,,,,698596322.0,735928743.0,893530826.0,1027118521.0,1120960556.0,1327603683.0,1571412445.0,1722516761.0,1910424234.0,2049518261.0,1861751660.0,1938087820.0,1963943128.0,1937988467.0,,2312517069.0,2467950655.0,,698596322.0,893530826.0,1120960556.0,1571412445.0,1910424234.0,1861751660.0,1963943128.0,,2467950655.0,735928743.0,1120960556.0,1722516761.0,1861751660.0,1937988467.0,2467950655.0,698596322.0,1120960556.0,1910424234.0,1963943128.0,2467950655.0,735928743.0,1571412445.0,1938087820.0,2467950655.0,1571412445.0,2467950655.0,2467950655.0,2467950655.0,CommonMetricExtracted
