,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,10887612000.0,11123721000.0,11601400000.0,12043800000.0,10851800000.0,13481900000.0,16222100000.0,17873700000.0,19934300000.0,,,,,,,11123721000.0,12043800000.0,13481900000.0,17873700000.0,,,,10887612000.0,12043800000.0,16222100000.0,,,,11123721000.0,13481900000.0,,,,10851800000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,4632136000.0,5119165000.0,6358848000.0,7626035000.0,8489951000.0,9098533000.0,9292543000.0,9478212000.0,9876300000.0,10227800000.0,9082900000.0,11041200000.0,13256900000.0,14853400000.0,16693300000.0,,,,5119165000.0,7626035000.0,9098533000.0,9478212000.0,10227800000.0,11041200000.0,14853400000.0,,4632136000.0,7626035000.0,9292543000.0,10227800000.0,13256900000.0,,,7626035000.0,9478212000.0,11041200000.0,,4632136000.0,9098533000.0,9082900000.0,,9098533000.0,4632136000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,693635000.0,735229000.0,848446000.0,976856000.0,1061964000.0,1120833000.0,1170763000.0,1226200000.0,1273100000.0,1358400000.0,1169300000.0,1477200000.0,1783300000.0,1926800000.0,2179200000.0,,,,735229000.0,976856000.0,1120833000.0,1226200000.0,1358400000.0,1477200000.0,1926800000.0,,693635000.0,976856000.0,1170763000.0,1358400000.0,1783300000.0,,,976856000.0,1226200000.0,1477200000.0,,693635000.0,1120833000.0,1169300000.0,,1120833000.0,693635000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,146103000.0,193503000.0,229996000.0,273322000.0,302110000.0,278338000.0,340234000.0,341900000.0,341100000.0,363700000.0,495700000.0,884400000.0,1091400000.0,968600000.0,909100000.0,,,,193503000.0,273322000.0,278338000.0,341900000.0,363700000.0,884400000.0,968600000.0,,146103000.0,273322000.0,340234000.0,363700000.0,1091400000.0,,,273322000.0,341900000.0,884400000.0,,146103000.0,278338000.0,495700000.0,,278338000.0,146103000.0,,CommonMetricExtracted
Interest,,,,,,27217000.0,33722000.0,37465000.0,38971000.0,49693000.0,56903000.0,67936000.0,70500000.0,75800000.0,74900000.0,62600000.0,55800000.0,77500000.0,99800000.0,141300000.0,,,,33722000.0,38971000.0,56903000.0,70500000.0,74900000.0,55800000.0,99800000.0,,27217000.0,38971000.0,67936000.0,74900000.0,77500000.0,,,38971000.0,70500000.0,55800000.0,,27217000.0,56903000.0,62600000.0,,56903000.0,27217000.0,,CommonMetricExtracted
Taxes,,,,,,30600000.0,49700000.0,60526000.0,77903000.0,71396000.0,88172000.0,80306000.0,5600000.0,47631000.0,53700000.0,84200000.0,175500000.0,231100000.0,198200000.0,161500000.0,,,,49700000.0,77903000.0,88172000.0,5600000.0,53700000.0,175500000.0,198200000.0,,30600000.0,77903000.0,80306000.0,53700000.0,231100000.0,,,77903000.0,5600000.0,175500000.0,,30600000.0,88172000.0,84200000.0,,88172000.0,30600000.0,,CommonMetricExtracted
NetIncome,,,,,34845000.0,50304000.0,82394000.0,100209000.0,113992000.0,93004000.0,93999000.0,147065000.0,213442000.0,157800000.0,174000000.0,286500000.0,552100000.0,751500000.0,601600000.0,498100000.0,,,34845000.0,82394000.0,113992000.0,93999000.0,213442000.0,174000000.0,552100000.0,601600000.0,,50304000.0,113992000.0,147065000.0,174000000.0,751500000.0,,34845000.0,113992000.0,213442000.0,552100000.0,,50304000.0,93999000.0,286500000.0,,93999000.0,50304000.0,,CommonMetricExtracted
Cash,,,,23144000.0,13221000.0,19843000.0,14895000.0,4650000.0,20215000.0,40975000.0,13037000.0,20992000.0,28787000.0,,23800000.0,87300000.0,14900000.0,47900000.0,57200000.0,34400000.0,,23144000.0,19843000.0,4650000.0,40975000.0,20992000.0,,87300000.0,47900000.0,34400000.0,13221000.0,4650000.0,13037000.0,,14900000.0,34400000.0,23144000.0,4650000.0,20992000.0,87300000.0,34400000.0,13221000.0,40975000.0,23800000.0,34400000.0,40975000.0,34400000.0,34400000.0,34400000.0,CommonMetricExtracted
CurrentReceivables,,,,,,113846000.0,167507000.0,204396000.0,225156000.0,237448000.0,410206000.0,442872000.0,495044000.0,,478900000.0,411200000.0,396800000.0,477700000.0,607600000.0,663100000.0,,,113846000.0,204396000.0,237448000.0,442872000.0,,411200000.0,477700000.0,663100000.0,,204396000.0,410206000.0,,396800000.0,663100000.0,,204396000.0,442872000.0,411200000.0,663100000.0,,237448000.0,478900000.0,663100000.0,237448000.0,663100000.0,663100000.0,663100000.0,CommonMetricExtracted
