,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2898150000.0,3975163000.0,3366366000.0,4911892000.0,7423558000.0,8523762000.0,8975515000.0,9654419000.0,10105894000.0,,,,,,,3975163000.0,4911892000.0,8523762000.0,9654419000.0,,,,2898150000.0,4911892000.0,8975515000.0,,,,3975163000.0,8523762000.0,,,,7423558000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1147639000.0,1928037000.0,1095014000.0,2073803000.0,3650727000.0,3773725000.0,3778617000.0,3727521000.0,3760116000.0,,,,,,,1928037000.0,2073803000.0,3773725000.0,3727521000.0,,,,1147639000.0,2073803000.0,3778617000.0,,,,1928037000.0,3773725000.0,,,,3650727000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,664905000.0,734580000.0,863191000.0,1027304000.0,,1203512000.0,1295014000.0,1325567000.0,1488258000.0,1534297000.0,2046672000.0,2878878000.0,3391161000.0,3524578000.0,4073768000.0,4285307000.0,,,664905000.0,863191000.0,,1295014000.0,1488258000.0,2046672000.0,3391161000.0,4073768000.0,,734580000.0,,1325567000.0,2046672000.0,3524578000.0,,664905000.0,,1488258000.0,3391161000.0,,734580000.0,1295014000.0,2878878000.0,,1295014000.0,734580000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,292546000.0,323279000.0,331594000.0,307349000.0,,405499000.0,456597000.0,424944000.0,558868000.0,737055000.0,791417000.0,893953000.0,1358876000.0,640151000.0,1716386000.0,2333605000.0,,,292546000.0,331594000.0,,456597000.0,558868000.0,791417000.0,1358876000.0,1716386000.0,,323279000.0,,424944000.0,791417000.0,640151000.0,,292546000.0,,558868000.0,1358876000.0,,323279000.0,456597000.0,893953000.0,,456597000.0,323279000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,449433000.0,660150000.0,633986000.0,,,,,,,,,,660150000.0,,,,,,449433000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,85252000.0,87379000.0,95076000.0,82881000.0,,107398000.0,107995000.0,70695000.0,-101387000.0,77488000.0,62190000.0,77153000.0,169034000.0,166694000.0,209020000.0,295133000.0,,,85252000.0,95076000.0,,107995000.0,-101387000.0,62190000.0,169034000.0,209020000.0,,87379000.0,,70695000.0,62190000.0,166694000.0,,85252000.0,,-101387000.0,169034000.0,,87379000.0,107995000.0,77153000.0,,107995000.0,87379000.0,,CommonMetricExtracted
NetIncome,,,,,74178000.0,219109000.0,228156000.0,217566000.0,,269952000.0,309115000.0,290217000.0,494070000.0,484667000.0,469276000.0,605100000.0,987864000.0,143313000.0,1028823000.0,1644153000.0,,,74178000.0,228156000.0,,309115000.0,494070000.0,469276000.0,987864000.0,1028823000.0,,219109000.0,,290217000.0,469276000.0,143313000.0,,74178000.0,,494070000.0,987864000.0,,219109000.0,309115000.0,605100000.0,,309115000.0,219109000.0,,CommonMetricExtracted
Cash,,,,456060000.0,426935000.0,769946000.0,1354285000.0,781275000.0,680470000.0,581872000.0,650739000.0,1044728000.0,1335855000.0,1210878000.0,1678273000.0,1945868000.0,1979308000.0,1997566000.0,2088887000.0,2538416000.0,,456060000.0,769946000.0,781275000.0,581872000.0,1044728000.0,1210878000.0,1945868000.0,1997566000.0,2538416000.0,426935000.0,781275000.0,650739000.0,1210878000.0,1979308000.0,2538416000.0,456060000.0,781275000.0,1044728000.0,1945868000.0,2538416000.0,426935000.0,581872000.0,1678273000.0,2538416000.0,581872000.0,2538416000.0,2538416000.0,2538416000.0,CommonMetricExtracted
CurrentReceivables,,,,,,131817000.0,166540000.0,182962000.0,189435000.0,214574000.0,202390000.0,281612000.0,301887000.0,348400000.0,895232000.0,794172000.0,946247000.0,998332000.0,1120078000.0,1081740000.0,,,131817000.0,182962000.0,214574000.0,281612000.0,348400000.0,794172000.0,998332000.0,1081740000.0,,182962000.0,202390000.0,348400000.0,946247000.0,1081740000.0,,182962000.0,281612000.0,794172000.0,1081740000.0,,214574000.0,895232000.0,1081740000.0,214574000.0,1081740000.0,1081740000.0,1081740000.0,CommonMetricExtracted
