,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,526016000.0,985737000.0,1394205000.0,1619971000.0,1185481000.0,1179741000.0,1148337000.0,1194651000.0,891925000.0,,1093541000.0,1005459000.0,801473000.0,,,,,985737000.0,1619971000.0,1179741000.0,1194651000.0,,1005459000.0,,,985737000.0,1185481000.0,1194651000.0,1093541000.0,,,985737000.0,1179741000.0,,,,1619971000.0,891925000.0,,1619971000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,298530000.0,623953000.0,766970000.0,946757000.0,723561000.0,795211000.0,786903000.0,781862000.0,577411000.0,,686713000.0,681886000.0,530178000.0,,,,,623953000.0,946757000.0,795211000.0,781862000.0,,681886000.0,,,623953000.0,723561000.0,781862000.0,686713000.0,,,623953000.0,795211000.0,,,,946757000.0,577411000.0,,946757000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,116855000.0,157771000.0,194377000.0,268939000.0,368620000.0,236581000.0,222096000.0,206431000.0,151380000.0,,166967000.0,169578000.0,160635000.0,,,,,157771000.0,268939000.0,236581000.0,206431000.0,,169578000.0,,,157771000.0,368620000.0,206431000.0,166967000.0,,,157771000.0,236581000.0,,,,268939000.0,151380000.0,,268939000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,36115000.0,73737000.0,151852000.0,241694000.0,358902000.0,229265000.0,167296000.0,142894000.0,131589000.0,,139885000.0,165688000.0,185897000.0,,,,,73737000.0,241694000.0,229265000.0,142894000.0,,165688000.0,,,73737000.0,358902000.0,142894000.0,139885000.0,,,73737000.0,229265000.0,,,,241694000.0,131589000.0,,241694000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,-588000.0,787000.0,733000.0,4970000.0,2492000.0,4881000.0,,1740000.0,12429000.0,5273000.0,,,,,,-588000.0,733000.0,2492000.0,,12429000.0,,,,787000.0,2492000.0,1740000.0,,,,733000.0,,,,-588000.0,4881000.0,,-588000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,1575000.0,2992000.0,13660000.0,18683000.0,19229000.0,20257000.0,,6242000.0,4699000.0,3329000.0,,,,,,1575000.0,13660000.0,19229000.0,,4699000.0,,,,2992000.0,19229000.0,6242000.0,,,,13660000.0,,,,1575000.0,20257000.0,,1575000.0,,,CommonMetricExtracted
Taxes,,,,,,,,20948000.0,30751000.0,52887000.0,16454000.0,43829000.0,6486000.0,1359000.0,-4428000.0,4826000.0,,5606000.0,-14550000.0,299222000.0,,,,,30751000.0,16454000.0,6486000.0,-4428000.0,,-14550000.0,,,30751000.0,43829000.0,-4428000.0,5606000.0,,,30751000.0,6486000.0,,,,16454000.0,4826000.0,,16454000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,32262000.0,60578000.0,128088000.0,36131000.0,-419003000.0,-182873000.0,-109034000.0,-14642000.0,-66783000.0,,28847000.0,-53183000.0,-432311000.0,,,,,60578000.0,36131000.0,-182873000.0,-14642000.0,,-53183000.0,,,60578000.0,-419003000.0,-14642000.0,28847000.0,,,60578000.0,-182873000.0,,,,36131000.0,-66783000.0,,36131000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,55305000.0,54739000.0,57767000.0,,122669000.0,183992000.0,145692000.0,164553000.0,112935000.0,,,107244000.0,114221000.0,,91452000.0,,,,54739000.0,,183992000.0,164553000.0,,107244000.0,,,55305000.0,,145692000.0,,114221000.0,,,,164553000.0,107244000.0,,55305000.0,183992000.0,,,183992000.0,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,122680000.0,150308000.0,140404000.0,,,14095000.0,57095000.0,146459000.0,146459000.0,,,146459000.0,146459000.0,,146459000.0,5900000.0,,,150308000.0,,14095000.0,146459000.0,,146459000.0,,5900000.0,122680000.0,,57095000.0,,146459000.0,5900000.0,,,146459000.0,146459000.0,5900000.0,122680000.0,14095000.0,,5900000.0,14095000.0,5900000.0,5900000.0,5900000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
