,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,1572090.0,21867289.0,24155828.0,13934265.0,877844.0,915000.0,735000.0,,,,,,,1572090.0,24155828.0,877844.0,735000.0,,,,1572090.0,13934265.0,735000.0,,,,24155828.0,735000.0,,,21867289.0,735000.0,,735000.0,735000.0,735000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,254092.0,1577708.0,1861534.0,1403774.0,674626.0,511000.0,0.0,,,,,,,254092.0,1861534.0,674626.0,0.0,,,,254092.0,1403774.0,0.0,,,,1861534.0,0.0,,,1577708.0,0.0,,0.0,0.0,0.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,581000.0,409000.0,,,,,,,,,,409000.0,,,,,,409000.0,,,,,409000.0,,,,409000.0,,409000.0,409000.0,409000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,3017731.0,24522671.0,27732703.0,18230064.0,14892032.0,5398000.0,2275000.0,,,,,,,3017731.0,27732703.0,14892032.0,2275000.0,,,,3017731.0,18230064.0,2275000.0,,,,27732703.0,2275000.0,,,24522671.0,2275000.0,,2275000.0,2275000.0,2275000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,0.0,131095.0,153151.0,48880.0,12916000.0,2994000.0,,,,,,,,131095.0,48880.0,2994000.0,,,,,153151.0,2994000.0,,,,131095.0,2994000.0,,,0.0,2994000.0,,2994000.0,2994000.0,2994000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,21609794.0,2164722.0,100000.0,100000.0,,,,,,,,,2164722.0,100000.0,,,,,21609794.0,100000.0,,,,,100000.0,,,,100000.0,,100000.0,100000.0,100000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,24202237.0,58529619.0,94483167.0,19468492.0,18834000.0,7632000.0,,,,,,,,58529619.0,19468492.0,7632000.0,,,,,94483167.0,7632000.0,,,,58529619.0,7632000.0,,,24202237.0,7632000.0,,7632000.0,7632000.0,7632000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
