,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,847000.0,616000.0,6143000.0,9894000.0,,6330000.0,4337000.0,3477000.0,2745000.0,11454000.0,8856000.0,8906000.0,4182000.0,3853000.0,,,,616000.0,9894000.0,6330000.0,3477000.0,11454000.0,8906000.0,3853000.0,,616000.0,,3477000.0,8856000.0,3853000.0,,616000.0,6330000.0,11454000.0,3853000.0,,9894000.0,2745000.0,3853000.0,9894000.0,3853000.0,3853000.0,3853000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,145000.0,193000.0,150000.0,,425000.0,573000.0,1735000.0,810000.0,,,,769000.0,890000.0,,,,145000.0,150000.0,425000.0,1735000.0,,,890000.0,,145000.0,,1735000.0,,890000.0,,145000.0,425000.0,,890000.0,,150000.0,810000.0,890000.0,150000.0,890000.0,890000.0,890000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,53000.0,106000.0,55000.0,,349000.0,296000.0,151000.0,220000.0,275000.0,641000.0,888000.0,235000.0,395000.0,,,,53000.0,55000.0,349000.0,151000.0,275000.0,888000.0,395000.0,,53000.0,,151000.0,641000.0,395000.0,,53000.0,349000.0,275000.0,395000.0,,55000.0,220000.0,395000.0,55000.0,395000.0,395000.0,395000.0,CommonMetricExtracted
Inventory,,,,,,,,159000.0,184000.0,282000.0,,631000.0,847000.0,1004000.0,1128000.0,1093000.0,1303000.0,1387000.0,1407000.0,1419000.0,,,,159000.0,282000.0,631000.0,1004000.0,1093000.0,1387000.0,1419000.0,,159000.0,,1004000.0,1303000.0,1419000.0,,159000.0,631000.0,1093000.0,1419000.0,,282000.0,1128000.0,1419000.0,282000.0,1419000.0,1419000.0,1419000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,3858000.0,6641000.0,10391000.0,,7793000.0,6066000.0,6381000.0,4915000.0,13491000.0,11444000.0,11875000.0,6593000.0,6557000.0,,,,3858000.0,10391000.0,7793000.0,6381000.0,13491000.0,11875000.0,6557000.0,,3858000.0,,6381000.0,11444000.0,6557000.0,,3858000.0,7793000.0,13491000.0,6557000.0,,10391000.0,4915000.0,6557000.0,10391000.0,6557000.0,6557000.0,6557000.0,CommonMetricExtracted
