,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2514617000.0,2989713000.0,3318414000.0,3445606000.0,3562459000.0,3501865000.0,3301256000.0,3509138000.0,4007574000.0,,,,,,,2989713000.0,3445606000.0,3501865000.0,3509138000.0,,,,2514617000.0,3445606000.0,3301256000.0,,,,2989713000.0,3501865000.0,,,,3562459000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,1613970000.0,1585181000.0,1761568000.0,1848278000.0,2089724000.0,2035529000.0,2071193000.0,2213247000.0,2679633000.0,2952191000.0,3223928000.0,3217671000.0,3139220000.0,2931762000.0,3112739000.0,3434877000.0,,,1613970000.0,1761568000.0,2089724000.0,2071193000.0,2679633000.0,3223928000.0,3139220000.0,3112739000.0,,1585181000.0,2089724000.0,2213247000.0,3223928000.0,2931762000.0,,1613970000.0,2089724000.0,2679633000.0,3139220000.0,,1585181000.0,2071193000.0,3217671000.0,,2071193000.0,1585181000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,260761000.0,228046000.0,191593000.0,,185099000.0,199946000.0,203821000.0,207339000.0,219299000.0,222811000.0,272776000.0,307981000.0,353320000.0,303015000.0,272610000.0,294466000.0,334162000.0,,,228046000.0,,199946000.0,207339000.0,222811000.0,307981000.0,303015000.0,294466000.0,,191593000.0,199946000.0,219299000.0,307981000.0,272610000.0,,228046000.0,199946000.0,222811000.0,303015000.0,,191593000.0,207339000.0,353320000.0,,207339000.0,191593000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,216691000.0,129179000.0,-109340000.0,99269000.0,80835000.0,-54692000.0,65100000.0,110308000.0,92354000.0,98715000.0,64043000.0,-41724000.0,19735000.0,24718000.0,85381000.0,80062000.0,207363000.0,,,129179000.0,99269000.0,-54692000.0,110308000.0,98715000.0,-41724000.0,24718000.0,80062000.0,,-109340000.0,-54692000.0,92354000.0,-41724000.0,85381000.0,,129179000.0,-54692000.0,98715000.0,24718000.0,,-109340000.0,110308000.0,19735000.0,,110308000.0,-109340000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,12624000.0,18462000.0,29188000.0,,,,,,,,,,18462000.0,,,,,,12624000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,67692000.0,38650000.0,-43928000.0,23348000.0,21109000.0,-19263000.0,19721000.0,35179000.0,30162000.0,28662000.0,10414000.0,-12288000.0,9927000.0,19713000.0,12960000.0,30267000.0,55749000.0,,,38650000.0,23348000.0,-19263000.0,35179000.0,28662000.0,-12288000.0,19713000.0,30267000.0,,-43928000.0,-19263000.0,30162000.0,-12288000.0,12960000.0,,38650000.0,-19263000.0,28662000.0,19713000.0,,-43928000.0,35179000.0,9927000.0,,35179000.0,-43928000.0,,CommonMetricExtracted
NetIncome,,,,165738000.0,100201000.0,-62448000.0,66085000.0,59920000.0,-44766000.0,35876000.0,68248000.0,66200000.0,75801000.0,53741000.0,-56702000.0,-166181000.0,2414000.0,78857000.0,29587000.0,140443000.0,,,100201000.0,66085000.0,-44766000.0,68248000.0,75801000.0,-56702000.0,2414000.0,29587000.0,,-62448000.0,-44766000.0,66200000.0,-56702000.0,78857000.0,,100201000.0,-44766000.0,75801000.0,2414000.0,,-62448000.0,68248000.0,-166181000.0,,68248000.0,-62448000.0,,CommonMetricExtracted
Cash,,,352434000.0,460843000.0,338956000.0,252022000.0,256990000.0,321990000.0,229121000.0,255961000.0,252836000.0,189326000.0,233711000.0,,200263000.0,436136000.0,395647000.0,360911000.0,417663000.0,578330000.0,,460843000.0,252022000.0,321990000.0,255961000.0,189326000.0,,436136000.0,360911000.0,578330000.0,338956000.0,321990000.0,252836000.0,,395647000.0,578330000.0,460843000.0,321990000.0,189326000.0,436136000.0,578330000.0,338956000.0,255961000.0,200263000.0,578330000.0,255961000.0,578330000.0,578330000.0,578330000.0,CommonMetricExtracted
CurrentReceivables,,,,,280252000.0,243986000.0,,,,,,,,,380985000.0,540812000.0,464588000.0,380502000.0,598705000.0,511742000.0,,,243986000.0,,,,,540812000.0,380502000.0,511742000.0,280252000.0,,,,464588000.0,511742000.0,,,,540812000.0,511742000.0,280252000.0,,380985000.0,511742000.0,,511742000.0,511742000.0,511742000.0,CommonMetricExtracted
