,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,886116000.0,903923000.0,967579000.0,988479000.0,870463000.0,993196000.0,1168660000.0,1309055000.0,,,,,,,886116000.0,967579000.0,870463000.0,1168660000.0,,,,,967579000.0,993196000.0,,,,886116000.0,870463000.0,,,,988479000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,507622000.0,492015000.0,550043000.0,503966000.0,472625000.0,487694000.0,553563000.0,617507000.0,,,,,,,507622000.0,550043000.0,472625000.0,553563000.0,,,,,550043000.0,487694000.0,,,,507622000.0,472625000.0,,,,503966000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,214483000.0,213899000.0,245261000.0,323053000.0,366022000.0,337168000.0,317223000.0,301726000.0,316523000.0,298277000.0,299680000.0,275216000.0,340140000.0,376675000.0,431780000.0,,,,213899000.0,323053000.0,337168000.0,301726000.0,298277000.0,275216000.0,376675000.0,,214483000.0,323053000.0,317223000.0,298277000.0,340140000.0,,,323053000.0,301726000.0,275216000.0,,214483000.0,337168000.0,299680000.0,,337168000.0,214483000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,26376000.0,32656000.0,36801000.0,44394000.0,54200000.0,54187000.0,44965000.0,37556000.0,39228000.0,35714000.0,30883000.0,32857000.0,46801000.0,50131000.0,54435000.0,,,,32656000.0,44394000.0,54187000.0,37556000.0,35714000.0,32857000.0,50131000.0,,26376000.0,44394000.0,44965000.0,35714000.0,46801000.0,,,44394000.0,37556000.0,32857000.0,,26376000.0,54187000.0,30883000.0,,54187000.0,26376000.0,,CommonMetricExtracted
OperatingMargin,,,,,,83281000.0,110548000.0,88758000.0,56437000.0,47327000.0,40540000.0,-43942000.0,-19381000.0,56157000.0,83545000.0,103351000.0,89747000.0,80750000.0,156033000.0,164883000.0,,,,110548000.0,56437000.0,40540000.0,-19381000.0,83545000.0,89747000.0,156033000.0,,83281000.0,56437000.0,-43942000.0,83545000.0,80750000.0,,,56437000.0,-19381000.0,89747000.0,,83281000.0,40540000.0,103351000.0,,40540000.0,83281000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,22901000.0,30101000.0,22612000.0,11097000.0,1253000.0,14268000.0,2163000.0,-1208000.0,14060000.0,18614000.0,10626000.0,-6556000.0,20254000.0,26002000.0,34307000.0,,,,30101000.0,11097000.0,14268000.0,-1208000.0,18614000.0,-6556000.0,26002000.0,,22901000.0,11097000.0,2163000.0,18614000.0,20254000.0,,,11097000.0,-1208000.0,-6556000.0,,22901000.0,14268000.0,10626000.0,,14268000.0,22901000.0,,CommonMetricExtracted
NetIncome,,,,,,58370000.0,79980000.0,66886000.0,38800000.0,35148000.0,16897000.0,-55579000.0,-26268000.0,45572000.0,55019000.0,76526000.0,79469000.0,43375000.0,115401000.0,117558000.0,,,,79980000.0,38800000.0,16897000.0,-26268000.0,55019000.0,79469000.0,115401000.0,,58370000.0,38800000.0,-55579000.0,55019000.0,43375000.0,,,38800000.0,-26268000.0,79469000.0,,58370000.0,16897000.0,76526000.0,,16897000.0,58370000.0,,CommonMetricExtracted
Cash,,,,133553000.0,156721000.0,141562000.0,196707000.0,228861000.0,179120000.0,192469000.0,160662000.0,115123000.0,139564000.0,180169000.0,169351000.0,137311000.0,192305000.0,259496000.0,284466000.0,178800000.0,,133553000.0,141562000.0,228861000.0,192469000.0,115123000.0,180169000.0,137311000.0,259496000.0,178800000.0,156721000.0,228861000.0,160662000.0,180169000.0,192305000.0,178800000.0,133553000.0,228861000.0,115123000.0,137311000.0,178800000.0,156721000.0,192469000.0,169351000.0,178800000.0,192469000.0,178800000.0,178800000.0,178800000.0,CommonMetricExtracted
CurrentReceivables,,,,,,118580000.0,127166000.0,135464000.0,170111000.0,164603000.0,145827000.0,157093000.0,152683000.0,151226000.0,185027000.0,165207000.0,127555000.0,159376000.0,179142000.0,206562000.0,,,118580000.0,135464000.0,164603000.0,157093000.0,151226000.0,165207000.0,159376000.0,206562000.0,,135464000.0,145827000.0,151226000.0,127555000.0,206562000.0,,135464000.0,157093000.0,165207000.0,206562000.0,,164603000.0,185027000.0,206562000.0,164603000.0,206562000.0,206562000.0,206562000.0,CommonMetricExtracted
