,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1376258000.0,1524813000.0,1777721000.0,2055647000.0,1787009000.0,1865682000.0,2208322000.0,2968105000.0,3857669000.0,,,,,,,1524813000.0,2055647000.0,1865682000.0,2968105000.0,,,,1376258000.0,2055647000.0,2208322000.0,,,,1524813000.0,1865682000.0,,,,1787009000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,357285000.0,394673000.0,490450000.0,569911000.0,637576000.0,733999000.0,754469000.0,860766000.0,950088000.0,1087006000.0,1241807000.0,1104882000.0,1138259000.0,1345563000.0,1814617000.0,2355943000.0,,,357285000.0,490450000.0,637576000.0,754469000.0,950088000.0,1241807000.0,1138259000.0,1814617000.0,,394673000.0,637576000.0,860766000.0,1241807000.0,1345563000.0,,357285000.0,637576000.0,950088000.0,1138259000.0,,394673000.0,754469000.0,1104882000.0,,754469000.0,394673000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,92756000.0,113174000.0,136010000.0,164142000.0,187591000.0,194924000.0,204523000.0,250147000.0,268067000.0,314470000.0,356743000.0,305479000.0,334523000.0,365915000.0,528149000.0,677271000.0,,,92756000.0,136010000.0,187591000.0,204523000.0,268067000.0,356743000.0,334523000.0,528149000.0,,113174000.0,187591000.0,250147000.0,356743000.0,365915000.0,,92756000.0,187591000.0,268067000.0,334523000.0,,113174000.0,204523000.0,305479000.0,,204523000.0,113174000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,88255000.0,109173000.0,138431000.0,163294000.0,183590000.0,203388000.0,229656000.0,265345000.0,306658000.0,376245000.0,457097000.0,376648000.0,392900000.0,496844000.0,625339000.0,824455000.0,,,88255000.0,138431000.0,183590000.0,229656000.0,306658000.0,457097000.0,392900000.0,625339000.0,,109173000.0,183590000.0,265345000.0,457097000.0,496844000.0,,88255000.0,183590000.0,306658000.0,392900000.0,,109173000.0,229656000.0,376648000.0,,229656000.0,109173000.0,,CommonMetricExtracted
Interest,,,,,615000.0,508000.0,142000.0,2432000.0,3717000.0,5441000.0,4626000.0,8272000.0,9790000.0,19901000.0,21695000.0,13159000.0,7285000.0,6386000.0,72984000.0,149313000.0,,,615000.0,142000.0,3717000.0,4626000.0,9790000.0,21695000.0,7285000.0,72984000.0,,508000.0,3717000.0,8272000.0,21695000.0,6386000.0,,615000.0,3717000.0,9790000.0,7285000.0,,508000.0,4626000.0,13159000.0,,4626000.0,508000.0,,CommonMetricExtracted
Taxes,,,,,28000000.0,36700000.0,42900000.0,54500000.0,56200000.0,59800000.0,71400000.0,80900000.0,90300000.0,70600000.0,78100000.0,29000000.0,57300000.0,100400000.0,110900000.0,118500000.0,,,28000000.0,42900000.0,56200000.0,71400000.0,90300000.0,78100000.0,57300000.0,110900000.0,,36700000.0,56200000.0,80900000.0,78100000.0,100400000.0,,28000000.0,56200000.0,90300000.0,57300000.0,,36700000.0,71400000.0,29000000.0,,71400000.0,36700000.0,,CommonMetricExtracted
NetIncome,,,,,59845000.0,72355000.0,95453000.0,106675000.0,124561000.0,138772000.0,153564000.0,176150000.0,207660000.0,285686000.0,359741000.0,335855000.0,329758000.0,390623000.0,444383000.0,559086000.0,,,59845000.0,95453000.0,124561000.0,153564000.0,207660000.0,359741000.0,329758000.0,444383000.0,,72355000.0,124561000.0,176150000.0,359741000.0,390623000.0,,59845000.0,124561000.0,207660000.0,329758000.0,,72355000.0,153564000.0,335855000.0,,153564000.0,72355000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,406852000.0,108298000.0,139504000.0,171048000.0,162103000.0,,,,,,,,406852000.0,139504000.0,162103000.0,,,,,108298000.0,162103000.0,,,,406852000.0,162103000.0,,,,162103000.0,,162103000.0,162103000.0,162103000.0,CommonMetricExtracted
CurrentReceivables,,,,,,91815000.0,106414000.0,122214000.0,157022000.0,149669000.0,181593000.0,202227000.0,222456000.0,251469000.0,274326000.0,210433000.0,244919000.0,294848000.0,509075000.0,538487000.0,,,91815000.0,122214000.0,149669000.0,202227000.0,251469000.0,210433000.0,294848000.0,538487000.0,,122214000.0,181593000.0,251469000.0,244919000.0,538487000.0,,122214000.0,202227000.0,210433000.0,538487000.0,,149669000.0,274326000.0,538487000.0,149669000.0,538487000.0,538487000.0,538487000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,3769000.0,5471000.0,6997000.0,17022000.0,8868000.0,9369000.0,11674000.0,13742000.0,21187000.0,18953000.0,24706000.0,26045000.0,41929000.0,49837000.0,78518000.0,,,3769000.0,6997000.0,8868000.0,11674000.0,21187000.0,24706000.0,41929000.0,78518000.0,,6997000.0,9369000.0,21187000.0,26045000.0,78518000.0,,6997000.0,11674000.0,24706000.0,78518000.0,,8868000.0,18953000.0,78518000.0,8868000.0,78518000.0,78518000.0,78518000.0,CommonMetricExtracted
Inventory,,,,,,138215000.0,164967000.0,189704000.0,218893000.0,218042000.0,243517000.0,286302000.0,343628000.0,401553000.0,420319000.0,463205000.0,478050000.0,582471000.0,1013680000.0,1170949000.0,,,138215000.0,189704000.0,218042000.0,286302000.0,401553000.0,463205000.0,582471000.0,1170949000.0,,189704000.0,243517000.0,401553000.0,478050000.0,1170949000.0,,189704000.0,286302000.0,463205000.0,1170949000.0,,218042000.0,420319000.0,1170949000.0,218042000.0,1170949000.0,1170949000.0,1170949000.0,CommonMetricExtracted
CurrentAssets,,,,,,259249000.0,316638000.0,367911000.0,441472000.0,431293000.0,503612000.0,584221000.0,631892000.0,733808000.0,813731000.0,1165625000.0,937385000.0,1152730000.0,1855342000.0,2062292000.0,,,259249000.0,367911000.0,431293000.0,584221000.0,733808000.0,1165625000.0,1152730000.0,2062292000.0,,367911000.0,503612000.0,733808000.0,937385000.0,2062292000.0,,367911000.0,584221000.0,1165625000.0,2062292000.0,,431293000.0,813731000.0,2062292000.0,431293000.0,2062292000.0,2062292000.0,2062292000.0,CommonMetricExtracted
