,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,3218920000.0,2309590000.0,2664982000.0,3242335000.0,3374995000.0,3238470000.0,3239542000.0,2602982000.0,2380654000.0,2555625000.0,2860849000.0,2874601000.0,2579775000.0,2850379000.0,3741985000.0,3682166000.0,3219850000.0,,,2309590000.0,3242335000.0,3238470000.0,2602982000.0,2555625000.0,2874601000.0,2850379000.0,3682166000.0,,2664982000.0,3238470000.0,2380654000.0,2874601000.0,3741985000.0,,2309590000.0,3238470000.0,2555625000.0,2850379000.0,,2664982000.0,2602982000.0,2579775000.0,,2602982000.0,2664982000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,9390000.0,12222000.0,6016000.0,5964000.0,7007000.0,5561000.0,6771000.0,6928000.0,8325000.0,12483000.0,10877000.0,11987000.0,8768000.0,9534000.0,10574000.0,15164000.0,13786000.0,,,12222000.0,5964000.0,5561000.0,6928000.0,12483000.0,11987000.0,9534000.0,15164000.0,,6016000.0,5561000.0,8325000.0,11987000.0,10574000.0,,12222000.0,5561000.0,12483000.0,9534000.0,,6016000.0,6928000.0,8768000.0,,6928000.0,6016000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,0.73,0.49,-0.81,,,,,,,,,,0.49,,,,,,0.73,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,103402000.0,125532000.0,127207000.0,,,,,,,,,,125532000.0,,,,,,103402000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,0.73,0.49,-0.81,,,,,,,,,,0.49,,,,,,0.73,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,79989000.0,53362000.0,-103486000.0,,,,,,,,,,53362000.0,,,,,,79989000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,305551000.0,199877000.0,679546000.0,750535000.0,,,,,,,,,199877000.0,750535000.0,,,,,305551000.0,750535000.0,,,,,750535000.0,,,,750535000.0,,750535000.0,750535000.0,750535000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,546704000.0,457171000.0,,,,,,,,,,457171000.0,,,,,,457171000.0,,,,,457171000.0,,,,457171000.0,,457171000.0,457171000.0,457171000.0,CommonMetricExtracted
