,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,53341000.0,59522000.0,74120000.0,69109000.0,71428000.0,121106000.0,135739000.0,138512000.0,147880000.0,199406000.0,217850000.0,214320000.0,212831000.0,227457000.0,284465000.0,309712000.0,,,53341000.0,74120000.0,71428000.0,135739000.0,147880000.0,217850000.0,212831000.0,284465000.0,,59522000.0,71428000.0,138512000.0,217850000.0,227457000.0,,53341000.0,71428000.0,147880000.0,212831000.0,,59522000.0,135739000.0,214320000.0,,135739000.0,59522000.0,,CommonMetricExtracted
Interest,,,,,30716000.0,40588000.0,52053000.0,50392000.0,59515000.0,99379000.0,106208000.0,106473000.0,110575000.0,149395000.0,146788000.0,148940000.0,149269000.0,150966000.0,166623000.0,158296000.0,,,30716000.0,52053000.0,59515000.0,106208000.0,110575000.0,146788000.0,149269000.0,166623000.0,,40588000.0,59515000.0,106473000.0,146788000.0,150966000.0,,30716000.0,59515000.0,110575000.0,149269000.0,,40588000.0,106208000.0,148940000.0,,106208000.0,40588000.0,,CommonMetricExtracted
Taxes,,,,,2295000.0,2661000.0,2912000.0,2195000.0,1918000.0,7328000.0,9578000.0,11215000.0,12688000.0,17602000.0,23045000.0,17541000.0,17492000.0,40627000.0,58509000.0,54972000.0,,,2295000.0,2912000.0,1918000.0,9578000.0,12688000.0,23045000.0,17492000.0,58509000.0,,2661000.0,1918000.0,11215000.0,23045000.0,40627000.0,,2295000.0,1918000.0,12688000.0,17492000.0,,2661000.0,9578000.0,17541000.0,,9578000.0,2661000.0,,CommonMetricExtracted
NetIncome,,,,,581000.0,13354000.0,6518000.0,13261000.0,9575000.0,21014000.0,37489000.0,38918000.0,41791000.0,53057000.0,67557000.0,46570000.0,98035000.0,81875000.0,61755000.0,43258000.0,,,581000.0,6518000.0,9575000.0,37489000.0,41791000.0,67557000.0,98035000.0,61755000.0,,13354000.0,9575000.0,38918000.0,67557000.0,81875000.0,,581000.0,9575000.0,41791000.0,98035000.0,,13354000.0,37489000.0,46570000.0,,37489000.0,13354000.0,,CommonMetricExtracted
Cash,,,,,107231000.0,168991000.0,123759000.0,107086000.0,130400000.0,,,103745000.0,103015000.0,161910000.0,228568000.0,,1723292000.0,103590000.0,224973000.0,117100000.0,,,168991000.0,107086000.0,,103745000.0,161910000.0,,103590000.0,117100000.0,107231000.0,107086000.0,,161910000.0,1723292000.0,117100000.0,,107086000.0,103745000.0,,117100000.0,107231000.0,,228568000.0,117100000.0,,117100000.0,117100000.0,117100000.0,CommonMetricExtracted
CurrentReceivables,,,,,,4626000.0,5117000.0,4821000.0,5462000.0,,,10925000.0,12244000.0,15403000.0,14446000.0,,57018000.0,8120263000.0,8690772000.0,9623729000.0,,,4626000.0,4821000.0,,10925000.0,15403000.0,,8120263000.0,9623729000.0,,4821000.0,,15403000.0,57018000.0,9623729000.0,,4821000.0,10925000.0,,9623729000.0,,,14446000.0,9623729000.0,,9623729000.0,9623729000.0,9623729000.0,CommonMetricExtracted
