,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,148757000.0,271878000.0,526916000.0,872000000.0,1476514000.0,,,,,,,,,271878000.0,872000000.0,,,,,,526916000.0,,,,,271878000.0,,,,148757000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,39307000.0,67384000.0,118194000.0,157051000.0,303379000.0,,,,,,,,,67384000.0,157051000.0,,,,,,118194000.0,,,,,67384000.0,,,,39307000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-17987000.0,-110795000.0,-65709000.0,-21571000.0,71711000.0,,,,,,,,,-110795000.0,-21571000.0,,,,,,-65709000.0,,,,,-110795000.0,,,,-17987000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,-18127000.0,-107785000.0,-65818000.0,-23393000.0,125838000.0,,,,,,,,,-107785000.0,-23393000.0,,,,,,-65818000.0,,,,,-107785000.0,,,,-18127000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,1147262.0,-3049014.0,-107659000.0,-65678000.0,-23546000.0,126038000.0,,,,,,,,1147262.0,-107659000.0,-23546000.0,,,,,1147262.0,-65678000.0,,,,,-107659000.0,,,,-3049014.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,27344000.0,71784000.0,46772000.0,96663000.0,220584000.0,,,,,,,,27344000.0,46772000.0,220584000.0,,,,,71784000.0,220584000.0,,,,27344000.0,220584000.0,,,,220584000.0,,220584000.0,220584000.0,220584000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
