,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,4488400000.0,4427700000.0,4891800000.0,4877100000.0,5541800000.0,5802800000.0,5204400000.0,5062400000.0,4993100000.0,,,,,,,4427700000.0,4877100000.0,5802800000.0,5062400000.0,,,,4488400000.0,4877100000.0,5204400000.0,,,,4427700000.0,5802800000.0,,,,5541800000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,458396000.0,493134000.0,558811000.0,680084000.0,812600000.0,963423000.0,982900000.0,856000000.0,854600000.0,848600000.0,919300000.0,958000000.0,1150600000.0,1239300000.0,1173600000.0,1191000000.0,1104300000.0,,,493134000.0,680084000.0,963423000.0,856000000.0,848600000.0,958000000.0,1239300000.0,1191000000.0,,558811000.0,963423000.0,854600000.0,958000000.0,1173600000.0,,493134000.0,963423000.0,848600000.0,1239300000.0,,558811000.0,856000000.0,1150600000.0,,856000000.0,558811000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,771847000.0,773911000.0,887655000.0,1074623000.0,1259700000.0,1629100000.0,1991100000.0,1784500000.0,1966900000.0,1758600000.0,1955200000.0,1940300000.0,2075000000.0,2012100000.0,1810400000.0,1866000000.0,1875400000.0,,,773911000.0,1074623000.0,1629100000.0,1784500000.0,1758600000.0,1940300000.0,2012100000.0,1866000000.0,,887655000.0,1629100000.0,1966900000.0,1940300000.0,1810400000.0,,773911000.0,1629100000.0,1758600000.0,2012100000.0,,887655000.0,1784500000.0,2075000000.0,,1784500000.0,887655000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,332252000.0,296031000.0,387512000.0,562270000.0,661447000.0,735300000.0,513500000.0,583600000.0,458100000.0,617100000.0,683100000.0,568100000.0,640600000.0,734100000.0,545200000.0,356400000.0,385900000.0,,,296031000.0,562270000.0,735300000.0,583600000.0,617100000.0,568100000.0,734100000.0,356400000.0,,387512000.0,735300000.0,458100000.0,568100000.0,545200000.0,,296031000.0,735300000.0,617100000.0,734100000.0,,387512000.0,583600000.0,640600000.0,,583600000.0,387512000.0,,CommonMetricExtracted
Interest,,,,,9613000.0,9664000.0,9864000.0,16736000.0,26600000.0,91700000.0,100500000.0,99300000.0,160800000.0,181000000.0,153000000.0,133000000.0,153100000.0,139300000.0,165900000.0,218300000.0,,,9613000.0,9864000.0,26600000.0,100500000.0,160800000.0,153000000.0,153100000.0,165900000.0,,9664000.0,26600000.0,99300000.0,153000000.0,139300000.0,,9613000.0,26600000.0,160800000.0,153100000.0,,9664000.0,100500000.0,133000000.0,,100500000.0,9664000.0,,CommonMetricExtracted
Taxes,,,,97840000.0,87582000.0,89562000.0,147201000.0,186944000.0,189200000.0,112600000.0,147300000.0,104700000.0,257300000.0,167600000.0,140400000.0,143800000.0,113600000.0,103500000.0,60800000.0,-84900000.0,,,87582000.0,147201000.0,189200000.0,147300000.0,257300000.0,140400000.0,113600000.0,60800000.0,,89562000.0,189200000.0,104700000.0,140400000.0,103500000.0,,87582000.0,189200000.0,257300000.0,113600000.0,,89562000.0,147300000.0,143800000.0,,147300000.0,89562000.0,,CommonMetricExtracted
NetIncome,,,,221190000.0,203346000.0,299215000.0,414959000.0,477190000.0,527525000.0,308700000.0,339100000.0,260000000.0,213900000.0,296600000.0,311000000.0,372600000.0,447200000.0,321300000.0,142200000.0,254300000.0,,,203346000.0,414959000.0,527525000.0,339100000.0,213900000.0,311000000.0,447200000.0,142200000.0,,299215000.0,527525000.0,260000000.0,311000000.0,321300000.0,,203346000.0,527525000.0,213900000.0,447200000.0,,299215000.0,339100000.0,372600000.0,,339100000.0,299215000.0,,CommonMetricExtracted
Cash,,,187407000.0,150847000.0,150801000.0,190550000.0,258800000.0,333534000.0,973000000.0,645400000.0,889800000.0,844000000.0,1278800000.0,1198900000.0,839400000.0,1045400000.0,601500000.0,508000000.0,575200000.0,415300000.0,,150847000.0,190550000.0,333534000.0,645400000.0,844000000.0,1198900000.0,1045400000.0,508000000.0,415300000.0,150801000.0,333534000.0,889800000.0,1198900000.0,601500000.0,415300000.0,150847000.0,333534000.0,844000000.0,1045400000.0,415300000.0,150801000.0,645400000.0,839400000.0,415300000.0,645400000.0,415300000.0,415300000.0,415300000.0,CommonMetricExtracted
CurrentReceivables,,,,,76958000.0,85612000.0,89660000.0,116139000.0,100326000.0,83600000.0,69900000.0,70300000.0,93300000.0,70500000.0,79700000.0,83300000.0,66900000.0,70600000.0,81200000.0,68900000.0,,,85612000.0,116139000.0,83600000.0,70300000.0,70500000.0,83300000.0,70600000.0,68900000.0,76958000.0,116139000.0,69900000.0,70500000.0,66900000.0,68900000.0,,116139000.0,70300000.0,83300000.0,68900000.0,76958000.0,83600000.0,79700000.0,68900000.0,83600000.0,68900000.0,68900000.0,68900000.0,CommonMetricExtracted
