,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,487582000.0,581383000.0,739818000.0,751909000.0,733555000.0,674728000.0,873100000.0,1289728000.0,1358560000.0,,,,,,,581383000.0,751909000.0,674728000.0,1289728000.0,,,,487582000.0,751909000.0,873100000.0,,,,581383000.0,674728000.0,,,,733555000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,1741883000.0,1218525000.0,1166166000.0,1068015000.0,796194000.0,615876000.0,763120000.0,929576000.0,441066000.0,519217000.0,618134000.0,614071000.0,653646000.0,659335000.0,822484000.0,1089372000.0,1138996000.0,,,1218525000.0,1068015000.0,615876000.0,929576000.0,519217000.0,614071000.0,659335000.0,1089372000.0,,1166166000.0,615876000.0,441066000.0,614071000.0,822484000.0,,1218525000.0,615876000.0,519217000.0,659335000.0,,1166166000.0,929576000.0,653646000.0,,929576000.0,1166166000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,177172000.0,130851000.0,122078000.0,99589000.0,94415000.0,82265000.0,92520000.0,57279000.0,65934000.0,63257000.0,70287000.0,69841000.0,61084000.0,63449000.0,76753000.0,94427000.0,91650000.0,,,130851000.0,99589000.0,82265000.0,57279000.0,63257000.0,69841000.0,63449000.0,94427000.0,,122078000.0,82265000.0,65934000.0,69841000.0,76753000.0,,130851000.0,82265000.0,63257000.0,63449000.0,,122078000.0,57279000.0,61084000.0,,57279000.0,122078000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,-414222000.0,203815000.0,51079000.0,235528000.0,-68483000.0,179034000.0,261756000.0,-307360000.0,-63235000.0,-1130000.0,51543000.0,67997000.0,13025000.0,-48687000.0,-44855000.0,63510000.0,127435000.0,,,203815000.0,235528000.0,179034000.0,-307360000.0,-1130000.0,67997000.0,-48687000.0,63510000.0,,51079000.0,179034000.0,-63235000.0,67997000.0,-44855000.0,,203815000.0,179034000.0,-1130000.0,-48687000.0,,51079000.0,-307360000.0,13025000.0,,-307360000.0,51079000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,86779000.0,95822000.0,19166000.0,14903000.0,-59158000.0,31612000.0,66971000.0,-101190000.0,-12470000.0,-50424000.0,2400000.0,7859000.0,-18701000.0,-8958000.0,12603000.0,18352000.0,26427000.0,,,95822000.0,14903000.0,31612000.0,-101190000.0,-50424000.0,7859000.0,-8958000.0,18352000.0,,19166000.0,31612000.0,-12470000.0,7859000.0,12603000.0,,95822000.0,31612000.0,-50424000.0,-8958000.0,,19166000.0,-101190000.0,-18701000.0,,-101190000.0,19166000.0,,CommonMetricExtracted
NetIncome,,,,-635930000.0,156054000.0,-126988000.0,129979000.0,-46297000.0,,,-376980000.0,-81445000.0,30052000.0,28598000.0,57919000.0,22174000.0,-61538000.0,-87784000.0,-10838000.0,55637000.0,,,156054000.0,129979000.0,,-376980000.0,30052000.0,57919000.0,-61538000.0,-10838000.0,,-126988000.0,,-81445000.0,57919000.0,-87784000.0,,156054000.0,,30052000.0,-61538000.0,,-126988000.0,-376980000.0,22174000.0,,-376980000.0,-126988000.0,,CommonMetricExtracted
Cash,,,89555000.0,223613000.0,270673000.0,391085000.0,546465000.0,437100000.0,478200000.0,476492000.0,494192000.0,356647000.0,266592000.0,279459000.0,208431000.0,291320000.0,253515000.0,186604000.0,332191000.0,368030000.0,,223613000.0,391085000.0,437100000.0,476492000.0,356647000.0,279459000.0,291320000.0,186604000.0,368030000.0,270673000.0,437100000.0,494192000.0,279459000.0,253515000.0,368030000.0,223613000.0,437100000.0,356647000.0,291320000.0,368030000.0,270673000.0,476492000.0,208431000.0,368030000.0,476492000.0,368030000.0,368030000.0,368030000.0,CommonMetricExtracted
CurrentReceivables,,,,,145519000.0,177293000.0,238781000.0,152233000.0,156925000.0,104724000.0,76287000.0,101825000.0,113336000.0,67932000.0,125457000.0,132233000.0,144137000.0,212779000.0,280427000.0,258630000.0,,,177293000.0,152233000.0,104724000.0,101825000.0,67932000.0,132233000.0,212779000.0,258630000.0,145519000.0,152233000.0,76287000.0,67932000.0,144137000.0,258630000.0,,152233000.0,101825000.0,132233000.0,258630000.0,145519000.0,104724000.0,125457000.0,258630000.0,104724000.0,258630000.0,258630000.0,258630000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,565560000.0,740854000.0,944242000.0,804107000.0,743647000.0,694273000.0,684035000.0,522782000.0,451643000.0,450928000.0,438468000.0,525645000.0,529538000.0,460589000.0,697841000.0,709682000.0,,,740854000.0,804107000.0,694273000.0,522782000.0,450928000.0,525645000.0,460589000.0,709682000.0,565560000.0,804107000.0,684035000.0,450928000.0,529538000.0,709682000.0,,804107000.0,522782000.0,525645000.0,709682000.0,565560000.0,694273000.0,438468000.0,709682000.0,694273000.0,709682000.0,709682000.0,709682000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,2863706000.0,2527080000.0,2331327000.0,1485875000.0,1532217000.0,1735384000.0,1603009000.0,1651610000.0,1805989000.0,1826745000.0,1872637000.0,1782964000.0,1657645000.0,1641615000.0,1572849000.0,1437853000.0,,,2527080000.0,1485875000.0,1735384000.0,1651610000.0,1826745000.0,1782964000.0,1641615000.0,1437853000.0,2863706000.0,1485875000.0,1603009000.0,1826745000.0,1657645000.0,1437853000.0,,1485875000.0,1651610000.0,1782964000.0,1437853000.0,2863706000.0,1735384000.0,1872637000.0,1437853000.0,1735384000.0,1437853000.0,1437853000.0,1437853000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
