,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,34450.0,13000.0,4241.0,,,,,,,,,,13000.0,,,,,,34450.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,5885.0,3688.0,,,,,,,,,,5885.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,74.0,2104.0,-22074.0,,,,,,,,,,2104.0,,,,,,74.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,26545.0,27575.0,,,,,,,,,,26545.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,-1071309.0,-1441335.0,-2230222.0,,,,,,,,,,-1441335.0,,,,,,-1071309.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,51109.0,235159.0,20255.0,,,,,,,,,51109.0,20255.0,,,,,,20255.0,,,,,20255.0,,,,20255.0,,20255.0,20255.0,20255.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,10000.0,23750.0,13750.0,,,,,,,,,10000.0,13750.0,,,,,,13750.0,,,,,13750.0,,,,13750.0,,13750.0,13750.0,13750.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,107501.0,291551.0,20255.0,,,,,,,,,107501.0,20255.0,,,,,,20255.0,,,,,20255.0,,,,20255.0,,20255.0,20255.0,20255.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,0.0,767938.0,994898.0,,,,,,,,,0.0,994898.0,,,,,,994898.0,,,,,994898.0,,,,994898.0,,994898.0,994898.0,994898.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,114301.0,1342634.0,1248984.0,,,,,,,,,114301.0,1248984.0,,,,,,1248984.0,,,,,1248984.0,,,,1248984.0,,1248984.0,1248984.0,1248984.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,1224725.0,1471006.0,1574886.0,,,,,,,,,1224725.0,1574886.0,,,,,,1574886.0,,,,,1574886.0,,,,1574886.0,,1574886.0,1574886.0,1574886.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,649450.0,925305.0,2078965.0,,,,,,,,,649450.0,2078965.0,,,,,,2078965.0,,,,,2078965.0,,,,2078965.0,,2078965.0,2078965.0,2078965.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,590000.0,722310.0,,,,,,,,,,722310.0,,,,,,722310.0,,,,,722310.0,,,,722310.0,,722310.0,722310.0,722310.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,1224725.0,1456395.0,2646375.0,,,,,,,,,1224725.0,2646375.0,,,,,,2646375.0,,,,,2646375.0,,,,2646375.0,,2646375.0,2646375.0,2646375.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,-39115.0,-1110424.0,-92201.0,-1397391.0,,,,,,,,,-1110424.0,-1397391.0,,,,,-39115.0,-1397391.0,,,,,-1397391.0,,,,-1397391.0,,-1397391.0,-1397391.0,-1397391.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,-1121708.0,-1334084.0,-1802678.0,,,,,,,,,,-1334084.0,,,,,,-1121708.0,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,0.0,804878.0,381934.0,,,,,,,,,,804878.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,-10.0,-908699.0,-414838.0,,,,,,,,,,-908699.0,,,,,,-10.0,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,1172827.0,2520033.0,2002612.0,,,,,,,,,,2520033.0,,,,,,1172827.0,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,0.45269230769230767,0.8696062249469465,,,,,,,,,,0.45269230769230767,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,7115.0,553.0,,,,,,,,,,7115.0,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,0.5473076923076923,0.13039377505305352,,,,,,,,,,0.5473076923076923,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,0.002148040638606676,0.16184615384615383,-5.204904503654799,,,,,,,,,,0.16184615384615383,,,,,,0.002148040638606676,,,,,,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,12.616444866920151,-1.2492072121047386,,,,,,,,,,12.616444866920151,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,,-31.097503628447026,-110.87192307692308,-525.8717283659514,,,,,,,,,,-110.87192307692308,,,,,,-31.097503628447026,,,,,,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.4754281355522274,0.8065792948746532,1.0,,,,,,,,,0.4754281355522274,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,1.0,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.0930223904893908,0.08146087648473166,0.6788447296963712,,,,,,,,,0.0930223904893908,0.6788447296963712,,,,,,0.6788447296963712,,,,,0.6788447296963712,,,,0.6788447296963712,,0.6788447296963712,0.6788447296963712,0.6788447296963712,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,0.9405079570607431,0.21714853042601334,0.016217181324980946,,,,,,,,,0.9405079570607431,0.016217181324980946,,,,,,0.016217181324980946,,,,,0.016217181324980946,,,,0.016217181324980946,,0.016217181324980946,0.016217181324980946,0.016217181324980946,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,0.0,0.5719637667450698,0.7965658487218411,,,,,,,,,0.0,0.7965658487218411,,,,,,0.7965658487218411,,,,,0.7965658487218411,,,,0.7965658487218411,,0.7965658487218411,0.7965658487218411,0.7965658487218411,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,1.8857879744399106,1.5897525680721492,0.7575336766131224,,,,,,,,,1.8857879744399106,0.7575336766131224,,,,,,0.7575336766131224,,,,,0.7575336766131224,,,,0.7575336766131224,,0.7575336766131224,0.7575336766131224,0.7575336766131224,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,0.5302823082732858,0.6353393138537279,0.78558972178924,,,,,,,,,0.5302823082732858,0.78558972178924,,,,,,0.78558972178924,,,,,0.78558972178924,,,,0.78558972178924,,0.78558972178924,0.78558972178924,0.78558972178924,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,0.40510987747142774,0.2729431769873884,,,,,,,,,,0.2729431769873884,,,,,,0.2729431769873884,,,,,0.2729431769873884,,,,0.2729431769873884,,0.2729431769873884,0.2729431769873884,0.2729431769873884,CommonMetricCalculated
TotalLiabilitiesPercentOfTotalAssets,,,,,,,,,,,,,,,,,,,0.43943472308909204,0.5783180569166618,,,,,,,,,,0.5783180569166618,,,,,,0.5783180569166618,,,,,0.5783180569166618,,,,0.5783180569166618,,0.5783180569166618,0.5783180569166618,0.5783180569166618,CommonMetricCalculated
EquityPercentOfTotalAssets,,,,,,,,,,,,,,,,,,-9.714910630703143,-0.0686717303449786,-1.1188221786668204,,,,,,,,,-9.714910630703143,-1.1188221786668204,,,,,,-1.1188221786668204,,,,,-1.1188221786668204,,,,-1.1188221786668204,,-1.1188221786668204,-1.1188221786668204,-1.1188221786668204,CommonMetricCalculated
NetCashFlow,,,,,,,,,,,,,,,,,,51109.0,277250.0,-214904.0,,,,,,,,,,277250.0,,,,,,51109.0,,,,,,,,,,,,,,CommonMetricCalculated
OperatingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,-21.947367391261814,-4.8118449053201084,8.3882943081562,,,,,,,,,,-4.8118449053201084,,,,,,-21.947367391261814,,,,,,,,,,,,,,CommonMetricCalculated
CapitalExpendituresPercentOfInvestingCashFlow,,,,,,,,,,,,,,,,,,-0.0,-0.8857476458101088,-0.9206822904362667,,,,,,,,,,-0.8857476458101088,,,,,,-0.0,,,,,,,,,,,,,,CommonMetricCalculated
InvestingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,-0.00019566025553229374,-3.2775437330928763,1.9303409894650634,,,,,,,,,,-3.2775437330928763,,,,,,-0.00019566025553229374,,,,,,,,,,,,,,CommonMetricCalculated
DividendsPaidPercentOfFinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FinancingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,22.947563051517346,9.089388638412984,-9.318635297621263,,,,,,,,,,9.089388638412984,,,,,,22.947563051517346,,,,,,,,,,,,,,CommonMetricCalculated
NetCashFlowPercentOfNetIncome,,,,,,,,,,,,,,,,,,-0.047707057440943744,-0.19235639181730826,0.09635991394578657,,,,,,,,,,-0.19235639181730826,,,,,,-0.047707057440943744,,,,,,,,,,,,,,CommonMetricCalculated
FreeCashFlow,,,,,,,,,,,,,,,,,,-1121708.0,-2138962.0,-2184612.0,,,,,,,,,,-2138962.0,,,,,,-1121708.0,,,,,,,,,,,,,,CommonMetricCalculated
FreeCashFlowPercentOfNetProfit,,,,,,,,,,,,,,,,,,1.0470443168124228,1.484014472693718,0.9795491211188841,,,,,,,,,,1.484014472693718,,,,,,1.0470443168124228,,,,,,,,,,,,,,CommonMetricCalculated
NetOperatingProfitAfterTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetWorkingCapital,,,,,,,,,,,,,,,,,,-541949.0,-633754.0,-2058710.0,,,,,,,,,-541949.0,-2058710.0,,,,,,-2058710.0,,,,,-2058710.0,,,,-2058710.0,,-2058710.0,-2058710.0,-2058710.0,CommonMetricCalculated
InvestedCapital,,,,,,,,,,,,,,,,,,-541949.0,134184.0,-1063812.0,,,,,,,,,-541949.0,-1063812.0,,,,,,-1063812.0,,,,,-1063812.0,,,,-1063812.0,,-1063812.0,-1063812.0,-1063812.0,CommonMetricCalculated
ReturnOnInvestedCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReturnOnAssets,,,,,,,,,,,,,,,,,,-9.372700151354756,-1.0735129603451126,-1.7856289592180525,,,,,,,,,,-1.1540059760573393,,,,,,-0.8577443746276974,,,,,,,,,,,,,,CommonMetricCalculated
ReturnOnEquity,,,,,,,,,,,,,,,,,,0.9647747166847979,15.632531100530363,1.5959899555671964,,,,,,,,,,1.031447175486317,,,,,,0.7666494202410062,,,,,,,,,,,,,,CommonMetricCalculated
TotalAssetTurnover,,,,,,,,,,,,,,,,,,0.3013971881260881,0.00968246000026813,0.0033955599110957386,,,,,,,,,,0.01040845999628498,,,,,,0.0275824189901552,,,,,,,,,,,,,,CommonMetricCalculated
PropertyPlantEquipmentTurnover,,,,,,,,,,,,,,,,,,inf,0.016928449952990997,0.004262748543066726,,,,,,,,,,0.013066666130598313,,,,,,0.03462666524608553,,,,,,,,,,,,,,CommonMetricCalculated
CashTurnover,,,,,,,,,,,,,,,,,,0.6740495803087518,0.05528174554237771,0.20938039990125895,,,,,,,,,,0.6418168353492965,,,,,,1.7008146136756357,,,,,,,,,,,,,,CommonMetricCalculated
AccountsReceivableTurnover,,,,,,,,,,,,,,,,,,3.445,0.5473684210526316,0.3084363636363636,,,,,,,,,,0.9454545454545454,,,,,,2.5054545454545454,,,,,,,,,,,,,,CommonMetricCalculated
InventoryTurnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesTurnover,,,,,,,,,,,,,,,,,,0.028128763599991835,0.008837489445998182,0.0026928933268820726,,,,,,,,,,0.008254565727297087,,,,,,0.021874599177337282,,,,,,,,,,,,,,CommonMetricCalculated
NetWorkingCapitalTurnover,,,,,,,,,,,,,,,,,,-0.06356686699301964,-0.02051269104415909,-0.0020600278815374675,,,,,,,,,,-0.006314633921241943,,,,,,-0.01673377989129115,,,,,,,,,,,,,,CommonMetricCalculated
AssetsToEquity,,,,,,,,,,,,,,,,,,-0.1029345547286442,-14.562032949751087,-0.8937970832787674,,,,,,,,,-0.1029345547286442,-0.8937970832787674,,,,,,-0.8937970832787674,,,,,-0.8937970832787674,,,,-0.8937970832787674,,-0.8937970832787674,-0.8937970832787674,-0.8937970832787674,CommonMetricCalculated
TotalDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
DebtToEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TangableNetWorth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
DebtToTangableNetWorth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
DebtToOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
DebtToFreeCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentRatio,,,,,,,,,,,,,,,,,,0.16552621448918314,0.3150863769243655,0.009742828763350994,,,,,,,,,0.16552621448918314,0.009742828763350994,,,,,,0.009742828763350994,,,,,0.009742828763350994,,,,0.009742828763350994,,0.009742828763350994,0.009742828763350994,0.009742828763350994,CommonMetricCalculated
QuickRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginToInterest,,,,,,,,,,,,,,,,,,,0.07926163119231494,-0.8005077062556664,,,,,,,,,,0.07926163119231494,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
