,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,246999000.0,577219000.0,620632000.0,683501000.0,610824000.0,540081000.0,593612000.0,583102000.0,433226000.0,,,,,,,577219000.0,683501000.0,540081000.0,583102000.0,,,,246999000.0,683501000.0,593612000.0,,,,577219000.0,540081000.0,,,,610824000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,200878000.0,154931000.0,168547000.0,173642000.0,165813000.0,,,178311000.0,451098000.0,485815000.0,,496866000.0,427333000.0,491910000.0,461056000.0,322705000.0,,,200878000.0,168547000.0,165813000.0,,451098000.0,,427333000.0,461056000.0,,154931000.0,165813000.0,178311000.0,,491910000.0,,200878000.0,165813000.0,451098000.0,427333000.0,,154931000.0,,496866000.0,,,154931000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,45980000.0,41956000.0,41022000.0,40375000.0,39606000.0,42222000.0,43752000.0,44426000.0,83767000.0,87279000.0,91928000.0,88867000.0,80410000.0,84475000.0,95815000.0,92678000.0,,,45980000.0,41022000.0,39606000.0,43752000.0,83767000.0,91928000.0,80410000.0,95815000.0,,41956000.0,39606000.0,44426000.0,91928000.0,84475000.0,,45980000.0,39606000.0,83767000.0,80410000.0,,41956000.0,43752000.0,88867000.0,,43752000.0,41956000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,21927000.0,-14568000.0,15106000.0,-6149000.0,12438000.0,,,,,,,,,-14568000.0,-6149000.0,,,,,,15106000.0,,,,,-14568000.0,,,,21927000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,3754000.0,2079000.0,929000.0,1888000.0,4367000.0,4539000.0,6820000.0,8274000.0,13909000.0,17522000.0,11717000.0,4844000.0,-4142000.0,3388000.0,-1837000.0,2573000.0,,,3754000.0,929000.0,4367000.0,6820000.0,13909000.0,11717000.0,-4142000.0,-1837000.0,,2079000.0,4367000.0,8274000.0,11717000.0,3388000.0,,3754000.0,4367000.0,13909000.0,-4142000.0,,2079000.0,6820000.0,4844000.0,,6820000.0,2079000.0,,CommonMetricExtracted
NetIncome,,,,,6910000.0,3008000.0,3240000.0,5057000.0,8626000.0,7929000.0,12578000.0,16185000.0,25287000.0,28250000.0,39873000.0,17083000.0,-10426000.0,11718000.0,-4312000.0,9865000.0,,,6910000.0,3240000.0,8626000.0,12578000.0,25287000.0,39873000.0,-10426000.0,-4312000.0,,3008000.0,8626000.0,16185000.0,39873000.0,11718000.0,,6910000.0,8626000.0,25287000.0,-10426000.0,,3008000.0,12578000.0,17083000.0,,12578000.0,3008000.0,,CommonMetricExtracted
Cash,,,,33076000.0,11804000.0,37995000.0,16623000.0,40355000.0,26342000.0,23882000.0,38663000.0,53922000.0,39792000.0,30915000.0,11435000.0,36031000.0,65841000.0,69366000.0,19002000.0,43159000.0,,33076000.0,37995000.0,40355000.0,23882000.0,53922000.0,30915000.0,36031000.0,69366000.0,43159000.0,11804000.0,40355000.0,38663000.0,30915000.0,65841000.0,43159000.0,33076000.0,40355000.0,53922000.0,36031000.0,43159000.0,11804000.0,23882000.0,11435000.0,43159000.0,23882000.0,43159000.0,43159000.0,43159000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,0.0,682000.0,0.0,28176000.0,92578000.0,92803000.0,112557000.0,88404000.0,83290000.0,78088000.0,65208000.0,54294000.0,,,,,682000.0,28176000.0,92803000.0,88404000.0,78088000.0,54294000.0,,,0.0,92803000.0,83290000.0,54294000.0,,,28176000.0,88404000.0,54294000.0,,682000.0,112557000.0,54294000.0,682000.0,54294000.0,54294000.0,54294000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,4965000.0,4194000.0,3569000.0,2413000.0,2353000.0,2256000.0,4244000.0,5314000.0,5735000.0,4719000.0,4432000.0,5237000.0,6418000.0,5530000.0,,,,4194000.0,2413000.0,2256000.0,5314000.0,4719000.0,5237000.0,5530000.0,,4194000.0,2353000.0,5314000.0,4432000.0,5530000.0,,4194000.0,2256000.0,4719000.0,5530000.0,,2413000.0,5735000.0,5530000.0,2413000.0,5530000.0,5530000.0,5530000.0,CommonMetricExtracted
Inventory,,,,,,36176000.0,57438000.0,34136000.0,49872000.0,49016000.0,44973000.0,43713000.0,75303000.0,84459000.0,105204000.0,92813000.0,70159000.0,75023000.0,96675000.0,61815000.0,,,36176000.0,34136000.0,49016000.0,43713000.0,84459000.0,92813000.0,75023000.0,61815000.0,,34136000.0,44973000.0,84459000.0,70159000.0,61815000.0,,34136000.0,43713000.0,92813000.0,61815000.0,,49016000.0,105204000.0,61815000.0,49016000.0,61815000.0,61815000.0,61815000.0,CommonMetricExtracted
CurrentAssets,,,,,,103533000.0,106696000.0,104492000.0,109667000.0,107050000.0,119938000.0,128067000.0,211917000.0,213491000.0,234931000.0,221967000.0,223722000.0,227714000.0,187303000.0,164798000.0,,,103533000.0,104492000.0,107050000.0,128067000.0,213491000.0,221967000.0,227714000.0,164798000.0,,104492000.0,119938000.0,213491000.0,223722000.0,164798000.0,,104492000.0,128067000.0,221967000.0,164798000.0,,107050000.0,234931000.0,164798000.0,107050000.0,164798000.0,164798000.0,164798000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,20663000.0,21669000.0,22829000.0,23752000.0,22824000.0,22768000.0,25803000.0,29249000.0,29482000.0,29907000.0,26780000.0,28058000.0,27010000.0,29142000.0,,,,21669000.0,23752000.0,22768000.0,29249000.0,29907000.0,28058000.0,29142000.0,,21669000.0,22824000.0,29249000.0,26780000.0,29142000.0,,21669000.0,22768000.0,29907000.0,29142000.0,,23752000.0,29482000.0,29142000.0,23752000.0,29142000.0,29142000.0,29142000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,0.0,23187000.0,40058000.0,40058000.0,40058000.0,490000.0,490000.0,14952000.0,15036000.0,,,,,,0.0,40058000.0,40058000.0,490000.0,15036000.0,,,,40058000.0,490000.0,15036000.0,,,0.0,40058000.0,15036000.0,,,40058000.0,15036000.0,,15036000.0,15036000.0,15036000.0,CommonMetricExtracted
IntangibleAssets,,,,,,3468000.0,3072000.0,1257000.0,1257000.0,1382000.0,1382000.0,1382000.0,25923000.0,38139000.0,35755000.0,33371000.0,26237000.0,23853000.0,31779000.0,28622000.0,,,3468000.0,1257000.0,1382000.0,1382000.0,38139000.0,33371000.0,23853000.0,28622000.0,,1257000.0,1382000.0,38139000.0,26237000.0,28622000.0,,1257000.0,1382000.0,33371000.0,28622000.0,,1382000.0,35755000.0,28622000.0,1382000.0,28622000.0,28622000.0,28622000.0,CommonMetricExtracted
TotalAssets,,,,,,149099000.0,150411000.0,149171000.0,155823000.0,155481000.0,170755000.0,181653000.0,318696000.0,350058000.0,369716000.0,393708000.0,352273000.0,374559000.0,381716000.0,343586000.0,,,149099000.0,149171000.0,155481000.0,181653000.0,350058000.0,393708000.0,374559000.0,343586000.0,,149171000.0,170755000.0,350058000.0,352273000.0,343586000.0,,149171000.0,181653000.0,393708000.0,343586000.0,,155481000.0,369716000.0,343586000.0,155481000.0,343586000.0,343586000.0,343586000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,0.0,5817000.0,7528000.0,5829000.0,5834000.0,0.0,0.0,1393000.0,1393000.0,,,,,,0.0,7528000.0,5834000.0,0.0,1393000.0,,,,7528000.0,0.0,1393000.0,,,0.0,5834000.0,1393000.0,,,5829000.0,1393000.0,,1393000.0,1393000.0,1393000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,12378000.0,12896000.0,10025000.0,14151000.0,7836000.0,12474000.0,10974000.0,44244000.0,39290000.0,47561000.0,29704000.0,36068000.0,35180000.0,46402000.0,19732000.0,,,12378000.0,10025000.0,7836000.0,10974000.0,39290000.0,29704000.0,35180000.0,19732000.0,,10025000.0,12474000.0,39290000.0,36068000.0,19732000.0,,10025000.0,10974000.0,29704000.0,19732000.0,,7836000.0,47561000.0,19732000.0,7836000.0,19732000.0,19732000.0,19732000.0,CommonMetricExtracted
CurrentLiability,,,,,,19776000.0,21936000.0,19605000.0,23314000.0,17144000.0,24704000.0,22951000.0,75823000.0,76734000.0,79004000.0,68931000.0,75506000.0,82958000.0,82593000.0,64955000.0,,,19776000.0,19605000.0,17144000.0,22951000.0,76734000.0,68931000.0,82958000.0,64955000.0,,19605000.0,24704000.0,76734000.0,75506000.0,64955000.0,,19605000.0,22951000.0,68931000.0,64955000.0,,17144000.0,79004000.0,64955000.0,17144000.0,64955000.0,64955000.0,64955000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,5868000.0,6242000.0,7100000.0,14622000.0,15542000.0,17468000.0,17974000.0,68147000.0,72319000.0,54622000.0,114634000.0,81320000.0,112988000.0,168440000.0,130923000.0,,,5868000.0,7100000.0,15542000.0,17974000.0,72319000.0,114634000.0,112988000.0,130923000.0,,7100000.0,17468000.0,72319000.0,81320000.0,130923000.0,,7100000.0,17974000.0,114634000.0,130923000.0,,15542000.0,54622000.0,130923000.0,15542000.0,130923000.0,130923000.0,130923000.0,CommonMetricExtracted
TotalLiability,,,,,,21507000.0,23641000.0,22058000.0,24778000.0,20678000.0,27846000.0,25592000.0,120769000.0,120598000.0,106540000.0,119587000.0,94770000.0,113431000.0,145695000.0,117611000.0,,,21507000.0,22058000.0,20678000.0,25592000.0,120598000.0,119587000.0,113431000.0,117611000.0,,22058000.0,27846000.0,120598000.0,94770000.0,117611000.0,,22058000.0,25592000.0,119587000.0,117611000.0,,20678000.0,106540000.0,117611000.0,20678000.0,117611000.0,117611000.0,117611000.0,CommonMetricExtracted
ShareholderEquity,,,,,129710000.0,127592000.0,126770000.0,127113000.0,131045000.0,134803000.0,142909000.0,156061000.0,197927000.0,229460000.0,263176000.0,274121000.0,257503000.0,261128000.0,236021000.0,225975000.0,,,127592000.0,127113000.0,134803000.0,156061000.0,229460000.0,274121000.0,261128000.0,225975000.0,129710000.0,127113000.0,142909000.0,229460000.0,257503000.0,225975000.0,,127113000.0,156061000.0,274121000.0,225975000.0,129710000.0,134803000.0,263176000.0,225975000.0,134803000.0,225975000.0,225975000.0,225975000.0,CommonMetricExtracted
OperatingCashFlow,,,,,2059000.0,36846000.0,-15459000.0,32276000.0,-3333000.0,5696000.0,22768000.0,23036000.0,31240000.0,27746000.0,9662000.0,41429000.0,68263000.0,19209000.0,-21718000.0,55471000.0,,,2059000.0,-15459000.0,-3333000.0,22768000.0,31240000.0,9662000.0,68263000.0,-21718000.0,,36846000.0,-3333000.0,23036000.0,9662000.0,19209000.0,,2059000.0,-3333000.0,31240000.0,68263000.0,,36846000.0,22768000.0,41429000.0,,22768000.0,36846000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,2271000.0,1678000.0,2010000.0,3805000.0,4061000.0,3471000.0,2994000.0,2847000.0,2454000.0,3166000.0,5214000.0,5129000.0,1210000.0,6692000.0,4199000.0,6815000.0,,,2271000.0,2010000.0,4061000.0,2994000.0,2454000.0,5214000.0,1210000.0,4199000.0,,1678000.0,4061000.0,2847000.0,5214000.0,6692000.0,,2271000.0,4061000.0,2454000.0,1210000.0,,1678000.0,2994000.0,5129000.0,,2994000.0,1678000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,-2081000.0,-1128000.0,-1022000.0,-4229000.0,-4623000.0,-3855000.0,-3681000.0,-3455000.0,-88061000.0,-36483000.0,-4511000.0,-4254000.0,-476000.0,-6862000.0,-29965000.0,-8558000.0,,,-2081000.0,-1022000.0,-4623000.0,-3681000.0,-88061000.0,-4511000.0,-476000.0,-29965000.0,,-1128000.0,-4623000.0,-3455000.0,-4511000.0,-6862000.0,,-2081000.0,-4623000.0,-88061000.0,-476000.0,,-1128000.0,-3681000.0,-4254000.0,,-3681000.0,-1128000.0,,CommonMetricExtracted
DividendsPaid,,,,,,4309000.0,4312000.0,4315000.0,5386000.0,4301000.0,4306000.0,4322000.0,4854000.0,5816000.0,6714000.0,7211000.0,7838000.0,8822000.0,9602000.0,9682000.0,,,,4312000.0,5386000.0,4306000.0,4854000.0,6714000.0,7838000.0,9602000.0,,4309000.0,5386000.0,4322000.0,6714000.0,8822000.0,,,5386000.0,4854000.0,7838000.0,,4309000.0,4306000.0,7211000.0,,4306000.0,4309000.0,,CommonMetricExtracted
FinancingCashFlow,,,,,-21250000.0,-9527000.0,-4312000.0,-4315000.0,-6057000.0,-4301000.0,-4306000.0,-4322000.0,42691000.0,-140000.0,-24631000.0,-12579000.0,-37977000.0,-8822000.0,1319000.0,-22756000.0,,,-21250000.0,-4312000.0,-6057000.0,-4306000.0,42691000.0,-24631000.0,-37977000.0,1319000.0,,-9527000.0,-6057000.0,-4322000.0,-24631000.0,-8822000.0,,-21250000.0,-6057000.0,42691000.0,-37977000.0,,-9527000.0,-4306000.0,-12579000.0,,-4306000.0,-9527000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.7219098053028554,0.7815023413990184,0.7827746555124454,,0.8134356213901222,0.7912387215991675,0.8286726009582016,0.7906952814430408,0.7448883492680495,,,,,,,0.7815023413990184,,0.7912387215991675,0.7906952814430408,,,,0.7219098053028554,,0.8286726009582016,,,,0.7815023413990184,0.7912387215991675,,,,0.8134356213901222,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,68688000.0,126121000.0,134817000.0,,113958000.0,112748000.0,101702000.0,122046000.0,110521000.0,,,,,,,126121000.0,,112748000.0,122046000.0,,,,68688000.0,,101702000.0,,,,126121000.0,112748000.0,,,,113958000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,0.2780901946971445,0.2184976586009816,0.21722534448755462,,0.18656437860987782,0.20876127840083247,0.17132739904179833,0.20930471855695915,0.2551116507319505,,,,,,,0.2184976586009816,,0.20876127840083247,0.20930471855695915,,,,0.2780901946971445,,0.17132739904179833,,,,0.2184976586009816,0.20876127840083247,,,,0.18656437860987782,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,0.17986307636873025,0.1451216955782814,0.14062922955954577,0.13449577981597685,0.14548707974801253,0.14888507464621048,0.14230675929731879,0.16431945011335924,0.2139252953423848,,,,,,,0.1451216955782814,0.13449577981597685,0.14888507464621048,0.16431945011335924,,,,0.17986307636873025,0.13449577981597685,0.14230675929731879,,,,0.1451216955782814,0.14888507464621048,,,,0.14548707974801253,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,0.03589741071077757,-0.026973731718020075,0.025447598768218973,-0.010545324831676105,0.028710188215850387,,,,,,,,,-0.026973731718020075,-0.010545324831676105,,,,,,0.025447598768218973,,,,,-0.026973731718020075,,,,0.03589741071077757,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,0.22091485383317372,0.2843218012081274,0.2242817423540315,0.29874776386404295,0.20686605563595434,,,,,,,,,0.2843218012081274,0.29874776386404295,,,,,,0.2242817423540315,,,,,0.2843218012081274,,,,0.22091485383317372,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,0.06552658107927563,0.04380832924765124,0.04551811701620284,0.05833641794232927,0.027967139470616742,-0.01930451173064781,0.019740166977756515,-0.007394932618992904,0.02277102482307156,,,,,,,0.04380832924765124,0.05833641794232927,-0.01930451173064781,-0.007394932618992904,,,,0.06552658107927563,0.05833641794232927,0.019740166977756515,,,,0.04380832924765124,-0.01930451173064781,,,,0.027967139470616742,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,0.3669844397438498,0.15579778061033217,0.3862018144929755,0.24019987781192154,0.22309201307800094,0.3223582184128466,0.42104523413525735,0.18777162757117175,0.14480704104622677,0.048673865943617486,0.16232593133213497,0.2942982809021911,0.30461895184310145,0.10145059075401888,0.26189031420284226,,,0.3669844397438498,0.3862018144929755,0.22309201307800094,0.42104523413525735,0.14480704104622677,0.16232593133213497,0.30461895184310145,0.26189031420284226,,0.3862018144929755,0.3223582184128466,0.14480704104622677,0.2942982809021911,0.26189031420284226,,0.3862018144929755,0.42104523413525735,0.16232593133213497,0.26189031420284226,,0.22309201307800094,0.048673865943617486,0.26189031420284226,0.22309201307800094,0.26189031420284226,0.26189031420284226,0.26189031420284226,CommonMetricCalculated
