,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,5955384000.0,4781909000.0,4859336000.0,5311713000.0,5580506000.0,5899872000.0,6228508000.0,5995402000.0,5996458000.0,5647224000.0,5716875000.0,5361789000.0,4054377000.0,5336308000.0,5755130000.0,5836478000.0,5186802000.0,,,4781909000.0,5311713000.0,5899872000.0,5995402000.0,5647224000.0,5361789000.0,5336308000.0,5836478000.0,,4859336000.0,5899872000.0,5996458000.0,5361789000.0,5755130000.0,,4781909000.0,5899872000.0,5647224000.0,5336308000.0,,4859336000.0,5995402000.0,4054377000.0,,5995402000.0,4859336000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,3425997000.0,3272330000.0,3351796000.0,3229798000.0,2435745000.0,3243287000.0,3403728000.0,3322306000.0,3005940000.0,,,,,,,3272330000.0,3229798000.0,3243287000.0,3322306000.0,,,,3425997000.0,3229798000.0,3403728000.0,,,,3272330000.0,3243287000.0,,,,2435745000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,1060154000.0,979384000.0,1020371000.0,1060943000.0,1111232000.0,1126884000.0,1159502000.0,1220095000.0,1217439000.0,1181641000.0,1258098000.0,1199056000.0,1050627000.0,1051589000.0,1079882000.0,1175550000.0,1145244000.0,,,979384000.0,1060943000.0,1126884000.0,1220095000.0,1181641000.0,1199056000.0,1051589000.0,1175550000.0,,1020371000.0,1126884000.0,1217439000.0,1199056000.0,1079882000.0,,979384000.0,1126884000.0,1181641000.0,1051589000.0,,1020371000.0,1220095000.0,1050627000.0,,1220095000.0,1020371000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,1283320000.0,1150163000.0,1023911000.0,863839000.0,686629000.0,557415000.0,-15730000.0,819237000.0,931233000.0,866876000.0,517138000.0,,,,,,1150163000.0,863839000.0,557415000.0,819237000.0,866876000.0,,,,1023911000.0,557415000.0,931233000.0,,,,863839000.0,819237000.0,,,1150163000.0,-15730000.0,,1150163000.0,,,CommonMetricExtracted
Interest,,,,136763000.0,283634000.0,272484000.0,229492000.0,195990000.0,165491000.0,164476000.0,161983000.0,173756000.0,180193000.0,193187000.0,210438000.0,246447000.0,192944000.0,217653000.0,332380000.0,371766000.0,,,283634000.0,229492000.0,165491000.0,161983000.0,180193000.0,210438000.0,192944000.0,332380000.0,,272484000.0,165491000.0,173756000.0,210438000.0,217653000.0,,283634000.0,165491000.0,180193000.0,192944000.0,,272484000.0,161983000.0,246447000.0,,161983000.0,272484000.0,,CommonMetricExtracted
Taxes,,,,381686000.0,108019000.0,130800000.0,244586000.0,337587000.0,380312000.0,438709000.0,397956000.0,331747000.0,342080000.0,155178000.0,133780000.0,-17028000.0,169213000.0,192019000.0,171830000.0,71963000.0,,,108019000.0,244586000.0,380312000.0,397956000.0,342080000.0,133780000.0,169213000.0,171830000.0,,130800000.0,380312000.0,331747000.0,133780000.0,192019000.0,,108019000.0,380312000.0,342080000.0,169213000.0,,130800000.0,397956000.0,-17028000.0,,397956000.0,130800000.0,,CommonMetricExtracted
NetIncome,,,,654718000.0,-55116000.0,146545000.0,599114000.0,623925000.0,733993000.0,844611000.0,752207000.0,692164000.0,521759000.0,531451000.0,,1298000.0,650024000.0,741408000.0,706586000.0,455357000.0,,,-55116000.0,599114000.0,733993000.0,752207000.0,521759000.0,,650024000.0,706586000.0,,146545000.0,733993000.0,692164000.0,,741408000.0,,-55116000.0,733993000.0,521759000.0,650024000.0,,146545000.0,752207000.0,1298000.0,,752207000.0,146545000.0,,CommonMetricExtracted
Cash,,,402854000.0,568894000.0,1630433000.0,1021933000.0,1526950000.0,1068138000.0,1066612000.0,906680000.0,722209000.0,759984000.0,687521000.0,1203766000.0,833868000.0,3257203000.0,1874745000.0,1433175000.0,1533806000.0,1589608000.0,,568894000.0,1021933000.0,1068138000.0,906680000.0,759984000.0,1203766000.0,3257203000.0,1433175000.0,1589608000.0,1630433000.0,1068138000.0,722209000.0,1203766000.0,1874745000.0,1589608000.0,568894000.0,1068138000.0,759984000.0,3257203000.0,1589608000.0,1630433000.0,906680000.0,833868000.0,1589608000.0,906680000.0,1589608000.0,1589608000.0,1589608000.0,CommonMetricExtracted
CurrentReceivables,,,,,269371000.0,262382000.0,219039000.0,1973124000.0,2034751000.0,2164256000.0,2300987000.0,2361367000.0,2435648000.0,2520898000.0,2531856000.0,1652621000.0,1647692000.0,252225000.0,2380929000.0,2265811000.0,,,262382000.0,1973124000.0,2164256000.0,2361367000.0,2520898000.0,1652621000.0,252225000.0,2265811000.0,269371000.0,1973124000.0,2300987000.0,2520898000.0,1647692000.0,2265811000.0,,1973124000.0,2361367000.0,1652621000.0,2265811000.0,269371000.0,2164256000.0,2531856000.0,2265811000.0,2164256000.0,2265811000.0,2265811000.0,2265811000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,323029000.0,326446000.0,418006000.0,393524000.0,424507000.0,448871000.0,585907000.0,499917000.0,538202000.0,556128000.0,603571000.0,523497000.0,712942000.0,950960000.0,929951000.0,745793000.0,,,326446000.0,393524000.0,448871000.0,499917000.0,556128000.0,523497000.0,950960000.0,745793000.0,323029000.0,393524000.0,585907000.0,556128000.0,712942000.0,745793000.0,,393524000.0,499917000.0,523497000.0,745793000.0,323029000.0,448871000.0,603571000.0,745793000.0,448871000.0,745793000.0,745793000.0,745793000.0,CommonMetricExtracted
