,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1804741000.0,2487268000.0,2798490000.0,1773927000.0,1218568000.0,2058944000.0,2872421000.0,2756607000.0,,,,,,,1804741000.0,2798490000.0,1218568000.0,2872421000.0,,,,,2798490000.0,2058944000.0,,,,1804741000.0,1218568000.0,,,,1773927000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,1244735000.0,1647557000.0,1803204000.0,1184788000.0,952600000.0,1426589000.0,1715098000.0,1630225000.0,,,,,,,1244735000.0,1803204000.0,952600000.0,1715098000.0,,,,,1803204000.0,1426589000.0,,,,1244735000.0,952600000.0,,,,1184788000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,146183000.0,151002000.0,200619000.0,194416000.0,167513000.0,172195000.0,182366000.0,206657000.0,244877000.0,,,,,,,151002000.0,194416000.0,172195000.0,206657000.0,,,,146183000.0,194416000.0,182366000.0,,,,151002000.0,172195000.0,,,,167513000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,9671000.0,12262000.0,15764000.0,16060000.0,15235000.0,15905000.0,16104000.0,10269000.0,12047000.0,18167000.0,27467000.0,21645000.0,21724000.0,26563000.0,30046000.0,40967000.0,,,9671000.0,15764000.0,15235000.0,16104000.0,12047000.0,27467000.0,21724000.0,30046000.0,,12262000.0,15235000.0,10269000.0,27467000.0,26563000.0,,9671000.0,15235000.0,12047000.0,21724000.0,,12262000.0,16104000.0,21645000.0,,16104000.0,12262000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,1114297000.0,1096314000.0,665647000.0,-72667000.0,-184598000.0,15841000.0,-51222000.0,-636498000.0,-429871000.0,31319000.0,593379000.0,481020000.0,,,,,1114297000.0,665647000.0,-184598000.0,-51222000.0,-429871000.0,593379000.0,,,1114297000.0,-72667000.0,-51222000.0,31319000.0,,,1114297000.0,-184598000.0,-429871000.0,,,665647000.0,-636498000.0,,665647000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,19203000.0,17283000.0,29093000.0,,,,,,,,,,17283000.0,,,,,,19203000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,227850000.0,152155000.0,252399000.0,328971000.0,392844000.0,388048000.0,243375000.0,-19677000.0,-56735000.0,-477169000.0,-18712000.0,-140106000.0,-103721000.0,24366000.0,159279000.0,136855000.0,,,227850000.0,252399000.0,392844000.0,243375000.0,-56735000.0,-18712000.0,-103721000.0,159279000.0,,152155000.0,392844000.0,-19677000.0,-18712000.0,24366000.0,,227850000.0,392844000.0,-56735000.0,-103721000.0,,152155000.0,243375000.0,-140106000.0,,243375000.0,152155000.0,,CommonMetricExtracted
NetIncome,,,,,,156312000.0,434186000.0,581045000.0,736639000.0,708719000.0,422225000.0,-56828000.0,-128212000.0,482672000.0,-33656000.0,-494497000.0,-326150000.0,6953000.0,434100000.0,344165000.0,,,,434186000.0,736639000.0,422225000.0,-128212000.0,-33656000.0,-326150000.0,434100000.0,,156312000.0,736639000.0,-56828000.0,-33656000.0,6953000.0,,,736639000.0,-128212000.0,-326150000.0,,156312000.0,422225000.0,-494497000.0,,422225000.0,156312000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,0.0,1242417000.0,,,,,,,,,,1242417000.0,,,,,,1242417000.0,,,,,1242417000.0,,,,1242417000.0,,1242417000.0,1242417000.0,1242417000.0,CommonMetricExtracted
CurrentReceivables,,,,,,457659000.0,460540000.0,620489000.0,621420000.0,705214000.0,449344000.0,375169000.0,477074000.0,565202000.0,495602000.0,192623000.0,228894000.0,458713000.0,404188000.0,418604000.0,,,457659000.0,620489000.0,705214000.0,375169000.0,565202000.0,192623000.0,458713000.0,418604000.0,,620489000.0,449344000.0,565202000.0,228894000.0,418604000.0,,620489000.0,375169000.0,192623000.0,418604000.0,,705214000.0,495602000.0,418604000.0,705214000.0,418604000.0,418604000.0,418604000.0,CommonMetricExtracted
