,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,625600000.0,459539000.0,499516000.0,528623000.0,545745000.0,582257000.0,871355000.0,736345000.0,612937000.0,607336000.0,610803000.0,596815000.0,645262000.0,607284000.0,967996000.0,1207458000.0,1047511000.0,,,459539000.0,528623000.0,582257000.0,736345000.0,607336000.0,596815000.0,607284000.0,1207458000.0,,499516000.0,582257000.0,612937000.0,596815000.0,967996000.0,,459539000.0,582257000.0,607336000.0,607284000.0,,499516000.0,736345000.0,645262000.0,,736345000.0,499516000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,204708000.0,104246000.0,126477000.0,161915000.0,168981000.0,172315000.0,219261000.0,123714000.0,91494000.0,104381000.0,110536000.0,101871000.0,86094000.0,99597000.0,194608000.0,212228000.0,177232000.0,,,104246000.0,161915000.0,172315000.0,123714000.0,104381000.0,101871000.0,99597000.0,212228000.0,,126477000.0,172315000.0,91494000.0,101871000.0,194608000.0,,104246000.0,172315000.0,104381000.0,99597000.0,,126477000.0,123714000.0,86094000.0,,123714000.0,126477000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,97947000.0,78964000.0,91449000.0,106557000.0,94901000.0,112302000.0,131868000.0,116580000.0,85568000.0,63544000.0,89787000.0,94275000.0,93419000.0,105407000.0,188358000.0,42385000.0,-20236000.0,,,78964000.0,106557000.0,112302000.0,116580000.0,63544000.0,94275000.0,105407000.0,42385000.0,,91449000.0,112302000.0,85568000.0,94275000.0,188358000.0,,78964000.0,112302000.0,63544000.0,105407000.0,,91449000.0,116580000.0,93419000.0,,116580000.0,91449000.0,,CommonMetricExtracted
Interest,,,,,,,0.0,0.0,208000.0,446000.0,19000.0,0.0,175000.0,0.0,1052000.0,0.0,0.0,8555000.0,24187000.0,17582000.0,,,,0.0,208000.0,19000.0,175000.0,1052000.0,0.0,24187000.0,,,208000.0,0.0,1052000.0,8555000.0,,,208000.0,175000.0,0.0,,,19000.0,0.0,,19000.0,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,15559000.0,16615000.0,16390000.0,14459000.0,14962000.0,13595000.0,16387000.0,21804000.0,20414000.0,,,,,,,16615000.0,14459000.0,13595000.0,21804000.0,,,,15559000.0,14459000.0,16387000.0,,,,16615000.0,13595000.0,,,,14962000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,72967000.0,70806000.0,79277000.0,133584000.0,14775000.0,-29722000.0,,,,,,,,72967000.0,79277000.0,14775000.0,,,,,72967000.0,133584000.0,,,,,79277000.0,,,,70806000.0,,,,,CommonMetricExtracted
Cash,,,7960000.0,56651000.0,52351000.0,121120000.0,139770000.0,119838000.0,17763000.0,17303000.0,33232000.0,128507000.0,,161448000.0,76684000.0,113852000.0,157742000.0,49462000.0,28123000.0,12812000.0,,56651000.0,121120000.0,119838000.0,17303000.0,128507000.0,161448000.0,113852000.0,49462000.0,12812000.0,52351000.0,119838000.0,33232000.0,161448000.0,157742000.0,12812000.0,56651000.0,119838000.0,128507000.0,113852000.0,12812000.0,52351000.0,17303000.0,76684000.0,12812000.0,17303000.0,12812000.0,12812000.0,12812000.0,CommonMetricExtracted
CurrentReceivables,,,,,42019000.0,43671000.0,44512000.0,48906000.0,90106000.0,96954000.0,68650000.0,51582000.0,,49125000.0,57076000.0,55577000.0,56907000.0,142958000.0,112897000.0,93654000.0,,,43671000.0,48906000.0,96954000.0,51582000.0,49125000.0,55577000.0,142958000.0,93654000.0,42019000.0,48906000.0,68650000.0,49125000.0,56907000.0,93654000.0,,48906000.0,51582000.0,55577000.0,93654000.0,42019000.0,96954000.0,57076000.0,93654000.0,96954000.0,93654000.0,93654000.0,93654000.0,CommonMetricExtracted
PrepaidExpenses,,,,,6579000.0,6570000.0,12820000.0,6603000.0,6999000.0,10160000.0,9584000.0,8181000.0,,9378000.0,9107000.0,8241000.0,9168000.0,11293000.0,10650000.0,10428000.0,,,6570000.0,6603000.0,10160000.0,8181000.0,9378000.0,8241000.0,11293000.0,10428000.0,6579000.0,6603000.0,9584000.0,9378000.0,9168000.0,10428000.0,,6603000.0,8181000.0,8241000.0,10428000.0,6579000.0,10160000.0,9107000.0,10428000.0,10160000.0,10428000.0,10428000.0,10428000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,124514000.0,193786000.0,213435000.0,191425000.0,144300000.0,150232000.0,136444000.0,202111000.0,,232502000.0,151814000.0,193012000.0,233223000.0,229782000.0,169272000.0,129448000.0,,,193786000.0,191425000.0,150232000.0,202111000.0,232502000.0,193012000.0,229782000.0,129448000.0,124514000.0,191425000.0,136444000.0,232502000.0,233223000.0,129448000.0,,191425000.0,202111000.0,193012000.0,129448000.0,124514000.0,150232000.0,151814000.0,129448000.0,150232000.0,129448000.0,129448000.0,129448000.0,CommonMetricExtracted
