,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3505200000.0,3668800000.0,4481700000.0,4591000000.0,4186000000.0,4194100000.0,4947900000.0,5372900000.0,5628500000.0,,,,,,,3668800000.0,4591000000.0,4194100000.0,5372900000.0,,,,3505200000.0,4591000000.0,4947900000.0,,,,3668800000.0,4194100000.0,,,,4186000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,1901000000.0,1629700000.0,1712500000.0,1947900000.0,2032200000.0,2113400000.0,2250400000.0,2298600000.0,2404500000.0,2516900000.0,3181300000.0,3238300000.0,2976700000.0,3042600000.0,3476300000.0,3484800000.0,3724400000.0,,,1629700000.0,1947900000.0,2113400000.0,2298600000.0,2516900000.0,3238300000.0,3042600000.0,3484800000.0,,1712500000.0,2113400000.0,2404500000.0,3238300000.0,3476300000.0,,1629700000.0,2113400000.0,2516900000.0,3042600000.0,,1712500000.0,2298600000.0,2976700000.0,,2298600000.0,1712500000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,457400000.0,431200000.0,460900000.0,499900000.0,540400000.0,562900000.0,591600000.0,617200000.0,622900000.0,648200000.0,743500000.0,756100000.0,676300000.0,619200000.0,762500000.0,849600000.0,812500000.0,,,431200000.0,499900000.0,562900000.0,617200000.0,648200000.0,756100000.0,619200000.0,849600000.0,,460900000.0,562900000.0,622900000.0,756100000.0,762500000.0,,431200000.0,562900000.0,648200000.0,619200000.0,,460900000.0,617200000.0,676300000.0,,617200000.0,460900000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,346000000.0,294700000.0,367800000.0,423800000.0,471800000.0,507600000.0,517400000.0,474600000.0,489800000.0,518800000.0,556900000.0,596600000.0,533000000.0,532300000.0,709100000.0,1038500000.0,1091600000.0,,,294700000.0,423800000.0,507600000.0,474600000.0,518800000.0,596600000.0,532300000.0,1038500000.0,,367800000.0,507600000.0,489800000.0,596600000.0,709100000.0,,294700000.0,507600000.0,518800000.0,532300000.0,,367800000.0,474600000.0,533000000.0,,474600000.0,367800000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,95200000.0,80300000.0,101600000.0,119600000.0,139700000.0,144000000.0,158300000.0,136500000.0,132600000.0,193200000.0,100900000.0,113100000.0,97500000.0,88200000.0,140200000.0,217300000.0,221800000.0,,,80300000.0,119600000.0,144000000.0,136500000.0,193200000.0,113100000.0,88200000.0,217300000.0,,101600000.0,144000000.0,132600000.0,113100000.0,140200000.0,,80300000.0,144000000.0,193200000.0,88200000.0,,101600000.0,136500000.0,97500000.0,,136500000.0,101600000.0,,CommonMetricExtracted
NetIncome,,,,222700000.0,180100000.0,217200000.0,267900000.0,299700000.0,326500000.0,325300000.0,277300000.0,293000000.0,243100000.0,360200000.0,400900000.0,351200000.0,399500000.0,545900000.0,759800000.0,777800000.0,,,180100000.0,267900000.0,326500000.0,277300000.0,243100000.0,400900000.0,399500000.0,759800000.0,,217200000.0,326500000.0,293000000.0,400900000.0,545900000.0,,180100000.0,326500000.0,243100000.0,399500000.0,,217200000.0,277300000.0,351200000.0,,277300000.0,217200000.0,,CommonMetricExtracted
Cash,,,77500000.0,178200000.0,258500000.0,520700000.0,569600000.0,645000000.0,740700000.0,653900000.0,343500000.0,437600000.0,375000000.0,189000000.0,182000000.0,259600000.0,286200000.0,440500000.0,336100000.0,329100000.0,,178200000.0,520700000.0,645000000.0,653900000.0,437600000.0,189000000.0,259600000.0,440500000.0,329100000.0,258500000.0,645000000.0,343500000.0,189000000.0,286200000.0,329100000.0,178200000.0,645000000.0,437600000.0,259600000.0,329100000.0,258500000.0,653900000.0,182000000.0,329100000.0,653900000.0,329100000.0,329100000.0,329100000.0,CommonMetricExtracted
CurrentReceivables,,,,,310100000.0,341800000.0,394300000.0,405200000.0,440900000.0,469800000.0,466600000.0,530000000.0,540300000.0,725400000.0,683000000.0,634700000.0,675300000.0,741600000.0,785400000.0,756000000.0,,,341800000.0,405200000.0,469800000.0,530000000.0,725400000.0,634700000.0,741600000.0,756000000.0,310100000.0,405200000.0,466600000.0,725400000.0,675300000.0,756000000.0,,405200000.0,530000000.0,634700000.0,756000000.0,310100000.0,469800000.0,683000000.0,756000000.0,469800000.0,756000000.0,756000000.0,756000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,263500000.0,298400000.0,318300000.0,341700000.0,385700000.0,441800000.0,540000000.0,532400000.0,634700000.0,651000000.0,633000000.0,607300000.0,662100000.0,740700000.0,832900000.0,841800000.0,,,298400000.0,341700000.0,441800000.0,532400000.0,651000000.0,607300000.0,740700000.0,841800000.0,263500000.0,341700000.0,540000000.0,651000000.0,662100000.0,841800000.0,,341700000.0,532400000.0,607300000.0,841800000.0,263500000.0,441800000.0,633000000.0,841800000.0,441800000.0,841800000.0,841800000.0,841800000.0,CommonMetricExtracted
