,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,28946372000.0,30960414000.0,33868208000.0,36832000000.0,39126000000.0,41313000000.0,48500000000.0,54289000000.0,54379000000.0,53767000000.0,56912000000.0,64888000000.0,77155000000.0,83064000000.0,92870000000.0,106374000000.0,117761000000.0,,,30960414000.0,36832000000.0,41313000000.0,54289000000.0,53767000000.0,64888000000.0,83064000000.0,106374000000.0,,33868208000.0,41313000000.0,54379000000.0,64888000000.0,92870000000.0,,30960414000.0,41313000000.0,53767000000.0,83064000000.0,,33868208000.0,54289000000.0,77155000000.0,,54289000000.0,33868208000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,3944652000.0,4227535000.0,4662802000.0,5395000000.0,5830000000.0,6355000000.0,7639000000.0,7318000000.0,7277000000.0,6567000000.0,7525000000.0,7381000000.0,10052000000.0,10121000000.0,12671000000.0,13188000000.0,13696000000.0,,,4227535000.0,5395000000.0,6355000000.0,7318000000.0,6567000000.0,7381000000.0,10121000000.0,13188000000.0,,4662802000.0,6355000000.0,7277000000.0,7381000000.0,12671000000.0,,4227535000.0,6355000000.0,6567000000.0,10121000000.0,,4662802000.0,7318000000.0,10052000000.0,,7318000000.0,4662802000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,1073137000.0,1708000000.0,1854622000.0,2344000000.0,2016000000.0,2061000000.0,2362000000.0,2347000000.0,1741000000.0,4262000000.0,3100000000.0,3192000000.0,4986000000.0,3148000000.0,3800000000.0,4013000000.0,2562000000.0,,,1708000000.0,2344000000.0,2061000000.0,2347000000.0,4262000000.0,3192000000.0,3148000000.0,4013000000.0,,1854622000.0,2061000000.0,1741000000.0,3192000000.0,3800000000.0,,1708000000.0,2061000000.0,4262000000.0,3148000000.0,,1854622000.0,2347000000.0,4986000000.0,,2347000000.0,1854622000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,401000000.0,493000000.0,660000000.0,,,,,,,,,,493000000.0,,,,,,401000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,345694000.0,562085000.0,650172000.0,816000000.0,689000000.0,690000000.0,1023000000.0,1155000000.0,938000000.0,1572000000.0,391000000.0,763000000.0,1307000000.0,485000000.0,762000000.0,836000000.0,413000000.0,,,562085000.0,816000000.0,690000000.0,1155000000.0,1572000000.0,763000000.0,485000000.0,836000000.0,,650172000.0,690000000.0,938000000.0,763000000.0,762000000.0,,562085000.0,690000000.0,1572000000.0,485000000.0,,650172000.0,1155000000.0,1307000000.0,,1155000000.0,650172000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,2707000000.0,3367000000.0,2934000000.0,2802000000.0,2484000000.0,1214000000.0,,,,,,,,2707000000.0,2934000000.0,2484000000.0,,,,,2707000000.0,2802000000.0,,,,,2934000000.0,,,,3367000000.0,,,,,CommonMetricExtracted
Cash,,,2040453000.0,1970423000.0,1613588000.0,1673137000.0,1377000000.0,1306000000.0,1138000000.0,1935000000.0,2571000000.0,3877000000.0,4042000000.0,2343000000.0,4054000000.0,4673000000.0,3394000000.0,5061000000.0,4694000000.0,2221000000.0,,1970423000.0,1673137000.0,1306000000.0,1935000000.0,3877000000.0,2343000000.0,4673000000.0,5061000000.0,2221000000.0,1613588000.0,1306000000.0,2571000000.0,2343000000.0,3394000000.0,2221000000.0,1970423000.0,1306000000.0,3877000000.0,4673000000.0,2221000000.0,1613588000.0,1935000000.0,4054000000.0,2221000000.0,1935000000.0,2221000000.0,2221000000.0,2221000000.0,CommonMetricExtracted
CurrentReceivables,,,,,823620000.0,959018000.0,1034000000.0,733000000.0,950000000.0,1168000000.0,1161000000.0,1280000000.0,854000000.0,1015000000.0,1056000000.0,1138000000.0,1814000000.0,1674000000.0,2035000000.0,2704000000.0,,,959018000.0,733000000.0,1168000000.0,1280000000.0,1015000000.0,1138000000.0,1674000000.0,2704000000.0,823620000.0,733000000.0,1161000000.0,1015000000.0,1814000000.0,2704000000.0,,733000000.0,1280000000.0,1138000000.0,2704000000.0,823620000.0,1168000000.0,1056000000.0,2704000000.0,1168000000.0,2704000000.0,2704000000.0,2704000000.0,CommonMetricExtracted
