,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,7604000000.0,6797000000.0,6018000000.0,8453000000.0,8023000000.0,6111000000.0,6036000000.0,,,,,,,,6797000000.0,8453000000.0,6111000000.0,,,,,6797000000.0,8023000000.0,,,,,8453000000.0,,,,6018000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,6000000000.0,6552000000.0,7354000000.0,5415000000.0,4918000000.0,6678000000.0,6477000000.0,5205000000.0,5170000000.0,,,,,,,6552000000.0,5415000000.0,6678000000.0,5205000000.0,,,,6000000000.0,5415000000.0,6477000000.0,,,,6552000000.0,6678000000.0,,,,4918000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,871000000.0,850000000.0,861000000.0,921000000.0,951000000.0,942000000.0,974000000.0,982000000.0,920000000.0,798000000.0,830000000.0,786000000.0,775000000.0,851000000.0,711000000.0,689000000.0,671000000.0,,,850000000.0,921000000.0,942000000.0,982000000.0,798000000.0,786000000.0,851000000.0,689000000.0,,861000000.0,942000000.0,920000000.0,786000000.0,711000000.0,,850000000.0,942000000.0,798000000.0,851000000.0,,861000000.0,982000000.0,775000000.0,,982000000.0,861000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,154000000.0,145000000.0,151000000.0,166000000.0,152000000.0,140000000.0,158000000.0,160000000.0,152000000.0,138000000.0,152000000.0,137000000.0,135000000.0,150000000.0,125000000.0,115000000.0,121000000.0,,,145000000.0,166000000.0,140000000.0,160000000.0,138000000.0,137000000.0,150000000.0,115000000.0,,151000000.0,140000000.0,152000000.0,137000000.0,125000000.0,,145000000.0,140000000.0,138000000.0,150000000.0,,151000000.0,160000000.0,135000000.0,,160000000.0,151000000.0,,CommonMetricExtracted
OperatingMargin,,,,,,2000000.0,2000000.0,1000000.0,2000000.0,-2000000.0,1000000.0,12000000.0,8000000.0,32000000.0,20000000.0,36000000.0,32000000.0,35000000.0,2000000.0,21000000.0,,,,2000000.0,2000000.0,1000000.0,8000000.0,20000000.0,32000000.0,2000000.0,,2000000.0,2000000.0,12000000.0,20000000.0,35000000.0,,,2000000.0,8000000.0,32000000.0,,2000000.0,1000000.0,36000000.0,,1000000.0,2000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,190000000.0,444000000.0,29000000.0,109000000.0,169000000.0,125000000.0,51000000.0,60000000.0,109000000.0,64000000.0,97000000.0,-38000000.0,46000000.0,209000000.0,186000000.0,64000000.0,61000000.0,,,444000000.0,109000000.0,125000000.0,60000000.0,64000000.0,-38000000.0,209000000.0,64000000.0,,29000000.0,125000000.0,109000000.0,-38000000.0,186000000.0,,444000000.0,125000000.0,64000000.0,209000000.0,,29000000.0,60000000.0,46000000.0,,60000000.0,29000000.0,,CommonMetricExtracted
NetIncome,,,,1000000.0,-2000000.0,5000000.0,7000000.0,10000000.0,21000000.0,22000000.0,33000000.0,31000000.0,105000000.0,313000000.0,36000000.0,32000000.0,59000000.0,63000000.0,52000000.0,62000000.0,,,-2000000.0,7000000.0,21000000.0,33000000.0,105000000.0,36000000.0,59000000.0,52000000.0,,5000000.0,21000000.0,31000000.0,36000000.0,63000000.0,,-2000000.0,21000000.0,105000000.0,59000000.0,,5000000.0,33000000.0,32000000.0,,33000000.0,5000000.0,,CommonMetricExtracted
Cash,,,154000000.0,657000000.0,1745000000.0,966000000.0,554000000.0,387000000.0,520000000.0,860000000.0,257000000.0,414000000.0,470000000.0,340000000.0,525000000.0,1593000000.0,1041000000.0,654000000.0,540000000.0,340000000.0,,657000000.0,966000000.0,387000000.0,860000000.0,414000000.0,340000000.0,1593000000.0,654000000.0,340000000.0,1745000000.0,387000000.0,257000000.0,340000000.0,1041000000.0,340000000.0,657000000.0,387000000.0,414000000.0,1593000000.0,340000000.0,1745000000.0,860000000.0,525000000.0,340000000.0,860000000.0,340000000.0,340000000.0,340000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1018000000.0,1464000000.0,1529000000.0,1534000000.0,1542000000.0,1665000000.0,1420000000.0,1402000000.0,1256000000.0,1254000000.0,940000000.0,902000000.0,1159000000.0,813000000.0,747000000.0,718000000.0,,,1464000000.0,1534000000.0,1665000000.0,1402000000.0,1254000000.0,902000000.0,813000000.0,718000000.0,1018000000.0,1534000000.0,1420000000.0,1254000000.0,1159000000.0,718000000.0,,1534000000.0,1402000000.0,902000000.0,718000000.0,1018000000.0,1665000000.0,940000000.0,718000000.0,1665000000.0,718000000.0,718000000.0,718000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,42000000.0,46000000.0,46000000.0,48000000.0,61000000.0,62000000.0,112000000.0,60000000.0,60000000.0,66000000.0,83000000.0,,,,92000000.0,114000000.0,,,46000000.0,48000000.0,62000000.0,60000000.0,66000000.0,,,114000000.0,42000000.0,48000000.0,112000000.0,66000000.0,,114000000.0,,48000000.0,60000000.0,,114000000.0,42000000.0,62000000.0,83000000.0,114000000.0,62000000.0,114000000.0,114000000.0,114000000.0,CommonMetricExtracted
Inventory,,,,,1184000000.0,1396000000.0,1539000000.0,1819000000.0,1741000000.0,2025000000.0,1692000000.0,1344000000.0,1073000000.0,1134000000.0,914000000.0,848000000.0,1201000000.0,995000000.0,867000000.0,917000000.0,,,1396000000.0,1819000000.0,2025000000.0,1344000000.0,1134000000.0,848000000.0,995000000.0,917000000.0,1184000000.0,1819000000.0,1692000000.0,1134000000.0,1201000000.0,917000000.0,,1819000000.0,1344000000.0,848000000.0,917000000.0,1184000000.0,2025000000.0,914000000.0,917000000.0,2025000000.0,917000000.0,917000000.0,917000000.0,CommonMetricExtracted
CurrentAssets,,,,,4140000000.0,4008000000.0,3946000000.0,4119000000.0,4159000000.0,5039000000.0,3834000000.0,3555000000.0,5979000000.0,2958000000.0,3755000000.0,3568000000.0,3928000000.0,3145000000.0,2314000000.0,2125000000.0,,,4008000000.0,4119000000.0,5039000000.0,3555000000.0,2958000000.0,3568000000.0,3145000000.0,2125000000.0,4140000000.0,4119000000.0,3834000000.0,2958000000.0,3928000000.0,2125000000.0,,4119000000.0,3555000000.0,3568000000.0,2125000000.0,4140000000.0,5039000000.0,3755000000.0,2125000000.0,5039000000.0,2125000000.0,2125000000.0,2125000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,3516000000.0,3605000000.0,3622000000.0,3745000000.0,3824000000.0,4423000000.0,4446000000.0,4212000000.0,3098000000.0,3064000000.0,2383000000.0,2505000000.0,2576000000.0,2377000000.0,2376000000.0,2493000000.0,,,3605000000.0,3745000000.0,4423000000.0,4212000000.0,3064000000.0,2505000000.0,2377000000.0,2493000000.0,3516000000.0,3745000000.0,4446000000.0,3064000000.0,2576000000.0,2493000000.0,,3745000000.0,4212000000.0,2505000000.0,2493000000.0,3516000000.0,4423000000.0,2383000000.0,2493000000.0,4423000000.0,2493000000.0,2493000000.0,2493000000.0,CommonMetricExtracted
Goodwill,,,,,94000000.0,94000000.0,114000000.0,117000000.0,131000000.0,122000000.0,116000000.0,121000000.0,140000000.0,275000000.0,276000000.0,533000000.0,650000000.0,641000000.0,644000000.0,633000000.0,,,94000000.0,117000000.0,122000000.0,121000000.0,275000000.0,533000000.0,641000000.0,633000000.0,94000000.0,117000000.0,116000000.0,275000000.0,650000000.0,633000000.0,,117000000.0,121000000.0,533000000.0,633000000.0,94000000.0,122000000.0,276000000.0,633000000.0,122000000.0,633000000.0,633000000.0,633000000.0,CommonMetricExtracted
IntangibleAssets,,,,,125000000.0,105000000.0,91000000.0,68000000.0,87000000.0,95000000.0,86000000.0,66000000.0,56000000.0,219000000.0,197000000.0,453000000.0,469000000.0,425000000.0,387000000.0,344000000.0,,,105000000.0,68000000.0,95000000.0,66000000.0,219000000.0,453000000.0,425000000.0,344000000.0,125000000.0,68000000.0,86000000.0,219000000.0,469000000.0,344000000.0,,68000000.0,66000000.0,453000000.0,344000000.0,125000000.0,95000000.0,197000000.0,344000000.0,95000000.0,344000000.0,344000000.0,344000000.0,CommonMetricExtracted
TotalAssets,,,,,8626000000.0,8714000000.0,8657000000.0,8884000000.0,9188000000.0,11002000000.0,9820000000.0,9189000000.0,10244000000.0,7953000000.0,8320000000.0,8713000000.0,9392000000.0,8220000000.0,7248000000.0,7114000000.0,,,8714000000.0,8884000000.0,11002000000.0,9189000000.0,7953000000.0,8713000000.0,8220000000.0,7114000000.0,8626000000.0,8884000000.0,9820000000.0,7953000000.0,9392000000.0,7114000000.0,,8884000000.0,9189000000.0,8713000000.0,7114000000.0,8626000000.0,11002000000.0,8320000000.0,7114000000.0,11002000000.0,7114000000.0,7114000000.0,7114000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,96000000.0,212000000.0,593000000.0,12000000.0,66000000.0,12000000.0,325000000.0,,,,,,,96000000.0,593000000.0,66000000.0,325000000.0,,,,96000000.0,12000000.0,325000000.0,,,,593000000.0,325000000.0,,,212000000.0,325000000.0,,325000000.0,325000000.0,325000000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,1353000000.0,1470000000.0,1557000000.0,1807000000.0,1793000000.0,1957000000.0,1720000000.0,1687000000.0,1515000000.0,1483000000.0,1185000000.0,1300000000.0,1928000000.0,1336000000.0,395000000.0,416000000.0,,,1470000000.0,1807000000.0,1957000000.0,1687000000.0,1483000000.0,1300000000.0,1336000000.0,416000000.0,1353000000.0,1807000000.0,1720000000.0,1483000000.0,1928000000.0,416000000.0,,1807000000.0,1687000000.0,1300000000.0,416000000.0,1353000000.0,1957000000.0,1185000000.0,416000000.0,1957000000.0,416000000.0,416000000.0,416000000.0,CommonMetricExtracted
CurrentLiability,,,,,2434000000.0,2681000000.0,2521000000.0,2886000000.0,2885000000.0,3071000000.0,2603000000.0,2394000000.0,3834000000.0,2165000000.0,2470000000.0,2489000000.0,2882000000.0,2181000000.0,1613000000.0,2035000000.0,,,2681000000.0,2886000000.0,3071000000.0,2394000000.0,2165000000.0,2489000000.0,2181000000.0,2035000000.0,2434000000.0,2886000000.0,2603000000.0,2165000000.0,2882000000.0,2035000000.0,,2886000000.0,2394000000.0,2489000000.0,2035000000.0,2434000000.0,3071000000.0,2470000000.0,2035000000.0,3071000000.0,2035000000.0,2035000000.0,2035000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,875000000.0,866000000.0,1012000000.0,1161000000.0,948000000.0,1447000000.0,1226000000.0,1381000000.0,1086000000.0,1073000000.0,1282000000.0,1321000000.0,1083000000.0,758000000.0,679000000.0,672000000.0,,,866000000.0,1161000000.0,1447000000.0,1381000000.0,1073000000.0,1321000000.0,758000000.0,672000000.0,875000000.0,1161000000.0,1226000000.0,1073000000.0,1083000000.0,672000000.0,,1161000000.0,1381000000.0,1321000000.0,672000000.0,875000000.0,1447000000.0,1282000000.0,672000000.0,1447000000.0,672000000.0,672000000.0,672000000.0,CommonMetricExtracted
TotalLiability,,,,,6761000000.0,6864000000.0,6881000000.0,6988000000.0,7059000000.0,9051000000.0,8191000000.0,7722000000.0,6873000000.0,5204000000.0,5496000000.0,5040000000.0,4833000000.0,4380000000.0,3770000000.0,3951000000.0,,,6864000000.0,6988000000.0,9051000000.0,7722000000.0,5204000000.0,5040000000.0,4380000000.0,3951000000.0,6761000000.0,6988000000.0,8191000000.0,5204000000.0,4833000000.0,3951000000.0,,6988000000.0,7722000000.0,5040000000.0,3951000000.0,6761000000.0,9051000000.0,5496000000.0,3951000000.0,9051000000.0,3951000000.0,3951000000.0,3951000000.0,CommonMetricExtracted
