,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,504169000.0,556326000.0,540198000.0,596871000.0,774541000.0,935098000.0,919162000.0,,,,,,,,556326000.0,596871000.0,935098000.0,,,,,556326000.0,774541000.0,,,,,596871000.0,,,,540198000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,192654000.0,,277966000.0,286241000.0,286663000.0,298232000.0,333719000.0,385520000.0,417409000.0,460390000.0,439281000.0,473109000.0,628021000.0,769979000.0,725526000.0,,,,,286241000.0,298232000.0,385520000.0,460390000.0,473109000.0,769979000.0,,192654000.0,286241000.0,333719000.0,460390000.0,628021000.0,,,286241000.0,385520000.0,473109000.0,,192654000.0,298232000.0,439281000.0,,298232000.0,192654000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,25605000.0,,30759000.0,31606000.0,33510000.0,35375000.0,49086000.0,59381000.0,59403000.0,59118000.0,59246000.0,67884000.0,75326000.0,76969000.0,89600000.0,,,,,31606000.0,35375000.0,59381000.0,59118000.0,67884000.0,76969000.0,,25605000.0,31606000.0,49086000.0,59118000.0,75326000.0,,,31606000.0,59381000.0,67884000.0,,25605000.0,35375000.0,59246000.0,,35375000.0,25605000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,38840000.0,,35109000.0,25330000.0,28090000.0,30416000.0,31171000.0,38692000.0,-11759000.0,36818000.0,41671000.0,55878000.0,71194000.0,88150000.0,104036000.0,,,,,25330000.0,30416000.0,38692000.0,36818000.0,55878000.0,88150000.0,,38840000.0,25330000.0,31171000.0,36818000.0,71194000.0,,,25330000.0,38692000.0,55878000.0,,38840000.0,30416000.0,41671000.0,,30416000.0,38840000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,15388000.0,,13626000.0,,,,12223000.0,13493000.0,-5899000.0,9097000.0,10589000.0,14871000.0,18437000.0,22541000.0,25782000.0,,,,,,,13493000.0,9097000.0,14871000.0,22541000.0,,15388000.0,,12223000.0,9097000.0,18437000.0,,,,13493000.0,14871000.0,,15388000.0,,10589000.0,,,15388000.0,,CommonMetricExtracted
NetIncome,,,,,,23847000.0,20314000.0,22685000.0,17126000.0,18094000.0,19214000.0,18143000.0,22555000.0,-9177000.0,24433000.0,28367000.0,40980000.0,51542000.0,60041000.0,75363000.0,,,,20314000.0,17126000.0,19214000.0,22555000.0,24433000.0,40980000.0,60041000.0,,23847000.0,17126000.0,18143000.0,24433000.0,51542000.0,,,17126000.0,22555000.0,40980000.0,,23847000.0,19214000.0,28367000.0,,19214000.0,23847000.0,,CommonMetricExtracted
Cash,,,,,29536000.0,18772000.0,18940000.0,28566000.0,28715000.0,33486000.0,18639000.0,20014000.0,6861000.0,4990000.0,9199000.0,4277000.0,2998000.0,3496000.0,7566000.0,7153000.0,,,18772000.0,28566000.0,33486000.0,20014000.0,4990000.0,4277000.0,3496000.0,7153000.0,29536000.0,28566000.0,18639000.0,4990000.0,2998000.0,7153000.0,,28566000.0,20014000.0,4277000.0,7153000.0,29536000.0,33486000.0,9199000.0,7153000.0,33486000.0,7153000.0,7153000.0,7153000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,35736000.0,38069000.0,35920000.0,37946000.0,40355000.0,59271000.0,57298000.0,63507000.0,63966000.0,67391000.0,90603000.0,122826000.0,129252000.0,114477000.0,,,,38069000.0,37946000.0,59271000.0,63507000.0,67391000.0,122826000.0,114477000.0,,38069000.0,40355000.0,63507000.0,90603000.0,114477000.0,,38069000.0,59271000.0,67391000.0,114477000.0,,37946000.0,63966000.0,114477000.0,37946000.0,114477000.0,114477000.0,114477000.0,CommonMetricExtracted
