,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,992075000.0,1188236000.0,1472441000.0,1517557000.0,1371868000.0,1542448000.0,1557666000.0,1541573000.0,1610527000.0,,,,,,,1188236000.0,1517557000.0,1542448000.0,1541573000.0,,,,992075000.0,1517557000.0,1557666000.0,,,,1188236000.0,1542448000.0,,,,1371868000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,349089000.0,435511000.0,571496000.0,564681000.0,520834000.0,597808000.0,587355000.0,656838000.0,728466000.0,,,,,,,435511000.0,564681000.0,597808000.0,656838000.0,,,,349089000.0,564681000.0,587355000.0,,,,435511000.0,597808000.0,,,,520834000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,280997000.0,281102000.0,305055000.0,358132000.0,373114000.0,407802000.0,445967000.0,415757000.0,455629000.0,624096000.0,690746000.0,687599000.0,594526000.0,637445000.0,616316000.0,656641000.0,716983000.0,,,281102000.0,358132000.0,407802000.0,415757000.0,624096000.0,687599000.0,637445000.0,656641000.0,,305055000.0,407802000.0,455629000.0,687599000.0,616316000.0,,281102000.0,407802000.0,624096000.0,637445000.0,,305055000.0,415757000.0,594526000.0,,415757000.0,305055000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,63455000.0,78041000.0,79573000.0,77381000.0,93051000.0,101193000.0,104192000.0,115377000.0,,,,,,,63455000.0,79573000.0,93051000.0,104192000.0,,,,,79573000.0,101193000.0,,,,63455000.0,93051000.0,,,,77381000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,47411000.0,97824000.0,98694000.0,54912000.0,73782000.0,35373000.0,67857000.0,79587000.0,115340000.0,44804000.0,110998000.0,93760000.0,151370000.0,197230000.0,238920000.0,111526000.0,28411000.0,,,97824000.0,54912000.0,35373000.0,79587000.0,44804000.0,93760000.0,197230000.0,111526000.0,,98694000.0,35373000.0,115340000.0,93760000.0,238920000.0,,97824000.0,35373000.0,44804000.0,197230000.0,,98694000.0,79587000.0,151370000.0,,79587000.0,98694000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,49594000.0,51377000.0,70632000.0,,,,,,,,,,51377000.0,,,,,,49594000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,-9192000.0,22197000.0,16445000.0,505000.0,10825000.0,-3241000.0,9271000.0,53820000.0,15842000.0,-53358000.0,-3398000.0,9903000.0,-40372000.0,45602000.0,33344000.0,13328000.0,-11293000.0,,,22197000.0,505000.0,-3241000.0,53820000.0,-53358000.0,9903000.0,45602000.0,13328000.0,,16445000.0,-3241000.0,15842000.0,9903000.0,33344000.0,,22197000.0,-3241000.0,-53358000.0,45602000.0,,16445000.0,53820000.0,-40372000.0,,53820000.0,16445000.0,,CommonMetricExtracted
NetIncome,,,,27727000.0,50955000.0,65669000.0,27989000.0,41204000.0,-16977000.0,34004000.0,-3519000.0,74564000.0,64743000.0,60801000.0,50201000.0,133892000.0,169075000.0,180550000.0,67741000.0,-6944000.0,,,50955000.0,27989000.0,-16977000.0,-3519000.0,64743000.0,50201000.0,169075000.0,67741000.0,,65669000.0,-16977000.0,74564000.0,50201000.0,180550000.0,,50955000.0,-16977000.0,64743000.0,169075000.0,,65669000.0,-3519000.0,133892000.0,,-3519000.0,65669000.0,,CommonMetricExtracted
Cash,,,57339000.0,183546000.0,71891000.0,128763000.0,100808000.0,96938000.0,120614000.0,71994000.0,48132000.0,102055000.0,174935000.0,138838000.0,198911000.0,470166000.0,513448000.0,456661000.0,276402000.0,246375000.0,,183546000.0,128763000.0,96938000.0,71994000.0,102055000.0,138838000.0,470166000.0,456661000.0,246375000.0,71891000.0,96938000.0,48132000.0,138838000.0,513448000.0,246375000.0,183546000.0,96938000.0,102055000.0,470166000.0,246375000.0,71891000.0,71994000.0,198911000.0,246375000.0,71994000.0,246375000.0,246375000.0,246375000.0,CommonMetricExtracted
CurrentReceivables,,,,,103228000.0,106005000.0,118129000.0,114916000.0,118145000.0,131918000.0,132241000.0,148186000.0,251799000.0,265737000.0,275296000.0,225532000.0,231831000.0,263465000.0,259327000.0,272370000.0,,,106005000.0,114916000.0,131918000.0,148186000.0,265737000.0,225532000.0,263465000.0,272370000.0,103228000.0,114916000.0,132241000.0,265737000.0,231831000.0,272370000.0,,114916000.0,148186000.0,225532000.0,272370000.0,103228000.0,131918000.0,275296000.0,272370000.0,131918000.0,272370000.0,272370000.0,272370000.0,CommonMetricExtracted
