,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,204726000.0,231513000.0,284582000.0,302195000.0,316869000.0,313716000.0,309260000.0,341668000.0,379372000.0,1292613000.0,1400040000.0,1266208000.0,1271004000.0,1316308000.0,2279997000.0,2259126000.0,2382046000.0,,,231513000.0,302195000.0,313716000.0,341668000.0,1292613000.0,1266208000.0,1316308000.0,2259126000.0,,284582000.0,313716000.0,379372000.0,1266208000.0,2279997000.0,,231513000.0,313716000.0,1292613000.0,1316308000.0,,284582000.0,341668000.0,1271004000.0,,341668000.0,284582000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,177974000.0,866518000.0,830012000.0,794344000.0,809507000.0,824818000.0,1582236000.0,1519253000.0,1557264000.0,,,,,,,866518000.0,794344000.0,824818000.0,1519253000.0,,,,177974000.0,794344000.0,1582236000.0,,,,866518000.0,824818000.0,,,,809507000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,53611000.0,68205000.0,76636000.0,85287000.0,84604000.0,90376000.0,88939000.0,83216000.0,89426000.0,303953000.0,328146000.0,276982000.0,283953000.0,302583000.0,608345000.0,606693000.0,638762000.0,,,68205000.0,85287000.0,90376000.0,83216000.0,303953000.0,276982000.0,302583000.0,606693000.0,,76636000.0,90376000.0,89426000.0,276982000.0,608345000.0,,68205000.0,90376000.0,303953000.0,302583000.0,,76636000.0,83216000.0,283953000.0,,83216000.0,76636000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,4822000.0,2645000.0,4678000.0,8588000.0,10630000.0,12407000.0,18332000.0,15714000.0,12955000.0,51253000.0,52867000.0,48611000.0,42948000.0,47498000.0,92984000.0,85344000.0,88615000.0,,,2645000.0,8588000.0,12407000.0,15714000.0,51253000.0,48611000.0,47498000.0,85344000.0,,4678000.0,12407000.0,12955000.0,48611000.0,92984000.0,,2645000.0,12407000.0,51253000.0,47498000.0,,4678000.0,15714000.0,42948000.0,,15714000.0,4678000.0,,CommonMetricExtracted
OperatingMargin,,,,31383000.0,37968000.0,49279000.0,65221000.0,61276000.0,51949000.0,39037000.0,68565000.0,82941000.0,-13294000.0,29756000.0,107360000.0,98162000.0,123245000.0,-42898000.0,22825000.0,42964000.0,,,37968000.0,65221000.0,51949000.0,68565000.0,-13294000.0,107360000.0,123245000.0,22825000.0,,49279000.0,51949000.0,82941000.0,107360000.0,-42898000.0,,37968000.0,51949000.0,-13294000.0,123245000.0,,49279000.0,68565000.0,98162000.0,,68565000.0,49279000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,11778000.0,12592000.0,18479000.0,21753000.0,20558000.0,12296000.0,13457000.0,24714000.0,22080000.0,-17361000.0,-6419000.0,13672000.0,10624000.0,20051000.0,-40123000.0,-48644000.0,51676000.0,,,12592000.0,21753000.0,12296000.0,24714000.0,-17361000.0,13672000.0,20051000.0,-48644000.0,,18479000.0,12296000.0,22080000.0,13672000.0,-40123000.0,,12592000.0,12296000.0,-17361000.0,20051000.0,,18479000.0,24714000.0,10624000.0,,24714000.0,18479000.0,,CommonMetricExtracted
NetIncome,,,,,,29923000.0,44669000.0,41281000.0,40418000.0,26335000.0,44985000.0,63084000.0,68644000.0,28793000.0,101035000.0,86870000.0,103135000.0,-74286000.0,-29655000.0,-117688000.0,,,,44669000.0,40418000.0,44985000.0,68644000.0,101035000.0,103135000.0,-29655000.0,,29923000.0,40418000.0,63084000.0,101035000.0,-74286000.0,,,40418000.0,68644000.0,103135000.0,,29923000.0,44985000.0,86870000.0,,44985000.0,29923000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,396097000.0,552827000.0,208784000.0,254222000.0,308566000.0,,,,,,,,396097000.0,208784000.0,308566000.0,,,,,552827000.0,308566000.0,,,,396097000.0,308566000.0,,,,308566000.0,,308566000.0,308566000.0,308566000.0,CommonMetricExtracted
CurrentReceivables,,,,,47777000.0,55106000.0,43571000.0,49127000.0,45318000.0,39051000.0,57847000.0,56161000.0,112696000.0,176298000.0,202219000.0,124093000.0,105894000.0,221719000.0,161566000.0,182828000.0,,,55106000.0,49127000.0,39051000.0,56161000.0,176298000.0,124093000.0,221719000.0,182828000.0,47777000.0,49127000.0,57847000.0,176298000.0,105894000.0,182828000.0,,49127000.0,56161000.0,124093000.0,182828000.0,47777000.0,39051000.0,202219000.0,182828000.0,39051000.0,182828000.0,182828000.0,182828000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,9574000.0,6759000.0,7271000.0,7319000.0,5818000.0,7631000.0,7355000.0,41286000.0,46117000.0,33981000.0,41492000.0,46847000.0,88932000.0,73640000.0,70287000.0,,,9574000.0,7271000.0,5818000.0,7355000.0,46117000.0,41492000.0,88932000.0,70287000.0,,7271000.0,7631000.0,46117000.0,46847000.0,70287000.0,,7271000.0,7355000.0,41492000.0,70287000.0,,5818000.0,33981000.0,70287000.0,5818000.0,70287000.0,70287000.0,70287000.0,CommonMetricExtracted
Inventory,,,,,41327000.0,44056000.0,40423000.0,36333000.0,34451000.0,36933000.0,43632000.0,49264000.0,288657000.0,311163000.0,337640000.0,314928000.0,290235000.0,696009000.0,709360000.0,584676000.0,,,44056000.0,36333000.0,36933000.0,49264000.0,311163000.0,314928000.0,696009000.0,584676000.0,41327000.0,36333000.0,43632000.0,311163000.0,290235000.0,584676000.0,,36333000.0,49264000.0,314928000.0,584676000.0,41327000.0,36933000.0,337640000.0,584676000.0,36933000.0,584676000.0,584676000.0,584676000.0,CommonMetricExtracted
CurrentAssets,,,,,207938000.0,207833000.0,260408000.0,325503000.0,394296000.0,437212000.0,505007000.0,569097000.0,864662000.0,927036000.0,882197000.0,920777000.0,1029809000.0,1235196000.0,1221272000.0,1441983000.0,,,207833000.0,325503000.0,437212000.0,569097000.0,927036000.0,920777000.0,1235196000.0,1441983000.0,207938000.0,325503000.0,505007000.0,927036000.0,1029809000.0,1441983000.0,,325503000.0,569097000.0,920777000.0,1441983000.0,207938000.0,437212000.0,882197000.0,1441983000.0,437212000.0,1441983000.0,1441983000.0,1441983000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,77449000.0,83545000.0,85937000.0,85937000.0,87861000.0,86091000.0,74320000.0,85696000.0,398684000.0,432641000.0,456085000.0,466628000.0,468365000.0,636113000.0,612909000.0,442746000.0,,,83545000.0,85937000.0,86091000.0,85696000.0,432641000.0,466628000.0,636113000.0,442746000.0,77449000.0,85937000.0,74320000.0,432641000.0,468365000.0,442746000.0,,85937000.0,85696000.0,466628000.0,442746000.0,77449000.0,86091000.0,456085000.0,442746000.0,86091000.0,442746000.0,442746000.0,442746000.0,CommonMetricExtracted
Goodwill,,,,,1478000.0,1478000.0,1478000.0,1478000.0,1478000.0,1478000.0,6463000.0,5577000.0,12357000.0,11195000.0,31245000.0,33001000.0,43439000.0,1449258000.0,1472446000.0,1432772000.0,,,1478000.0,1478000.0,1478000.0,5577000.0,11195000.0,33001000.0,1449258000.0,1432772000.0,1478000.0,1478000.0,6463000.0,11195000.0,43439000.0,1432772000.0,,1478000.0,5577000.0,33001000.0,1432772000.0,1478000.0,1478000.0,31245000.0,1432772000.0,1478000.0,1432772000.0,1432772000.0,1432772000.0,CommonMetricExtracted
IntangibleAssets,,,,,16782000.0,14806000.0,11419000.0,9952000.0,8490000.0,7063000.0,23936000.0,22383000.0,143753000.0,133421000.0,211408000.0,197231000.0,188311000.0,982766000.0,870588000.0,740789000.0,,,14806000.0,9952000.0,7063000.0,22383000.0,133421000.0,197231000.0,982766000.0,740789000.0,16782000.0,9952000.0,23936000.0,133421000.0,188311000.0,740789000.0,,9952000.0,22383000.0,197231000.0,740789000.0,16782000.0,7063000.0,211408000.0,740789000.0,7063000.0,740789000.0,740789000.0,740789000.0,CommonMetricExtracted
TotalAssets,,,,,309153000.0,312226000.0,361112000.0,428512000.0,499643000.0,541102000.0,626825000.0,704688000.0,1496951000.0,1585391000.0,1692382000.0,1763691000.0,1880738000.0,4515641000.0,4378439000.0,4203931000.0,,,312226000.0,428512000.0,541102000.0,704688000.0,1585391000.0,1763691000.0,4515641000.0,4203931000.0,309153000.0,428512000.0,626825000.0,1585391000.0,1880738000.0,4203931000.0,,428512000.0,704688000.0,1763691000.0,4203931000.0,309153000.0,541102000.0,1692382000.0,4203931000.0,541102000.0,4203931000.0,4203931000.0,4203931000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,0.0,29688000.0,51000000.0,51000000.0,,,,,,,,,29688000.0,51000000.0,,,,,0.0,51000000.0,,,,,51000000.0,,,,51000000.0,,51000000.0,51000000.0,51000000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,31307000.0,25508000.0,29310000.0,29118000.0,26886000.0,28728000.0,42618000.0,40537000.0,210292000.0,249289000.0,248468000.0,169188000.0,200777000.0,464871000.0,425959000.0,472271000.0,,,25508000.0,29118000.0,28728000.0,40537000.0,249289000.0,169188000.0,464871000.0,472271000.0,31307000.0,29118000.0,42618000.0,249289000.0,200777000.0,472271000.0,,29118000.0,40537000.0,169188000.0,472271000.0,31307000.0,28728000.0,248468000.0,472271000.0,28728000.0,472271000.0,472271000.0,472271000.0,CommonMetricExtracted
