,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1262020000.0,1349486000.0,1370752000.0,1346383000.0,1350729000.0,1458084000.0,1643981000.0,1766356000.0,1826633000.0,,,,,,,1349486000.0,1346383000.0,1458084000.0,1766356000.0,,,,1262020000.0,1346383000.0,1643981000.0,,,,1349486000.0,1458084000.0,,,,1350729000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,8000000.0,17000000.0,25484000.0,22433000.0,14858000.0,17931000.0,21785000.0,22031000.0,20784000.0,24353000.0,27112000.0,29551000.0,31537000.0,37285000.0,43221000.0,53238000.0,,,8000000.0,25484000.0,14858000.0,21785000.0,20784000.0,27112000.0,31537000.0,43221000.0,,17000000.0,14858000.0,22031000.0,27112000.0,37285000.0,,8000000.0,14858000.0,20784000.0,31537000.0,,17000000.0,21785000.0,29551000.0,,21785000.0,17000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,190667000.0,203583000.0,198670000.0,164248000.0,242602000.0,291742000.0,253696000.0,282097000.0,283582000.0,315545000.0,296922000.0,298326000.0,309521000.0,329651000.0,327178000.0,313477000.0,327839000.0,,,203583000.0,164248000.0,291742000.0,282097000.0,315545000.0,298326000.0,329651000.0,313477000.0,,198670000.0,291742000.0,283582000.0,298326000.0,327178000.0,,203583000.0,291742000.0,315545000.0,329651000.0,,198670000.0,282097000.0,309521000.0,,282097000.0,198670000.0,,CommonMetricExtracted
Interest,,,,67251000.0,73371000.0,80490000.0,79349000.0,78922000.0,81492000.0,80562000.0,83056000.0,81956000.0,81198000.0,84408000.0,82457000.0,84251000.0,84145000.0,87259000.0,116216000.0,139196000.0,,,73371000.0,79349000.0,81492000.0,83056000.0,81198000.0,82457000.0,84145000.0,116216000.0,,80490000.0,81492000.0,81956000.0,82457000.0,87259000.0,,73371000.0,81492000.0,81198000.0,84145000.0,,80490000.0,83056000.0,84251000.0,,83056000.0,80490000.0,,CommonMetricExtracted
Taxes,,,,19200000.0,22362000.0,-731000.0,-44355000.0,33805000.0,72226000.0,16772000.0,45760000.0,36429000.0,48660000.0,17386000.0,24507000.0,28700000.0,36912000.0,37844000.0,27296000.0,15053000.0,,,22362000.0,-44355000.0,72226000.0,45760000.0,48660000.0,24507000.0,36912000.0,27296000.0,,-731000.0,72226000.0,36429000.0,24507000.0,37844000.0,,22362000.0,72226000.0,48660000.0,36912000.0,,-731000.0,45760000.0,28700000.0,,45760000.0,-731000.0,,CommonMetricExtracted
NetIncome,,,,98245000.0,124375000.0,142460000.0,170150000.0,173187000.0,182294000.0,193754000.0,194475000.0,198088000.0,213188000.0,227523000.0,233328000.0,237968000.0,245872000.0,259560000.0,261893000.0,289951000.0,,,124375000.0,170150000.0,182294000.0,194475000.0,213188000.0,233328000.0,245872000.0,261893000.0,,142460000.0,182294000.0,198088000.0,233328000.0,259560000.0,,124375000.0,182294000.0,213188000.0,245872000.0,,142460000.0,194475000.0,237968000.0,,194475000.0,142460000.0,,CommonMetricExtracted
Cash,,,,8828000.0,52987000.0,228677000.0,27813000.0,26527000.0,78162000.0,56808000.0,114802000.0,61480000.0,76649000.0,267492000.0,217254000.0,275116000.0,215243000.0,177577000.0,327429000.0,368865000.0,,8828000.0,228677000.0,26527000.0,56808000.0,61480000.0,267492000.0,275116000.0,177577000.0,368865000.0,52987000.0,26527000.0,114802000.0,267492000.0,215243000.0,368865000.0,8828000.0,26527000.0,61480000.0,275116000.0,368865000.0,52987000.0,56808000.0,217254000.0,368865000.0,56808000.0,368865000.0,368865000.0,368865000.0,CommonMetricExtracted
CurrentReceivables,,,,,,84401000.0,74914000.0,142920000.0,176810000.0,163238000.0,161010000.0,180356000.0,188954000.0,158328000.0,159115000.0,160112000.0,183426000.0,263948000.0,267012000.0,256094000.0,,,84401000.0,142920000.0,163238000.0,180356000.0,158328000.0,160112000.0,263948000.0,256094000.0,,142920000.0,161010000.0,158328000.0,183426000.0,256094000.0,,142920000.0,180356000.0,160112000.0,256094000.0,,163238000.0,159115000.0,256094000.0,163238000.0,256094000.0,256094000.0,256094000.0,CommonMetricExtracted
