,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,1453176.0,3787702.0,,,,,,,,,7630416.0,9580189.0,13656733.0,25765373.0,,,,1453176.0,,,,,7630416.0,13656733.0,,,,,,9580189.0,,,,,7630416.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,4356718.0,5380964.0,5607401.0,7142539.0,8026268.0,9691697.0,12814880.0,,,,,,,,5380964.0,7142539.0,9691697.0,,,,,5380964.0,8026268.0,,,,,7142539.0,,,,5607401.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,58765.0,-7177847.0,,,,,,824442.0,-686025.0,-995106.0,-3060286.0,-2552237.0,1012370.0,8425535.0,,,,58765.0,,,,-686025.0,-3060286.0,1012370.0,,,,,-686025.0,-2552237.0,,,,,-3060286.0,,,,-995106.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,84771.0,151179.0,208341.0,102832.0,44202.0,83295.0,,,,,,,,84771.0,208341.0,44202.0,,,,,84771.0,102832.0,,,,,208341.0,,,,151179.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,-590485.0,-991602.0,-1453268.0,-1423829.0,-850786.0,-540828.0,-473085.0,-8509851.0,,,,,,752279.0,-726507.0,-739939.0,-3260361.0,-2631092.0,1157746.0,8836685.0,-590485.0,-1453268.0,-850786.0,-473085.0,,,,-726507.0,-3260361.0,1157746.0,-1453268.0,-540828.0,,,-726507.0,-2631092.0,-590485.0,-850786.0,,,-3260361.0,-590485.0,-540828.0,,-739939.0,-590485.0,,-540828.0,-590485.0,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,1638031.0,2286999.0,1106901.0,,,,,,,,,1638031.0,1106901.0,,,,,,1106901.0,,,,,1106901.0,,,,1106901.0,,1106901.0,1106901.0,1106901.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,74673.0,305924.0,264779.0,408187.0,909997.0,1038867.0,1578694.0,,,,,,,74673.0,264779.0,909997.0,1578694.0,,,,74673.0,408187.0,1578694.0,,,,264779.0,1578694.0,,,305924.0,1578694.0,,1578694.0,1578694.0,1578694.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,16381.0,18410.0,19466.0,,,,,,183069.0,225146.0,402537.0,213722.0,618313.0,876681.0,899924.0,,,16381.0,19466.0,,,183069.0,402537.0,618313.0,899924.0,,19466.0,,183069.0,213722.0,899924.0,,19466.0,,402537.0,899924.0,,,225146.0,899924.0,,899924.0,899924.0,899924.0,CommonMetricExtracted
CurrentAssets,,,,,,420347.0,882183.0,75362.0,,,,,,761782.0,910109.0,3435501.0,2937312.0,3360292.0,4447113.0,11742073.0,,,420347.0,75362.0,,,761782.0,3435501.0,3360292.0,11742073.0,,75362.0,,761782.0,2937312.0,11742073.0,,75362.0,,3435501.0,11742073.0,,,910109.0,11742073.0,,11742073.0,11742073.0,11742073.0,CommonMetricExtracted
