,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,72463000.0,62711000.0,64337000.0,52783000.0,45639000.0,23111000.0,8310000.0,602000.0,15199000.0,,,2772000.0,3064000.0,4828000.0,3498000.0,2812000.0,,,62711000.0,52783000.0,23111000.0,602000.0,,2772000.0,4828000.0,2812000.0,72463000.0,52783000.0,8310000.0,,3064000.0,2812000.0,,52783000.0,602000.0,2772000.0,2812000.0,72463000.0,23111000.0,,2812000.0,23111000.0,2812000.0,2812000.0,2812000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,2806000.0,2209000.0,3437000.0,,,8028000.0,6158000.0,5032000.0,5078000.0,5006000.0,,,,,,2209000.0,,8028000.0,5032000.0,5006000.0,,,2806000.0,,6158000.0,5006000.0,,,2209000.0,8028000.0,5006000.0,,,,5006000.0,,5006000.0,5006000.0,5006000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,80652000.0,80360000.0,71583000.0,62709000.0,44866000.0,19165000.0,4240000.0,19808000.0,,,14122000.0,12166000.0,12154000.0,10417000.0,9416000.0,,,80652000.0,71583000.0,44866000.0,4240000.0,,14122000.0,12154000.0,9416000.0,,71583000.0,19165000.0,,12166000.0,9416000.0,,71583000.0,4240000.0,14122000.0,9416000.0,,44866000.0,,9416000.0,44866000.0,9416000.0,9416000.0,9416000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,3947000.0,2484000.0,2396000.0,2789000.0,1793000.0,1460000.0,929000.0,654000.0,,,7349000.0,6349000.0,480000.0,790000.0,925000.0,,,3947000.0,2396000.0,1793000.0,929000.0,,7349000.0,480000.0,925000.0,,2396000.0,1460000.0,,6349000.0,925000.0,,2396000.0,929000.0,7349000.0,925000.0,,1793000.0,,925000.0,1793000.0,925000.0,925000.0,925000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
