,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1775423000.0,1969058000.0,2213242000.0,2406908000.0,2706655000.0,3215360000.0,3367324000.0,3660953000.0,3897504000.0,,,,,,,1969058000.0,2406908000.0,3215360000.0,3660953000.0,,,,1775423000.0,2406908000.0,3367324000.0,,,,1969058000.0,3215360000.0,,,,2706655000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,1362986000.0,1470983000.0,1518577000.0,,,,,,,,,,1470983000.0,,,,,,1362986000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,169956000.0,167748000.0,179626000.0,204850000.0,216962000.0,243492000.0,283708000.0,299955000.0,317058000.0,354294000.0,387406000.0,418193000.0,434435000.0,486735000.0,524505000.0,566066000.0,588507000.0,,,167748000.0,204850000.0,243492000.0,299955000.0,354294000.0,418193000.0,486735000.0,566066000.0,,179626000.0,243492000.0,317058000.0,418193000.0,524505000.0,,167748000.0,243492000.0,354294000.0,486735000.0,,179626000.0,299955000.0,434435000.0,,299955000.0,179626000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,70673000.0,65124000.0,68597000.0,76042000.0,82014000.0,88003000.0,98263000.0,99681000.0,101122000.0,109182000.0,117863000.0,133193000.0,141249000.0,161009000.0,254820000.0,190951000.0,219792000.0,,,65124000.0,76042000.0,88003000.0,99681000.0,109182000.0,133193000.0,161009000.0,190951000.0,,68597000.0,88003000.0,101122000.0,133193000.0,254820000.0,,65124000.0,88003000.0,109182000.0,161009000.0,,68597000.0,99681000.0,141249000.0,,99681000.0,68597000.0,,CommonMetricExtracted
OperatingMargin,,,,172456000.0,175969000.0,203881000.0,236225000.0,262563000.0,266762000.0,260255000.0,299912000.0,350239000.0,413028000.0,491335000.0,552846000.0,694524000.0,932028000.0,898765000.0,1097128000.0,1128337000.0,,,175969000.0,236225000.0,266762000.0,299912000.0,413028000.0,552846000.0,932028000.0,1097128000.0,,203881000.0,266762000.0,350239000.0,552846000.0,898765000.0,,175969000.0,266762000.0,413028000.0,932028000.0,,203881000.0,299912000.0,694524000.0,,299912000.0,203881000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,39858000.0,41581000.0,31205000.0,,,,,,,,,,41581000.0,,,,,,39858000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,54018000.0,52304000.0,60809000.0,72668000.0,82330000.0,75467000.0,64604000.0,81006000.0,99792000.0,117788000.0,80695000.0,94426000.0,79854000.0,157810000.0,180883000.0,216134000.0,221964000.0,,,52304000.0,72668000.0,75467000.0,81006000.0,117788000.0,94426000.0,157810000.0,216134000.0,,60809000.0,75467000.0,99792000.0,94426000.0,180883000.0,,52304000.0,75467000.0,117788000.0,157810000.0,,60809000.0,81006000.0,79854000.0,,81006000.0,60809000.0,,CommonMetricExtracted
NetIncome,,,,116169000.0,122225000.0,141284000.0,161786000.0,178267000.0,187800000.0,181906000.0,192078000.0,222045000.0,263144000.0,377031000.0,427720000.0,581776000.0,744845000.0,679089000.0,845042000.0,887867000.0,,,122225000.0,161786000.0,187800000.0,192078000.0,263144000.0,427720000.0,744845000.0,845042000.0,,141284000.0,187800000.0,222045000.0,427720000.0,679089000.0,,122225000.0,187800000.0,263144000.0,744845000.0,,141284000.0,192078000.0,581776000.0,,192078000.0,141284000.0,,CommonMetricExtracted
Cash,,,60360000.0,78868000.0,106728000.0,156915000.0,183895000.0,223986000.0,279058000.0,322536000.0,128994000.0,154901000.0,187675000.0,,,383928000.0,144454000.0,112546000.0,453932000.0,288266000.0,,78868000.0,156915000.0,223986000.0,322536000.0,154901000.0,,383928000.0,112546000.0,288266000.0,106728000.0,223986000.0,128994000.0,,144454000.0,288266000.0,78868000.0,223986000.0,154901000.0,383928000.0,288266000.0,106728000.0,322536000.0,,288266000.0,322536000.0,288266000.0,288266000.0,288266000.0,CommonMetricExtracted
CurrentReceivables,,,,,115107000.0,120080000.0,141275000.0,138324000.0,158038000.0,152380000.0,188318000.0,204494000.0,234597000.0,237281000.0,,331429000.0,368348000.0,400619000.0,457445000.0,473575000.0,,,120080000.0,138324000.0,152380000.0,204494000.0,237281000.0,331429000.0,400619000.0,473575000.0,115107000.0,138324000.0,188318000.0,237281000.0,368348000.0,473575000.0,,138324000.0,204494000.0,331429000.0,473575000.0,115107000.0,152380000.0,,473575000.0,152380000.0,473575000.0,473575000.0,473575000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,110425000.0,127885000.0,133099000.0,140946000.0,133427000.0,160342000.0,188833000.0,158034000.0,164318000.0,163184000.0,,209873000.0,269030000.0,367823000.0,380282000.0,381877000.0,,,127885000.0,140946000.0,160342000.0,158034000.0,163184000.0,209873000.0,367823000.0,381877000.0,110425000.0,140946000.0,188833000.0,163184000.0,269030000.0,381877000.0,,140946000.0,158034000.0,209873000.0,381877000.0,110425000.0,160342000.0,,381877000.0,160342000.0,381877000.0,381877000.0,381877000.0,CommonMetricExtracted
CurrentAssets,,,,,376338000.0,460591000.0,524227000.0,569537000.0,652706000.0,759398000.0,821634000.0,845584000.0,971985000.0,,653180000.0,1062738000.0,955655000.0,1101477000.0,1495254000.0,1399897000.0,,,460591000.0,569537000.0,759398000.0,845584000.0,,1062738000.0,1101477000.0,1399897000.0,376338000.0,569537000.0,821634000.0,,955655000.0,1399897000.0,,569537000.0,845584000.0,1062738000.0,1399897000.0,376338000.0,759398000.0,653180000.0,1399897000.0,759398000.0,1399897000.0,1399897000.0,1399897000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,199946000.0,201725000.0,216777000.0,245177000.0,281214000.0,303587000.0,333026000.0,357422000.0,379096000.0,379096000.0,,555167000.0,587667000.0,649474000.0,702177000.0,713123000.0,,,201725000.0,245177000.0,303587000.0,357422000.0,379096000.0,555167000.0,649474000.0,713123000.0,199946000.0,245177000.0,333026000.0,379096000.0,587667000.0,713123000.0,,245177000.0,357422000.0,555167000.0,713123000.0,199946000.0,303587000.0,,713123000.0,303587000.0,713123000.0,713123000.0,713123000.0,CommonMetricExtracted
Goodwill,,,,138768000.0,148705000.0,149112000.0,172610000.0,174994000.0,180521000.0,184450000.0,178934000.0,178228000.0,199873000.0,,,243347000.0,359345000.0,361795000.0,365961000.0,405100000.0,,138768000.0,149112000.0,174994000.0,184450000.0,178228000.0,,243347000.0,361795000.0,405100000.0,148705000.0,174994000.0,178934000.0,,359345000.0,405100000.0,138768000.0,174994000.0,178228000.0,243347000.0,405100000.0,148705000.0,184450000.0,,405100000.0,184450000.0,405100000.0,405100000.0,405100000.0,CommonMetricExtracted
