,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,35368361.0,42220086.0,30481897.0,4111930.0,7411220.0,1774758.0,10262268.0,832010.0,217756.0,,,,,,,42220086.0,4111930.0,1774758.0,832010.0,,,,35368361.0,4111930.0,10262268.0,,,,42220086.0,1774758.0,,,,7411220.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,9408457.0,13256606.0,20032001.0,17984825.0,21368604.0,34095039.0,57791923.0,88712035.0,98572618.0,95257876.0,88017319.0,94245436.0,249240324.0,187650503.0,86676563.0,75620340.0,,,9408457.0,20032001.0,21368604.0,57791923.0,98572618.0,88017319.0,249240324.0,86676563.0,,13256606.0,21368604.0,88712035.0,88017319.0,187650503.0,,9408457.0,21368604.0,98572618.0,249240324.0,,13256606.0,57791923.0,94245436.0,,57791923.0,13256606.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,-197544.0,-1343856.0,496200.0,-704896.0,343371.0,-3861584.0,-4711596.0,-3163711.0,,,,,,,-197544.0,496200.0,343371.0,-4711596.0,,,,,496200.0,-3861584.0,,,,-197544.0,343371.0,,,,-704896.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,1222789.0,177833.0,,,,,,,,,,1222789.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,-24411485.0,-17613796.0,-15252945.0,-19668955.0,-66028448.0,-36121713.0,-29187606.0,-73740339.0,-88205772.0,-96967830.0,-119359219.0,-166411157.0,-303658710.0,-279818065.0,-135117352.0,-107254126.0,,,-24411485.0,-15252945.0,-66028448.0,-29187606.0,-88205772.0,-119359219.0,-303658710.0,-135117352.0,,-17613796.0,-66028448.0,-73740339.0,-119359219.0,-279818065.0,,-24411485.0,-66028448.0,-88205772.0,-303658710.0,,-17613796.0,-29187606.0,-166411157.0,,-29187606.0,-17613796.0,,CommonMetricExtracted
Cash,,,,14115281.0,30296215.0,19998489.0,17350116.0,5646021.0,33719796.0,40543982.0,57632693.0,19136472.0,23786579.0,,,250728118.0,71143778.0,46329359.0,14310862.0,65813297.0,,14115281.0,19998489.0,5646021.0,40543982.0,19136472.0,,250728118.0,46329359.0,65813297.0,30296215.0,5646021.0,57632693.0,,71143778.0,65813297.0,14115281.0,5646021.0,19136472.0,250728118.0,65813297.0,30296215.0,40543982.0,,65813297.0,40543982.0,65813297.0,65813297.0,65813297.0,CommonMetricExtracted
CurrentReceivables,,,,,,32887.0,467909.0,830433.0,3301563.0,2804207.0,7333059.0,15821511.0,6003205.0,,,18559967.0,5466850.0,1701726.0,2405228.0,1199056.0,,,32887.0,830433.0,2804207.0,15821511.0,,18559967.0,1701726.0,1199056.0,,830433.0,7333059.0,,5466850.0,1199056.0,,830433.0,15821511.0,18559967.0,1199056.0,,2804207.0,,1199056.0,2804207.0,1199056.0,1199056.0,1199056.0,CommonMetricExtracted
PrepaidExpenses,,,,,,273975.0,746049.0,471328.0,637433.0,797973.0,917257.0,1749059.0,2600906.0,,,40357456.0,38836991.0,50130481.0,5414097.0,2517465.0,,,273975.0,471328.0,797973.0,1749059.0,,40357456.0,50130481.0,2517465.0,,471328.0,917257.0,,38836991.0,2517465.0,,471328.0,1749059.0,40357456.0,2517465.0,,797973.0,,2517465.0,797973.0,2517465.0,2517465.0,2517465.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
