,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,4694000000.0,5196000000.0,6025000000.0,6784000000.0,7679000000.0,9633000000.0,12726000000.0,14368000000.0,16285000000.0,,,,,,,5196000000.0,6784000000.0,9633000000.0,14368000000.0,,,,4694000000.0,6784000000.0,12726000000.0,,,,5196000000.0,9633000000.0,,,,7679000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,22000000.0,12000000.0,15000000.0,20000000.0,22000000.0,50000000.0,140000000.0,163000000.0,146000000.0,,,,,,,12000000.0,20000000.0,50000000.0,163000000.0,,,,22000000.0,20000000.0,140000000.0,,,,12000000.0,50000000.0,,,,22000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,907000000.0,976000000.0,1111000000.0,1118000000.0,1219000000.0,1281000000.0,1288000000.0,1289000000.0,1420000000.0,1634000000.0,1927000000.0,2048000000.0,2644000000.0,3526000000.0,3762000000.0,4312000000.0,,,907000000.0,1111000000.0,1219000000.0,1288000000.0,1420000000.0,1927000000.0,2644000000.0,3762000000.0,,976000000.0,1219000000.0,1289000000.0,1927000000.0,3526000000.0,,907000000.0,1219000000.0,1420000000.0,2644000000.0,,976000000.0,1288000000.0,2048000000.0,,1288000000.0,976000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,556000000.0,573000000.0,634000000.0,669000000.0,685000000.0,758000000.0,798000000.0,881000000.0,998000000.0,1186000000.0,1233000000.0,1392000000.0,1678000000.0,2347000000.0,2539000000.0,2754000000.0,,,556000000.0,634000000.0,685000000.0,798000000.0,998000000.0,1233000000.0,1678000000.0,2539000000.0,,573000000.0,685000000.0,881000000.0,1233000000.0,2347000000.0,,556000000.0,685000000.0,998000000.0,1678000000.0,,573000000.0,798000000.0,1392000000.0,,798000000.0,573000000.0,,CommonMetricExtracted
OperatingMargin,,,,,683000000.0,904000000.0,1082000000.0,1177000000.0,1233000000.0,1314000000.0,738000000.0,1242000000.0,1418000000.0,1560000000.0,1854000000.0,2176000000.0,2500000000.0,2571000000.0,3141000000.0,3630000000.0,,,683000000.0,1082000000.0,1233000000.0,738000000.0,1418000000.0,1854000000.0,2500000000.0,3141000000.0,,904000000.0,1233000000.0,1242000000.0,1854000000.0,2571000000.0,,683000000.0,1233000000.0,1418000000.0,2500000000.0,,904000000.0,738000000.0,2176000000.0,,738000000.0,904000000.0,,CommonMetricExtracted
Interest,,,,,51000000.0,61000000.0,60000000.0,50000000.0,30000000.0,31000000.0,27000000.0,35000000.0,31000000.0,20000000.0,15000000.0,14000000.0,29000000.0,81000000.0,248000000.0,242000000.0,,,51000000.0,60000000.0,30000000.0,27000000.0,31000000.0,15000000.0,29000000.0,248000000.0,,61000000.0,30000000.0,35000000.0,15000000.0,81000000.0,,51000000.0,30000000.0,31000000.0,29000000.0,,61000000.0,27000000.0,14000000.0,,27000000.0,61000000.0,,CommonMetricExtracted
Taxes,,,,,206000000.0,292000000.0,354000000.0,384000000.0,387000000.0,453000000.0,299000000.0,397000000.0,405000000.0,292000000.0,324000000.0,372000000.0,494000000.0,476000000.0,605000000.0,587000000.0,,,206000000.0,354000000.0,387000000.0,299000000.0,405000000.0,324000000.0,494000000.0,605000000.0,,292000000.0,387000000.0,397000000.0,324000000.0,476000000.0,,206000000.0,387000000.0,405000000.0,494000000.0,,292000000.0,299000000.0,372000000.0,,299000000.0,292000000.0,,CommonMetricExtracted
NetIncome,,,,,447000000.0,574000000.0,634000000.0,792000000.0,858000000.0,907000000.0,365000000.0,979000000.0,985000000.0,1329000000.0,1557000000.0,1826000000.0,2062000000.0,2066000000.0,2384000000.0,2963000000.0,,,447000000.0,634000000.0,858000000.0,365000000.0,985000000.0,1557000000.0,2062000000.0,2384000000.0,,574000000.0,858000000.0,979000000.0,1557000000.0,2066000000.0,,447000000.0,858000000.0,985000000.0,2062000000.0,,574000000.0,365000000.0,1826000000.0,,365000000.0,574000000.0,,CommonMetricExtracted
Cash,,,,413000000.0,679000000.0,214000000.0,722000000.0,393000000.0,1009000000.0,849000000.0,808000000.0,638000000.0,529000000.0,1464000000.0,2116000000.0,6442000000.0,2562000000.0,2796000000.0,2848000000.0,3609000000.0,,413000000.0,214000000.0,393000000.0,849000000.0,638000000.0,1464000000.0,6442000000.0,2796000000.0,3609000000.0,679000000.0,393000000.0,808000000.0,1464000000.0,2562000000.0,3609000000.0,413000000.0,393000000.0,638000000.0,6442000000.0,3609000000.0,679000000.0,849000000.0,2116000000.0,3609000000.0,849000000.0,3609000000.0,3609000000.0,3609000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,162000000.0,243000000.0,236000000.0,192000000.0,169000000.0,175000000.0,128000000.0,166000000.0,137000000.0,588000000.0,616000000.0,971000000.0,1479000000.0,1541000000.0,5238000000.0,,,162000000.0,236000000.0,169000000.0,128000000.0,137000000.0,616000000.0,1479000000.0,5238000000.0,,236000000.0,175000000.0,137000000.0,971000000.0,5238000000.0,,236000000.0,128000000.0,616000000.0,5238000000.0,,169000000.0,588000000.0,5238000000.0,169000000.0,5238000000.0,5238000000.0,5238000000.0,CommonMetricExtracted
