,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3511453000.0,3845578000.0,4225761000.0,1581497000.0,,,5103574000.0,5480289000.0,6149909000.0,,,,,,,3845578000.0,1581497000.0,,5480289000.0,,,,3511453000.0,1581497000.0,5103574000.0,,,,3845578000.0,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,1664825000.0,1793954000.0,1833315000.0,,,2189120000.0,2357800000.0,2696549000.0,,,,,,,1664825000.0,1833315000.0,,2357800000.0,,,,,1833315000.0,2189120000.0,,,,1664825000.0,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,882364000.0,874359000.0,927873000.0,834591000.0,850371000.0,924031000.0,869572000.0,844960000.0,988332000.0,984965000.0,1038975000.0,991664000.0,,,1140577000.0,1236287000.0,1339539000.0,,,874359000.0,834591000.0,924031000.0,844960000.0,984965000.0,991664000.0,,1236287000.0,,927873000.0,924031000.0,988332000.0,991664000.0,1140577000.0,,874359000.0,924031000.0,984965000.0,,,927873000.0,844960000.0,,,844960000.0,927873000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,492530000.0,548544000.0,547549000.0,571199000.0,557027000.0,492394000.0,549277000.0,524527000.0,501606000.0,649109000.0,808267000.0,781338000.0,,,1049871000.0,921778000.0,1009519000.0,,,548544000.0,571199000.0,492394000.0,524527000.0,649109000.0,781338000.0,,921778000.0,,547549000.0,492394000.0,501606000.0,781338000.0,1049871000.0,,548544000.0,492394000.0,649109000.0,,,547549000.0,524527000.0,,,524527000.0,547549000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,142924000.0,113762000.0,167483000.0,106488000.0,114873000.0,63057000.0,-97275000.0,37713000.0,44944000.0,25947000.0,42753000.0,59931000.0,,,69489000.0,39943000.0,60872000.0,,,113762000.0,106488000.0,63057000.0,37713000.0,25947000.0,59931000.0,,39943000.0,,167483000.0,63057000.0,44944000.0,59931000.0,69489000.0,,113762000.0,63057000.0,25947000.0,,,167483000.0,37713000.0,,,37713000.0,167483000.0,,CommonMetricExtracted
NetIncome,,,,81943000.0,222306000.0,-48992000.0,399592000.0,174834000.0,100792000.0,328746000.0,125203000.0,107233000.0,185432000.0,364549000.0,268315000.0,,,562149000.0,187263000.0,183666000.0,,,222306000.0,399592000.0,100792000.0,125203000.0,185432000.0,268315000.0,,187263000.0,,-48992000.0,100792000.0,107233000.0,268315000.0,562149000.0,,222306000.0,100792000.0,185432000.0,,,-48992000.0,125203000.0,,,125203000.0,-48992000.0,,CommonMetricExtracted
Cash,,,125607000.0,278370000.0,446656000.0,258693000.0,179845000.0,243415000.0,120526000.0,159793000.0,128381000.0,236484000.0,925699000.0,165485000.0,,205063000.0,255828000.0,141797000.0,222789000.0,155716000.0,,278370000.0,258693000.0,243415000.0,159793000.0,236484000.0,165485000.0,205063000.0,141797000.0,155716000.0,446656000.0,243415000.0,128381000.0,165485000.0,255828000.0,155716000.0,278370000.0,243415000.0,236484000.0,205063000.0,155716000.0,446656000.0,159793000.0,,155716000.0,159793000.0,155716000.0,155716000.0,155716000.0,CommonMetricExtracted
CurrentReceivables,,,,,585376000.0,575827000.0,543467000.0,572200000.0,616797000.0,604265000.0,564401000.0,691249000.0,835742000.0,846889000.0,,859344000.0,961419000.0,1174915000.0,1259826000.0,1291379000.0,,,575827000.0,572200000.0,604265000.0,691249000.0,846889000.0,859344000.0,1174915000.0,1291379000.0,585376000.0,572200000.0,564401000.0,846889000.0,961419000.0,1291379000.0,,572200000.0,691249000.0,859344000.0,1291379000.0,585376000.0,604265000.0,,1291379000.0,604265000.0,1291379000.0,1291379000.0,1291379000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,136905000.0,105537000.0,164713000.0,144801000.0,139469000.0,142951000.0,184374000.0,188874000.0,195740000.0,,205380000.0,224020000.0,230433000.0,252930000.0,244127000.0,,,136905000.0,164713000.0,139469000.0,184374000.0,195740000.0,205380000.0,230433000.0,244127000.0,,164713000.0,142951000.0,195740000.0,224020000.0,244127000.0,,164713000.0,184374000.0,205380000.0,244127000.0,,139469000.0,,244127000.0,139469000.0,244127000.0,244127000.0,244127000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,1211425000.0,1212462000.0,914450000.0,1024092000.0,933607000.0,917719000.0,857912000.0,1112107000.0,1950315000.0,1208114000.0,,1269787000.0,1441267000.0,1547145000.0,1735545000.0,1691222000.0,,,1212462000.0,1024092000.0,917719000.0,1112107000.0,1208114000.0,1269787000.0,1547145000.0,1691222000.0,1211425000.0,1024092000.0,857912000.0,1208114000.0,1441267000.0,1691222000.0,,1024092000.0,1112107000.0,1269787000.0,1691222000.0,1211425000.0,917719000.0,,1691222000.0,917719000.0,1691222000.0,1691222000.0,1691222000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,3067209000.0,2821509000.0,2719725000.0,2856520000.0,3141138000.0,3101896000.0,2995517000.0,5291367000.0,5604408000.0,6159547000.0,,8377037000.0,8340620000.0,9477925000.0,9423388000.0,9394294000.0,,,2821509000.0,2856520000.0,3101896000.0,5291367000.0,6159547000.0,8377037000.0,9477925000.0,9394294000.0,3067209000.0,2856520000.0,2995517000.0,6159547000.0,8340620000.0,9394294000.0,,2856520000.0,5291367000.0,8377037000.0,9394294000.0,3067209000.0,3101896000.0,,9394294000.0,3101896000.0,9394294000.0,9394294000.0,9394294000.0,CommonMetricExtracted
Goodwill,,,,,2534713000.0,2323964000.0,2254268000.0,2334759000.0,2463352000.0,2423783000.0,2360978000.0,3905021000.0,4070267000.0,4441030000.0,,4557609000.0,4463531000.0,4882734000.0,5017912000.0,5083817000.0,,,2323964000.0,2334759000.0,2423783000.0,3905021000.0,4441030000.0,4557609000.0,4882734000.0,5083817000.0,2534713000.0,2334759000.0,2360978000.0,4441030000.0,4463531000.0,5083817000.0,,2334759000.0,3905021000.0,4557609000.0,5083817000.0,2534713000.0,2423783000.0,,5083817000.0,2423783000.0,5083817000.0,5083817000.0,5083817000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,1181043000.0,1423145000.0,1279800000.0,1274731000.0,,,,,,,,,1423145000.0,1274731000.0,,,,,1181043000.0,1274731000.0,,,,,1274731000.0,,,,1274731000.0,,1274731000.0,1274731000.0,1274731000.0,CommonMetricExtracted
TotalAssets,,,,,6851157000.0,6416393000.0,6041258000.0,6358339000.0,6653005000.0,6570342000.0,6350587000.0,9486800000.0,10975387000.0,11857218000.0,,14149267000.0,14450031000.0,16140514000.0,17473802000.0,18717115000.0,,,6416393000.0,6358339000.0,6570342000.0,9486800000.0,11857218000.0,14149267000.0,16140514000.0,18717115000.0,6851157000.0,6358339000.0,6350587000.0,11857218000.0,14450031000.0,18717115000.0,,6358339000.0,9486800000.0,14149267000.0,18717115000.0,6851157000.0,6570342000.0,,18717115000.0,6570342000.0,18717115000.0,18717115000.0,18717115000.0,CommonMetricExtracted
ShorttermDebt,,,,,40561000.0,96990000.0,73320000.0,92887000.0,52583000.0,52095000.0,88068000.0,172975000.0,146300000.0,126406000.0,,193759000.0,309428000.0,87546000.0,120670000.0,715109000.0,,,96990000.0,92887000.0,52095000.0,172975000.0,126406000.0,193759000.0,87546000.0,715109000.0,40561000.0,92887000.0,88068000.0,126406000.0,309428000.0,715109000.0,,92887000.0,172975000.0,193759000.0,715109000.0,40561000.0,52095000.0,,715109000.0,52095000.0,715109000.0,715109000.0,715109000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,566091000.0,556517000.0,575212000.0,594933000.0,677794000.0,607499000.0,570651000.0,672454000.0,942283000.0,1099546000.0,,359863000.0,1401682000.0,1501108000.0,1789853000.0,2045284000.0,,,556517000.0,594933000.0,607499000.0,672454000.0,1099546000.0,359863000.0,1501108000.0,2045284000.0,566091000.0,594933000.0,570651000.0,1099546000.0,1401682000.0,2045284000.0,,594933000.0,672454000.0,359863000.0,2045284000.0,566091000.0,607499000.0,,2045284000.0,607499000.0,2045284000.0,2045284000.0,2045284000.0,CommonMetricExtracted
CurrentLiability,,,,,1205574000.0,1270020000.0,1267861000.0,1331766000.0,1430439000.0,1261221000.0,1192892000.0,1496814000.0,2224909000.0,2536379000.0,,2291480000.0,3358587000.0,3278384000.0,3812112000.0,4780725000.0,,,1270020000.0,1331766000.0,1261221000.0,1496814000.0,2536379000.0,2291480000.0,3278384000.0,4780725000.0,1205574000.0,1331766000.0,1192892000.0,2536379000.0,3358587000.0,4780725000.0,,1331766000.0,1496814000.0,2291480000.0,4780725000.0,1205574000.0,1261221000.0,,4780725000.0,1261221000.0,4780725000.0,4780725000.0,4780725000.0,CommonMetricExtracted
