,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1136080000.0,1215012000.0,1258094000.0,1073442000.0,1221079000.0,1376096000.0,1596673000.0,1716596000.0,,,,,,,1136080000.0,1258094000.0,1221079000.0,1596673000.0,,,,,1258094000.0,1376096000.0,,,,1136080000.0,1221079000.0,,,,1073442000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,355402000.0,388469000.0,444528000.0,,444632000.0,456389000.0,565279000.0,1068370000.0,852347000.0,903084000.0,787735000.0,884109000.0,1017090000.0,1178384000.0,1257582000.0,,,,388469000.0,,456389000.0,1068370000.0,903084000.0,884109000.0,1178384000.0,,355402000.0,,565279000.0,903084000.0,1017090000.0,,,,1068370000.0,884109000.0,,355402000.0,456389000.0,787735000.0,,456389000.0,355402000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,70294000.0,72548000.0,80992000.0,,88107000.0,90602000.0,102530000.0,161573000.0,142441000.0,138695000.0,109006000.0,141418000.0,160578000.0,175619000.0,185202000.0,,,,72548000.0,,90602000.0,161573000.0,138695000.0,141418000.0,175619000.0,,70294000.0,,102530000.0,138695000.0,160578000.0,,,,161573000.0,141418000.0,,70294000.0,90602000.0,109006000.0,,90602000.0,70294000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,33562000.0,45513000.0,52490000.0,,54077000.0,49845000.0,52995000.0,55247000.0,48604000.0,46529000.0,48468000.0,51985000.0,60918000.0,63771000.0,53425000.0,,,,45513000.0,,49845000.0,55247000.0,46529000.0,51985000.0,63771000.0,,33562000.0,,52995000.0,46529000.0,60918000.0,,,,55247000.0,51985000.0,,33562000.0,49845000.0,48468000.0,,49845000.0,33562000.0,,CommonMetricExtracted
OperatingMargin,,,,,,1048000.0,61699000.0,25821000.0,,61339000.0,75654000.0,13146000.0,139439000.0,155555000.0,157635000.0,120612000.0,135711000.0,121327000.0,167330000.0,208238000.0,,,,61699000.0,,75654000.0,139439000.0,157635000.0,135711000.0,167330000.0,,1048000.0,,13146000.0,157635000.0,121327000.0,,,,139439000.0,135711000.0,,1048000.0,75654000.0,120612000.0,,75654000.0,1048000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,37265000.0,51275000.0,56374000.0,,,,,,,,,,51275000.0,,,,,,37265000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,-9176000.0,15270000.0,11529000.0,,12571000.0,21121000.0,-8106000.0,-37828000.0,14083000.0,13975000.0,8949000.0,8043000.0,10608000.0,16644000.0,26510000.0,,,,15270000.0,,21121000.0,-37828000.0,13975000.0,8043000.0,16644000.0,,-9176000.0,,-8106000.0,13975000.0,10608000.0,,,,-37828000.0,8043000.0,,-9176000.0,21121000.0,8949000.0,,21121000.0,-9176000.0,,CommonMetricExtracted
NetIncome,,,,,,-9001000.0,33122000.0,-4799000.0,,36267000.0,55458000.0,-7594000.0,66679000.0,167964000.0,96336000.0,77258000.0,96808000.0,66377000.0,90650000.0,119896000.0,,,,33122000.0,,55458000.0,66679000.0,96336000.0,96808000.0,90650000.0,,-9001000.0,,-7594000.0,96336000.0,66377000.0,,,,66679000.0,96808000.0,,-9001000.0,55458000.0,77258000.0,,55458000.0,-9001000.0,,CommonMetricExtracted
Cash,,,,,22063000.0,37864000.0,36508000.0,20284000.0,,35465000.0,76824000.0,82478000.0,44096000.0,,,,,24272000.0,23674000.0,46543000.0,,,37864000.0,20284000.0,35465000.0,82478000.0,,,24272000.0,46543000.0,22063000.0,20284000.0,76824000.0,,,46543000.0,,20284000.0,82478000.0,,46543000.0,22063000.0,35465000.0,,46543000.0,35465000.0,46543000.0,46543000.0,46543000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,101946000.0,120923000.0,,113679000.0,124953000.0,207342000.0,242456000.0,185501000.0,191985000.0,156207000.0,182310000.0,224325000.0,238277000.0,245269000.0,,,,120923000.0,113679000.0,207342000.0,185501000.0,156207000.0,224325000.0,245269000.0,,120923000.0,124953000.0,185501000.0,182310000.0,245269000.0,,120923000.0,207342000.0,156207000.0,245269000.0,,113679000.0,191985000.0,245269000.0,113679000.0,245269000.0,245269000.0,245269000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,7469000.0,12636000.0,,6717000.0,11780000.0,20888000.0,17786000.0,15104000.0,17852000.0,15896000.0,27610000.0,27005000.0,30033000.0,28409000.0,,,,12636000.0,6717000.0,20888000.0,15104000.0,15896000.0,27005000.0,28409000.0,,12636000.0,11780000.0,15104000.0,27610000.0,28409000.0,,12636000.0,20888000.0,15896000.0,28409000.0,,6717000.0,17852000.0,28409000.0,6717000.0,28409000.0,28409000.0,28409000.0,CommonMetricExtracted
Inventory,,,,,,,109913000.0,106612000.0,,118358000.0,129242000.0,252166000.0,227534000.0,190076000.0,167256000.0,149323000.0,155699000.0,208766000.0,239716000.0,247126000.0,,,,106612000.0,118358000.0,252166000.0,190076000.0,149323000.0,208766000.0,247126000.0,,106612000.0,129242000.0,190076000.0,155699000.0,247126000.0,,106612000.0,252166000.0,149323000.0,247126000.0,,118358000.0,167256000.0,247126000.0,118358000.0,247126000.0,247126000.0,247126000.0,CommonMetricExtracted
CurrentAssets,,,,,,,264956000.0,268133000.0,,282533000.0,350683000.0,574604000.0,531909000.0,416250000.0,415395000.0,412937000.0,452982000.0,558298000.0,617668000.0,671119000.0,,,,268133000.0,282533000.0,574604000.0,416250000.0,412937000.0,558298000.0,671119000.0,,268133000.0,350683000.0,416250000.0,452982000.0,671119000.0,,268133000.0,574604000.0,412937000.0,671119000.0,,282533000.0,415395000.0,671119000.0,282533000.0,671119000.0,671119000.0,671119000.0,CommonMetricExtracted
