,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,102142828.0,123989917.0,150747316.0,151116806.0,125717630.0,137041447.0,135303173.0,134744600.0,117023578.0,86746758.0,117614886.0,100943269.0,160881720.0,100352434.0,86546950.0,75837943.0,,,102142828.0,150747316.0,125717630.0,135303173.0,117023578.0,117614886.0,160881720.0,86546950.0,,123989917.0,125717630.0,134744600.0,117614886.0,100352434.0,,102142828.0,125717630.0,117023578.0,160881720.0,,123989917.0,135303173.0,100943269.0,,135303173.0,123989917.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,95598238.0,85547065.0,69146203.0,,,,,,,,,,85547065.0,,,,,,95598238.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,2029201.0,3074256.0,2517530.0,3360520.0,4567079.0,4859215.0,9663835.0,12401858.0,11307395.0,13098373.0,9781719.0,11157789.0,9558190.0,10058723.0,9075475.0,14799969.0,,,2029201.0,2517530.0,4567079.0,9663835.0,11307395.0,9781719.0,9558190.0,9075475.0,,3074256.0,4567079.0,12401858.0,9781719.0,10058723.0,,2029201.0,4567079.0,11307395.0,9558190.0,,3074256.0,9663835.0,11157789.0,,9663835.0,3074256.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,18006096.0,21985984.0,30111345.0,20978666.0,18843492.0,17412906.0,18196770.0,12951719.0,4680267.0,-11182314.0,3897799.0,-5455804.0,1459369.0,-5304527.0,-9575888.0,-8210719.0,,,18006096.0,30111345.0,18843492.0,18196770.0,4680267.0,3897799.0,1459369.0,-9575888.0,,21985984.0,18843492.0,12951719.0,3897799.0,-5304527.0,,18006096.0,18843492.0,4680267.0,1459369.0,,21985984.0,18196770.0,-5455804.0,,18196770.0,21985984.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,984518.0,762377.0,,,,,,,,,,984518.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,4666069.0,5964621.0,7799226.0,5464843.0,5094535.0,4432504.0,4122965.0,3114572.0,662828.0,-1850928.0,1076102.0,-1101858.0,5546954.0,11711339.0,346954.0,879194.0,,,4666069.0,7799226.0,5094535.0,4122965.0,662828.0,1076102.0,5546954.0,346954.0,,5964621.0,5094535.0,3114572.0,1076102.0,11711339.0,,4666069.0,5094535.0,662828.0,5546954.0,,5964621.0,4122965.0,-1101858.0,,4122965.0,5964621.0,,CommonMetricExtracted
NetIncome,,,,,12720208.0,15551536.0,21648664.0,14672663.0,13014648.0,11706360.0,11542205.0,7312976.0,1659788.0,-10545684.0,2221182.0,-5554002.0,905535.0,-16571308.0,-9946035.0,-9843094.0,,,12720208.0,21648664.0,13014648.0,11542205.0,1659788.0,2221182.0,905535.0,-9946035.0,,15551536.0,13014648.0,7312976.0,2221182.0,-16571308.0,,12720208.0,13014648.0,1659788.0,905535.0,,15551536.0,11542205.0,-5554002.0,,11542205.0,15551536.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,2895790.0,8474809.0,5837745.0,,11201612.0,9524868.0,3918938.0,5916373.0,,,,,,,8474809.0,,9524868.0,5916373.0,,,,8474809.0,11201612.0,5916373.0,,,,,5916373.0,,,5837745.0,5916373.0,,5916373.0,5916373.0,5916373.0,CommonMetricExtracted
CurrentReceivables,,,,,,1839235.0,3820696.0,,,,,,,,,,,,575526.0,287576.0,,,1839235.0,,,,,,,287576.0,,,,,,287576.0,,,,,287576.0,,,,287576.0,,287576.0,287576.0,287576.0,CommonMetricExtracted
