,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,11476000000.0,10674000000.0,10995000000.0,2119000000.0,2227800000.0,2496900000.0,2654600000.0,2485600000.0,2405400000.0,2585300000.0,2745100000.0,2846400000.0,2477800000.0,2765000000.0,2987700000.0,3283000000.0,3630700000.0,,,10674000000.0,2119000000.0,2496900000.0,2485600000.0,2585300000.0,2846400000.0,2765000000.0,3283000000.0,,10995000000.0,2496900000.0,2405400000.0,2846400000.0,2987700000.0,,10674000000.0,2496900000.0,2585300000.0,2765000000.0,,10995000000.0,2485600000.0,2477800000.0,,2485600000.0,10995000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,8262000000.0,7650000000.0,7820000000.0,1464000000.0,1547600000.0,1697100000.0,1788200000.0,1676500000.0,1647200000.0,1768100000.0,1857900000.0,1936300000.0,1695600000.0,1865500000.0,2065400000.0,2175700000.0,2383400000.0,,,7650000000.0,1464000000.0,1697100000.0,1676500000.0,1768100000.0,1936300000.0,1865500000.0,2175700000.0,,7820000000.0,1697100000.0,1647200000.0,1936300000.0,2065400000.0,,7650000000.0,1697100000.0,1768100000.0,1865500000.0,,7820000000.0,1676500000.0,1695600000.0,,1676500000.0,7820000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,149000000.0,166000000.0,167000000.0,180400000.0,216200000.0,219400000.0,183200000.0,170000000.0,169700000.0,168200000.0,165900000.0,146500000.0,150800000.0,156900000.0,174000000.0,205700000.0,,,149000000.0,167000000.0,216200000.0,183200000.0,169700000.0,165900000.0,150800000.0,174000000.0,,166000000.0,216200000.0,170000000.0,165900000.0,156900000.0,,149000000.0,216200000.0,169700000.0,150800000.0,,166000000.0,183200000.0,146500000.0,,183200000.0,166000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,236000000.0,258000000.0,253000000.0,66000000.0,62700000.0,67300000.0,76600000.0,78900000.0,80800000.0,93700000.0,98400000.0,97900000.0,84900000.0,94900000.0,96500000.0,102600000.0,116300000.0,,,258000000.0,66000000.0,67300000.0,78900000.0,93700000.0,97900000.0,94900000.0,102600000.0,,253000000.0,67300000.0,80800000.0,97900000.0,96500000.0,,258000000.0,67300000.0,93700000.0,94900000.0,,253000000.0,78900000.0,84900000.0,,78900000.0,253000000.0,,CommonMetricExtracted
OperatingMargin,,,,1198000000.0,894000000.0,900000000.0,-244900000.0,151500000.0,183600000.0,266400000.0,380100000.0,276600000.0,319300000.0,397300000.0,411400000.0,226500000.0,504300000.0,468000000.0,528200000.0,676000000.0,,,894000000.0,-244900000.0,183600000.0,380100000.0,319300000.0,411400000.0,504300000.0,528200000.0,,900000000.0,183600000.0,276600000.0,411400000.0,468000000.0,,894000000.0,183600000.0,319300000.0,504300000.0,,900000000.0,380100000.0,226500000.0,,380100000.0,900000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,10900000.0,19200000.0,36600000.0,,,,,,,,,,19200000.0,,,,,,10900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,308000000.0,169000000.0,164000000.0,260600000.0,39600000.0,-309600000.0,71300000.0,70100000.0,76000000.0,194600000.0,57700000.0,89900000.0,15300000.0,189600000.0,91100000.0,104800000.0,125800000.0,,,169000000.0,260600000.0,-309600000.0,70100000.0,194600000.0,89900000.0,189600000.0,104800000.0,,164000000.0,-309600000.0,76000000.0,89900000.0,91100000.0,,169000000.0,-309600000.0,194600000.0,189600000.0,,164000000.0,70100000.0,15300000.0,,70100000.0,164000000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,113300000.0,334600000.0,326200000.0,73900000.0,321000000.0,369400000.0,413800000.0,521700000.0,,,,,,,113300000.0,326200000.0,321000000.0,413800000.0,,,,,326200000.0,369400000.0,,,,113300000.0,321000000.0,,,,73900000.0,,,,,CommonMetricExtracted
Cash,,,,,,206000000.0,689800000.0,544500000.0,507300000.0,584000000.0,415700000.0,460700000.0,389800000.0,561200000.0,612100000.0,859800000.0,647500000.0,561200000.0,489200000.0,439300000.0,,,206000000.0,544500000.0,584000000.0,460700000.0,561200000.0,859800000.0,561200000.0,439300000.0,,544500000.0,415700000.0,561200000.0,647500000.0,439300000.0,,544500000.0,460700000.0,859800000.0,439300000.0,,584000000.0,612100000.0,439300000.0,584000000.0,439300000.0,439300000.0,439300000.0,CommonMetricExtracted
CurrentReceivables,,,,,1754000000.0,1944000000.0,396000000.0,440300000.0,496700000.0,500100000.0,584900000.0,523900000.0,629600000.0,540000000.0,578400000.0,507500000.0,555100000.0,628800000.0,675200000.0,703000000.0,,,1944000000.0,440300000.0,500100000.0,523900000.0,540000000.0,507500000.0,628800000.0,703000000.0,1754000000.0,440300000.0,584900000.0,540000000.0,555100000.0,703000000.0,,440300000.0,523900000.0,507500000.0,703000000.0,1754000000.0,500100000.0,578400000.0,703000000.0,500100000.0,703000000.0,703000000.0,703000000.0,CommonMetricExtracted
