,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,18610487.0,23502740.0,30800858.0,30648381.0,35172388.0,41244717.0,52925526.0,57902966.0,51676028.0,62212148.0,80102964.0,72218996.0,72134376.0,,,,,23502740.0,30648381.0,41244717.0,57902966.0,62212148.0,72218996.0,,,23502740.0,35172388.0,57902966.0,80102964.0,,,23502740.0,41244717.0,62212148.0,,,30648381.0,51676028.0,,30648381.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,27619026.0,36841530.0,41255076.0,37859500.0,45261401.0,61414765.0,54693359.0,55280668.0,,,,,,,27619026.0,41255076.0,45261401.0,54693359.0,,,,,41255076.0,61414765.0,,,,27619026.0,45261401.0,,,,37859500.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,4230227.0,5683364.0,11025083.0,8990658.0,7370334.0,8936709.0,14128662.0,16464128.0,19531818.0,20540229.0,19725593.0,17389351.0,16314986.0,,,,,5683364.0,8990658.0,8936709.0,16464128.0,20540229.0,17389351.0,,,5683364.0,7370334.0,16464128.0,19725593.0,,,5683364.0,8936709.0,20540229.0,,,8990658.0,19531818.0,,8990658.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-7665024.0,-716331.0,-1119452.0,-3697833.0,2532583.0,,,,,,,,,-716331.0,-3697833.0,,,,,,-1119452.0,,,,,-716331.0,,,,-7665024.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,876452.0,849581.0,,,,,,,,,,876452.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,-3812977.0,-26802488.0,3571300.0,0.0,,,,,-230550.0,-196130.0,78931.0,,,,,,-26802488.0,0.0,,,-196130.0,,,,3571300.0,,-230550.0,,,,0.0,,,,-26802488.0,,,-26802488.0,,,CommonMetricExtracted
NetIncome,,,,,,,,2030494.0,-1486257.0,-3730948.0,-27176091.0,6387705.0,4529262.0,1695899.0,222767.0,-7665024.0,-716331.0,-1350002.0,-4355152.0,2611514.0,,,,,-1486257.0,-27176091.0,4529262.0,222767.0,-716331.0,-4355152.0,,,-1486257.0,6387705.0,222767.0,-1350002.0,,,-1486257.0,4529262.0,-716331.0,,,-27176091.0,-7665024.0,,-27176091.0,,,CommonMetricExtracted
Cash,,,,,,,862464.0,1347029.0,2073605.0,3112526.0,1645320.0,3764053.0,5133435.0,4759817.0,3966050.0,5060015.0,6122671.0,1895000.0,5327016.0,2330880.0,,,,1347029.0,3112526.0,3764053.0,4759817.0,5060015.0,1895000.0,2330880.0,,1347029.0,1645320.0,4759817.0,6122671.0,2330880.0,,1347029.0,3764053.0,5060015.0,2330880.0,,3112526.0,3966050.0,2330880.0,3112526.0,2330880.0,2330880.0,2330880.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,959805.0,771205.0,1242970.0,1650584.0,1538395.0,2042505.0,3039756.0,3309830.0,2380305.0,3256764.0,,4307726.0,9039232.0,,,,959805.0,1242970.0,1538395.0,3039756.0,2380305.0,,9039232.0,,959805.0,1650584.0,3039756.0,3256764.0,9039232.0,,959805.0,1538395.0,2380305.0,9039232.0,,1242970.0,3309830.0,9039232.0,1242970.0,9039232.0,9039232.0,9039232.0,CommonMetricExtracted
