,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,545055000.0,643016000.0,778367000.0,280166000.0,169202000.0,194513000.0,277929000.0,286546000.0,,,,,,,545055000.0,778367000.0,169202000.0,277929000.0,,,,,778367000.0,194513000.0,,,,545055000.0,169202000.0,,,,280166000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,51560000.0,228229000.0,249719000.0,,,,,,,,,,228229000.0,,,,,,51560000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,15094000.0,98399000.0,281915000.0,339885000.0,158155000.0,-199445000.0,112711000.0,254411000.0,348607000.0,-70790000.0,364101000.0,-1674352000.0,-90000000.0,-402924000.0,-15859000.0,59882000.0,,,15094000.0,281915000.0,158155000.0,112711000.0,348607000.0,364101000.0,-90000000.0,-15859000.0,,98399000.0,158155000.0,254411000.0,364101000.0,-402924000.0,,15094000.0,158155000.0,348607000.0,-90000000.0,,98399000.0,112711000.0,-1674352000.0,,112711000.0,98399000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,620000.0,0.0,116995000.0,244573000.0,219918000.0,103246000.0,121670000.0,137478000.0,,,,,,,0.0,244573000.0,103246000.0,137478000.0,,,,0.0,219918000.0,137478000.0,,,,244573000.0,137478000.0,,,116995000.0,137478000.0,,137478000.0,137478000.0,137478000.0,CommonMetricExtracted
CurrentReceivables,,,,,,7601000.0,160424000.0,41429000.0,515404000.0,38717000.0,154594000.0,43886000.0,,,,15840000.0,16766000.0,22744000.0,26604000.0,24870000.0,,,7601000.0,41429000.0,38717000.0,43886000.0,,15840000.0,22744000.0,24870000.0,,41429000.0,154594000.0,,16766000.0,24870000.0,,41429000.0,43886000.0,15840000.0,24870000.0,,38717000.0,,24870000.0,38717000.0,24870000.0,24870000.0,24870000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
