,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,2471096000.0,2297531000.0,2193298000.0,1545026000.0,1489867000.0,1484131000.0,1540317000.0,1599331000.0,1553914000.0,869690000.0,950107000.0,1021506000.0,1143670000.0,1468083000.0,1692306000.0,1571306000.0,,,2471096000.0,2193298000.0,1489867000.0,1540317000.0,1553914000.0,950107000.0,1143670000.0,1692306000.0,,2297531000.0,1489867000.0,1599331000.0,950107000.0,1468083000.0,,2471096000.0,1489867000.0,1553914000.0,1143670000.0,,2297531000.0,1540317000.0,1021506000.0,,1540317000.0,2297531000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,223019000.0,211611000.0,129089000.0,100158000.0,106540000.0,119033000.0,232250000.0,274598000.0,238047000.0,,,,,,,211611000.0,100158000.0,119033000.0,274598000.0,,,,223019000.0,100158000.0,232250000.0,,,,211611000.0,119033000.0,,,,106540000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,260662000.0,243453000.0,224653000.0,227003000.0,220641000.0,206788000.0,221145000.0,203816000.0,165752000.0,106649000.0,76357000.0,80841000.0,82734000.0,130823000.0,172872000.0,143233000.0,,,260662000.0,224653000.0,220641000.0,221145000.0,165752000.0,76357000.0,82734000.0,172872000.0,,243453000.0,220641000.0,203816000.0,76357000.0,130823000.0,,260662000.0,220641000.0,165752000.0,82734000.0,,243453000.0,221145000.0,80841000.0,,221145000.0,243453000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,231268000.0,123563000.0,151198000.0,120816000.0,138205000.0,162308000.0,197173000.0,229915000.0,266141000.0,233447000.0,202223000.0,230584000.0,289946000.0,248270000.0,278753000.0,82536000.0,,,231268000.0,151198000.0,138205000.0,197173000.0,266141000.0,202223000.0,289946000.0,278753000.0,,123563000.0,138205000.0,229915000.0,202223000.0,248270000.0,,231268000.0,138205000.0,266141000.0,289946000.0,,123563000.0,197173000.0,230584000.0,,197173000.0,123563000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,79455000.0,36631000.0,48465000.0,33838000.0,40346000.0,51786000.0,65769000.0,72564000.0,81315000.0,81728000.0,24025000.0,32727000.0,55852000.0,46111000.0,58514000.0,32372000.0,,,79455000.0,48465000.0,40346000.0,65769000.0,81315000.0,24025000.0,55852000.0,58514000.0,,36631000.0,40346000.0,72564000.0,24025000.0,46111000.0,,79455000.0,40346000.0,81315000.0,55852000.0,,36631000.0,65769000.0,32727000.0,,65769000.0,36631000.0,,CommonMetricExtracted
NetIncome,,,,,118408000.0,70210000.0,80600000.0,57651000.0,51152000.0,88950000.0,108812000.0,124073000.0,135332000.0,121371000.0,94437000.0,89764000.0,165755000.0,115781000.0,130826000.0,-36695000.0,,,118408000.0,80600000.0,51152000.0,108812000.0,135332000.0,94437000.0,165755000.0,130826000.0,,70210000.0,51152000.0,124073000.0,94437000.0,115781000.0,,118408000.0,51152000.0,135332000.0,165755000.0,,70210000.0,108812000.0,89764000.0,,108812000.0,70210000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,0.0,26025000.0,37258000.0,18222000.0,27150000.0,28254000.0,29422000.0,,,,,,,0.0,37258000.0,27150000.0,29422000.0,,,,0.0,18222000.0,29422000.0,,,,37258000.0,29422000.0,,,26025000.0,29422000.0,,29422000.0,29422000.0,29422000.0,CommonMetricExtracted
CurrentReceivables,,,,,,81150000.0,86213000.0,78798000.0,41749000.0,50014000.0,47975000.0,73360000.0,68694000.0,57422000.0,45235000.0,78417000.0,74335000.0,103803000.0,99678000.0,83567000.0,,,81150000.0,78798000.0,50014000.0,73360000.0,57422000.0,78417000.0,103803000.0,83567000.0,,78798000.0,47975000.0,57422000.0,74335000.0,83567000.0,,78798000.0,73360000.0,78417000.0,83567000.0,,50014000.0,45235000.0,83567000.0,50014000.0,83567000.0,83567000.0,83567000.0,CommonMetricExtracted
