,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,22835000000.0,23400000000.0,23968000000.0,22317000000.0,23668000000.0,25299000000.0,26793000000.0,22952000000.0,,,,,,,22835000000.0,23968000000.0,23668000000.0,26793000000.0,,,,,23968000000.0,25299000000.0,,,,22835000000.0,23668000000.0,,,,22317000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,24948000000.0,29084000000.0,34775000000.0,35807000000.0,35952000000.0,36201000000.0,30732000000.0,30360000000.0,20833000000.0,22020000000.0,16275000000.0,14906000000.0,15609000000.0,16956000000.0,17822000000.0,14875000000.0,,,24948000000.0,34775000000.0,35952000000.0,30732000000.0,20833000000.0,16275000000.0,15609000000.0,17822000000.0,,29084000000.0,35952000000.0,30360000000.0,16275000000.0,16956000000.0,,24948000000.0,35952000000.0,20833000000.0,15609000000.0,,29084000000.0,30732000000.0,14906000000.0,,30732000000.0,29084000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,3210000000.0,3796000000.0,4393000000.0,4478000000.0,3965000000.0,4308000000.0,3986000000.0,5325000000.0,6158000000.0,6010000000.0,6244000000.0,5665000000.0,5258000000.0,5945000000.0,6181000000.0,5661000000.0,,,3210000000.0,4393000000.0,3965000000.0,3986000000.0,6158000000.0,6244000000.0,5258000000.0,6181000000.0,,3796000000.0,3965000000.0,5325000000.0,6244000000.0,5945000000.0,,3210000000.0,3965000000.0,6158000000.0,5258000000.0,,3796000000.0,3986000000.0,5665000000.0,,3986000000.0,3796000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,-318000000.0,1763000000.0,2111000000.0,1590000000.0,2465000000.0,2035000000.0,2151000000.0,1627000000.0,2558000000.0,2901000000.0,1056000000.0,903000000.0,2614000000.0,1710000000.0,1710000000.0,1522000000.0,,,-318000000.0,2111000000.0,2465000000.0,2151000000.0,2558000000.0,1056000000.0,2614000000.0,1710000000.0,,1763000000.0,2465000000.0,1627000000.0,1056000000.0,1710000000.0,,-318000000.0,2465000000.0,2558000000.0,2614000000.0,,1763000000.0,2151000000.0,903000000.0,,2151000000.0,1763000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,85000000.0,203000000.0,-166000000.0,819000000.0,0.0,990000000.0,1034000000.0,4598000000.0,0.0,124000000.0,429000000.0,452000000.0,489000000.0,,,,,203000000.0,819000000.0,990000000.0,4598000000.0,124000000.0,452000000.0,,,203000000.0,0.0,4598000000.0,429000000.0,,,203000000.0,990000000.0,124000000.0,,,819000000.0,0.0,,819000000.0,,,CommonMetricExtracted
NetIncome,,,,,-350000000.0,1566000000.0,1741000000.0,1353000000.0,1297000000.0,1343000000.0,1679000000.0,-632000000.0,1819000000.0,2383000000.0,5887000000.0,795000000.0,1870000000.0,1723000000.0,2033000000.0,1900000000.0,,,-350000000.0,1741000000.0,1297000000.0,1679000000.0,1819000000.0,5887000000.0,1870000000.0,2033000000.0,,1566000000.0,1297000000.0,-632000000.0,5887000000.0,1723000000.0,,-350000000.0,1297000000.0,1819000000.0,1870000000.0,,1566000000.0,1679000000.0,795000000.0,,1679000000.0,1566000000.0,,CommonMetricExtracted
Cash,,,,384000000.0,761000000.0,560000000.0,1390000000.0,265000000.0,1055000000.0,409000000.0,597000000.0,,321000000.0,200000000.0,2805000000.0,1951000000.0,1336000000.0,2031000000.0,835000000.0,606000000.0,,384000000.0,560000000.0,265000000.0,409000000.0,,200000000.0,1951000000.0,2031000000.0,606000000.0,761000000.0,265000000.0,597000000.0,200000000.0,1336000000.0,606000000.0,384000000.0,265000000.0,,1951000000.0,606000000.0,761000000.0,409000000.0,2805000000.0,606000000.0,409000000.0,606000000.0,606000000.0,606000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,6095000000.0,7151000000.0,7308000000.0,7206000000.0,5871000000.0,5751000000.0,,6666000000.0,7065000000.0,5770000000.0,5294000000.0,5613000000.0,5727000000.0,6006000000.0,6051000000.0,,,6095000000.0,7308000000.0,5871000000.0,,7065000000.0,5294000000.0,5727000000.0,6051000000.0,,7308000000.0,5751000000.0,7065000000.0,5613000000.0,6051000000.0,,7308000000.0,,5294000000.0,6051000000.0,,5871000000.0,5770000000.0,6051000000.0,5871000000.0,6051000000.0,6051000000.0,6051000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,1786000000.0,2316000000.0,2343000000.0,2325000000.0,2477000000.0,2377000000.0,,3209000000.0,3224000000.0,1814000000.0,1773000000.0,2057000000.0,2665000000.0,2776000000.0,1774000000.0,,,1786000000.0,2343000000.0,2477000000.0,,3224000000.0,1773000000.0,2665000000.0,1774000000.0,,2343000000.0,2377000000.0,3224000000.0,2057000000.0,1774000000.0,,2343000000.0,,1773000000.0,1774000000.0,,2477000000.0,1814000000.0,1774000000.0,2477000000.0,1774000000.0,1774000000.0,1774000000.0,CommonMetricExtracted
CurrentAssets,,,,,,10652000000.0,18242000000.0,12743000000.0,13698000000.0,13107000000.0,11093000000.0,,12292000000.0,11823000000.0,12393000000.0,10053000000.0,9998000000.0,11685000000.0,10737000000.0,11179000000.0,,,10652000000.0,12743000000.0,13107000000.0,,11823000000.0,10053000000.0,11685000000.0,11179000000.0,,12743000000.0,11093000000.0,11823000000.0,9998000000.0,11179000000.0,,12743000000.0,,10053000000.0,11179000000.0,,13107000000.0,12393000000.0,11179000000.0,13107000000.0,11179000000.0,11179000000.0,11179000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,3986000000.0,4096000000.0,5616000000.0,6440000000.0,6585000000.0,6314000000.0,5870000000.0,,6121000000.0,6171000000.0,3348000000.0,3059000000.0,3228000000.0,3131000000.0,3136000000.0,2403000000.0,,,4096000000.0,6440000000.0,6314000000.0,,6171000000.0,3059000000.0,3131000000.0,2403000000.0,3986000000.0,6440000000.0,5870000000.0,6171000000.0,3228000000.0,2403000000.0,,6440000000.0,,3059000000.0,2403000000.0,3986000000.0,6314000000.0,3348000000.0,2403000000.0,6314000000.0,2403000000.0,2403000000.0,2403000000.0,CommonMetricExtracted
Goodwill,,,,,6542000000.0,6501000000.0,9999000000.0,6982000000.0,6589000000.0,7127000000.0,6824000000.0,,19688000000.0,19473000000.0,18178000000.0,17932000000.0,18335000000.0,17350000000.0,17936000000.0,16725000000.0,,,6501000000.0,6982000000.0,7127000000.0,,19473000000.0,17932000000.0,17350000000.0,16725000000.0,6542000000.0,6982000000.0,6824000000.0,19473000000.0,18335000000.0,16725000000.0,,6982000000.0,,17932000000.0,16725000000.0,6542000000.0,7127000000.0,18178000000.0,16725000000.0,7127000000.0,16725000000.0,16725000000.0,16725000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,741000000.0,3628000000.0,947000000.0,999000000.0,1639000000.0,1516000000.0,,6741000000.0,6348000000.0,5632000000.0,5356000000.0,5549000000.0,5155000000.0,4888000000.0,4130000000.0,,,741000000.0,947000000.0,1639000000.0,,6348000000.0,5356000000.0,5155000000.0,4130000000.0,,947000000.0,1516000000.0,6348000000.0,5549000000.0,4130000000.0,,947000000.0,,5356000000.0,4130000000.0,,1639000000.0,5632000000.0,4130000000.0,1639000000.0,4130000000.0,4130000000.0,4130000000.0,CommonMetricExtracted
TotalAssets,,,,,24088000000.0,25743000000.0,29788000000.0,30954000000.0,31518000000.0,32812000000.0,29673000000.0,,51884000000.0,48797000000.0,42287000000.0,40815000000.0,41890000000.0,42158000000.0,42242000000.0,42695000000.0,,,25743000000.0,30954000000.0,32812000000.0,,48797000000.0,40815000000.0,42158000000.0,42695000000.0,24088000000.0,30954000000.0,29673000000.0,48797000000.0,41890000000.0,42695000000.0,,30954000000.0,,40815000000.0,42695000000.0,24088000000.0,32812000000.0,42287000000.0,42695000000.0,32812000000.0,42695000000.0,42695000000.0,42695000000.0,CommonMetricExtracted
