,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,809041000.0,889121000.0,540052000.0,623176000.0,1517664000.0,1503620000.0,742491000.0,706232000.0,,,,,,,809041000.0,540052000.0,1517664000.0,742491000.0,,,,,540052000.0,1503620000.0,,,,809041000.0,1517664000.0,,,,623176000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,136397000.0,427111000.0,442492000.0,423633000.0,287993000.0,295015000.0,277379000.0,346156000.0,433995000.0,479680000.0,285462000.0,325201000.0,820678000.0,755300000.0,383836000.0,437478000.0,,,136397000.0,442492000.0,287993000.0,277379000.0,433995000.0,285462000.0,820678000.0,383836000.0,,427111000.0,287993000.0,346156000.0,285462000.0,755300000.0,,136397000.0,287993000.0,433995000.0,820678000.0,,427111000.0,277379000.0,325201000.0,,277379000.0,427111000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,106175000.0,130978000.0,152714000.0,124718000.0,119519000.0,113514000.0,131808000.0,141816000.0,141382000.0,123188000.0,116811000.0,116007000.0,147061000.0,141396000.0,152982000.0,165564000.0,,,106175000.0,152714000.0,119519000.0,131808000.0,141382000.0,116811000.0,147061000.0,152982000.0,,130978000.0,119519000.0,141816000.0,116811000.0,141396000.0,,106175000.0,119519000.0,141382000.0,147061000.0,,130978000.0,131808000.0,116007000.0,,131808000.0,130978000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,53483000.0,56660000.0,65135000.0,63446000.0,61620000.0,83056000.0,90033000.0,92374000.0,100203000.0,119621000.0,116169000.0,123459000.0,137478000.0,136852000.0,144701000.0,151214000.0,,,53483000.0,65135000.0,61620000.0,90033000.0,100203000.0,116169000.0,137478000.0,144701000.0,,56660000.0,61620000.0,92374000.0,116169000.0,136852000.0,,53483000.0,61620000.0,100203000.0,137478000.0,,56660000.0,90033000.0,123459000.0,,90033000.0,56660000.0,,CommonMetricExtracted
OperatingMargin,,,,,,140105000.0,162428000.0,174251000.0,66668000.0,77133000.0,37705000.0,56164000.0,118515000.0,177549000.0,34687000.0,64334000.0,414550000.0,476988000.0,72201000.0,-58355000.0,,,,162428000.0,66668000.0,37705000.0,118515000.0,34687000.0,414550000.0,72201000.0,,140105000.0,66668000.0,56164000.0,34687000.0,476988000.0,,,66668000.0,118515000.0,414550000.0,,140105000.0,37705000.0,64334000.0,,37705000.0,140105000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,208000.0,142000.0,89000.0,,,,,,,,,,142000.0,,,,,,208000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-13029000.0,-2037000.0,34818000.0,13671000.0,7310000.0,14145000.0,-12934000.0,7709000.0,-7394000.0,120744000.0,22910000.0,11998000.0,47295000.0,43443000.0,15053000.0,10651000.0,,,-13029000.0,34818000.0,7310000.0,-12934000.0,-7394000.0,22910000.0,47295000.0,15053000.0,,-2037000.0,7310000.0,7709000.0,22910000.0,43443000.0,,-13029000.0,7310000.0,-7394000.0,47295000.0,,-2037000.0,-12934000.0,11998000.0,,-12934000.0,-2037000.0,,CommonMetricExtracted
NetIncome,,,,,-41601000.0,142142000.0,127610000.0,160580000.0,59358000.0,62988000.0,50639000.0,48455000.0,126099000.0,56676000.0,11653000.0,52300000.0,367161000.0,433545000.0,57148000.0,-69006000.0,,,-41601000.0,127610000.0,59358000.0,50639000.0,126099000.0,11653000.0,367161000.0,57148000.0,,142142000.0,59358000.0,48455000.0,11653000.0,433545000.0,,-41601000.0,59358000.0,126099000.0,367161000.0,,142142000.0,50639000.0,52300000.0,,50639000.0,142142000.0,,CommonMetricExtracted
Cash,,,,144932000.0,144560000.0,178112000.0,378188000.0,440244000.0,521788000.0,587981000.0,498614000.0,547907000.0,392410000.0,320630000.0,364184000.0,188127000.0,362788000.0,555537000.0,529402000.0,227147000.0,,144932000.0,178112000.0,440244000.0,587981000.0,547907000.0,320630000.0,188127000.0,555537000.0,227147000.0,144560000.0,440244000.0,498614000.0,320630000.0,362788000.0,227147000.0,144932000.0,440244000.0,547907000.0,188127000.0,227147000.0,144560000.0,587981000.0,364184000.0,227147000.0,587981000.0,227147000.0,227147000.0,227147000.0,CommonMetricExtracted
CurrentReceivables,,,,,,196035000.0,138649000.0,188986000.0,162714000.0,171530000.0,108596000.0,130455000.0,198480000.0,243373000.0,195830000.0,198640000.0,421193000.0,309323000.0,158601000.0,193909000.0,,,196035000.0,188986000.0,171530000.0,130455000.0,243373000.0,198640000.0,309323000.0,193909000.0,,188986000.0,108596000.0,243373000.0,421193000.0,193909000.0,,188986000.0,130455000.0,198640000.0,193909000.0,,171530000.0,195830000.0,193909000.0,171530000.0,193909000.0,193909000.0,193909000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,15985000.0,21897000.0,21577000.0,24012000.0,15090000.0,16937000.0,15285000.0,23939000.0,14561000.0,15429000.0,19620000.0,23586000.0,62200000.0,53751000.0,46161000.0,,,15985000.0,21577000.0,15090000.0,15285000.0,14561000.0,19620000.0,62200000.0,46161000.0,,21577000.0,16937000.0,14561000.0,23586000.0,46161000.0,,21577000.0,15285000.0,19620000.0,46161000.0,,15090000.0,15429000.0,46161000.0,15090000.0,46161000.0,46161000.0,46161000.0,CommonMetricExtracted
Inventory,,,,,,73893000.0,73092000.0,58994000.0,38135000.0,49694000.0,79096000.0,87295000.0,122023000.0,115191000.0,89308000.0,111809000.0,167323000.0,184986000.0,217304000.0,177736000.0,,,73893000.0,58994000.0,49694000.0,87295000.0,115191000.0,111809000.0,184986000.0,177736000.0,,58994000.0,79096000.0,115191000.0,167323000.0,177736000.0,,58994000.0,87295000.0,111809000.0,177736000.0,,49694000.0,89308000.0,177736000.0,49694000.0,177736000.0,177736000.0,177736000.0,CommonMetricExtracted
CurrentAssets,,,,,,472690000.0,619841000.0,713316000.0,754388000.0,837691000.0,707369000.0,780942000.0,953382000.0,987273000.0,893751000.0,860196000.0,1351890000.0,1332046000.0,1189058000.0,994953000.0,,,472690000.0,713316000.0,837691000.0,780942000.0,987273000.0,860196000.0,1332046000.0,994953000.0,,713316000.0,707369000.0,987273000.0,1351890000.0,994953000.0,,713316000.0,780942000.0,860196000.0,994953000.0,,837691000.0,893751000.0,994953000.0,837691000.0,994953000.0,994953000.0,994953000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,30059000.0,26501000.0,28441000.0,47541000.0,52755000.0,53234000.0,50342000.0,67762000.0,76067000.0,72370000.0,59147000.0,67982000.0,80908000.0,110051000.0,64823000.0,,,30059000.0,28441000.0,52755000.0,50342000.0,76067000.0,59147000.0,80908000.0,64823000.0,,28441000.0,53234000.0,76067000.0,67982000.0,64823000.0,,28441000.0,50342000.0,59147000.0,64823000.0,,52755000.0,72370000.0,64823000.0,52755000.0,64823000.0,64823000.0,64823000.0,CommonMetricExtracted
Goodwill,,,,,,26698000.0,41546000.0,41546000.0,41546000.0,41546000.0,81272000.0,81272000.0,56318000.0,56550000.0,55691000.0,56695000.0,72949000.0,68096000.0,88673000.0,89748000.0,,,26698000.0,41546000.0,41546000.0,81272000.0,56550000.0,56695000.0,68096000.0,89748000.0,,41546000.0,81272000.0,56550000.0,72949000.0,89748000.0,,41546000.0,81272000.0,56695000.0,89748000.0,,41546000.0,55691000.0,89748000.0,41546000.0,89748000.0,89748000.0,89748000.0,CommonMetricExtracted
IntangibleAssets,,,,,,39111000.0,29565000.0,20387000.0,11209000.0,5891000.0,57471000.0,50810000.0,62316000.0,52871000.0,42651000.0,37972000.0,42752000.0,31939000.0,29357000.0,25239000.0,,,39111000.0,20387000.0,5891000.0,50810000.0,52871000.0,37972000.0,31939000.0,25239000.0,,20387000.0,57471000.0,52871000.0,42752000.0,25239000.0,,20387000.0,50810000.0,37972000.0,25239000.0,,5891000.0,42651000.0,25239000.0,5891000.0,25239000.0,25239000.0,25239000.0,CommonMetricExtracted
TotalAssets,,,,,,580169000.0,728391000.0,815609000.0,862994000.0,944448000.0,904466000.0,982444000.0,1171107000.0,1185740000.0,1079616000.0,1054566000.0,1601631000.0,1588599000.0,1499777000.0,1240162000.0,,,580169000.0,815609000.0,944448000.0,982444000.0,1185740000.0,1054566000.0,1588599000.0,1240162000.0,,815609000.0,904466000.0,1185740000.0,1601631000.0,1240162000.0,,815609000.0,982444000.0,1054566000.0,1240162000.0,,944448000.0,1079616000.0,1240162000.0,944448000.0,1240162000.0,1240162000.0,1240162000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,125130000.0,94110000.0,123369000.0,77402000.0,81351000.0,73934000.0,118597000.0,200448000.0,174076000.0,113738000.0,151990000.0,346972000.0,241915000.0,174977000.0,176076000.0,,,125130000.0,123369000.0,81351000.0,118597000.0,174076000.0,151990000.0,241915000.0,176076000.0,,123369000.0,73934000.0,174076000.0,346972000.0,176076000.0,,123369000.0,118597000.0,151990000.0,176076000.0,,81351000.0,113738000.0,176076000.0,81351000.0,176076000.0,176076000.0,176076000.0,CommonMetricExtracted
CurrentLiability,,,,,,125130000.0,214182000.0,123369000.0,77402000.0,81351000.0,73934000.0,118597000.0,200448000.0,174076000.0,174642000.0,163796000.0,356778000.0,255447000.0,188125000.0,191512000.0,,,125130000.0,123369000.0,81351000.0,118597000.0,174076000.0,163796000.0,255447000.0,191512000.0,,123369000.0,73934000.0,174076000.0,356778000.0,191512000.0,,123369000.0,118597000.0,163796000.0,191512000.0,,81351000.0,174642000.0,191512000.0,81351000.0,191512000.0,191512000.0,191512000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,13729000.0,12267000.0,48573000.0,49531000.0,54753000.0,44800000.0,40628000.0,42022000.0,34779000.0,41414000.0,63722000.0,85097000.0,80634000.0,90872000.0,81007000.0,,,13729000.0,48573000.0,54753000.0,40628000.0,34779000.0,63722000.0,80634000.0,81007000.0,,48573000.0,44800000.0,34779000.0,85097000.0,81007000.0,,48573000.0,40628000.0,63722000.0,81007000.0,,54753000.0,41414000.0,81007000.0,54753000.0,81007000.0,81007000.0,81007000.0,CommonMetricExtracted
TotalLiability,,,,,,257689000.0,258514000.0,171942000.0,146329000.0,155206000.0,135217000.0,175926000.0,258171000.0,305533000.0,310553000.0,296572000.0,506394000.0,393949000.0,325216000.0,296153000.0,,,257689000.0,171942000.0,155206000.0,175926000.0,305533000.0,296572000.0,393949000.0,296153000.0,,171942000.0,135217000.0,305533000.0,506394000.0,296153000.0,,171942000.0,175926000.0,296572000.0,296153000.0,,155206000.0,310553000.0,296153000.0,155206000.0,296153000.0,296153000.0,296153000.0,CommonMetricExtracted
ShareholderEquity,,,,125396000.0,170803000.0,322480000.0,469877000.0,643667000.0,716665000.0,789242000.0,771891000.0,806518000.0,920030000.0,880207000.0,769063000.0,757994000.0,1095237000.0,1194650000.0,1174561000.0,944009000.0,,125396000.0,322480000.0,643667000.0,789242000.0,806518000.0,880207000.0,757994000.0,1194650000.0,944009000.0,170803000.0,643667000.0,771891000.0,880207000.0,1095237000.0,944009000.0,125396000.0,643667000.0,806518000.0,757994000.0,944009000.0,170803000.0,789242000.0,769063000.0,944009000.0,789242000.0,944009000.0,944009000.0,944009000.0,CommonMetricExtracted
OperatingCashFlow,,,,,-53522000.0,85799000.0,200396000.0,182471000.0,94824000.0,82460000.0,87875000.0,68407000.0,136310000.0,123499000.0,65967000.0,94412000.0,300032000.0,390188000.0,173404000.0,31037000.0,,,-53522000.0,200396000.0,94824000.0,87875000.0,136310000.0,65967000.0,300032000.0,173404000.0,,85799000.0,94824000.0,68407000.0,65967000.0,390188000.0,,-53522000.0,94824000.0,136310000.0,300032000.0,,85799000.0,87875000.0,94412000.0,,87875000.0,85799000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,5263000.0,6271000.0,7688000.0,6902000.0,17172000.0,10138000.0,10269000.0,6218000.0,25590000.0,20496000.0,11742000.0,11719000.0,22775000.0,22985000.0,44406000.0,16148000.0,,,5263000.0,7688000.0,17172000.0,10269000.0,25590000.0,11742000.0,22775000.0,44406000.0,,6271000.0,17172000.0,6218000.0,11742000.0,22985000.0,,5263000.0,17172000.0,25590000.0,22775000.0,,6271000.0,10269000.0,11719000.0,,10269000.0,6271000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,98404000.0,-6429000.0,-11106000.0,-15386000.0,-15114000.0,-15974000.0,-94109000.0,-5165000.0,-144669000.0,-96871000.0,47468000.0,-125957000.0,-81707000.0,133799000.0,-91338000.0,-138501000.0,,,98404000.0,-11106000.0,-15114000.0,-94109000.0,-144669000.0,47468000.0,-81707000.0,-91338000.0,,-6429000.0,-15114000.0,-5165000.0,47468000.0,133799000.0,,98404000.0,-15114000.0,-144669000.0,-81707000.0,,-6429000.0,-94109000.0,-125957000.0,,-94109000.0,-6429000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,0.0,0.0,8176000.0,31566000.0,30233000.0,33453000.0,39363000.0,42037000.0,44162000.0,,,,,,,0.0,31566000.0,33453000.0,42037000.0,,,,0.0,31566000.0,39363000.0,,,,0.0,33453000.0,,,,30233000.0,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,-45439000.0,-46121000.0,9296000.0,-105138000.0,1733000.0,-164000.0,-84459000.0,-14486000.0,-22684000.0,-99135000.0,-71318000.0,-145809000.0,-44258000.0,-321191000.0,-111876000.0,-196100000.0,,,-45439000.0,9296000.0,1733000.0,-84459000.0,-22684000.0,-71318000.0,-44258000.0,-111876000.0,,-46121000.0,1733000.0,-14486000.0,-71318000.0,-321191000.0,,-45439000.0,1733000.0,-22684000.0,-44258000.0,,-46121000.0,-84459000.0,-145809000.0,,-84459000.0,-46121000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,0.5364314045888898,0.5394991232914306,0.5285824328027672,0.5218445511380413,0.5407507854175891,0.5023210651627406,0.5169571078976042,0.6194536639517892,,,,,,,0.5364314045888898,0.5285824328027672,0.5407507854175891,0.5169571078976042,,,,,0.5285824328027672,0.5023210651627406,,,,0.5364314045888898,0.5407507854175891,,,,0.5218445511380413,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,375046000.0,409441000.0,254590000.0,297975000.0,696986000.0,748320000.0,358655000.0,268754000.0,,,,,,,375046000.0,254590000.0,696986000.0,358655000.0,,,,,254590000.0,748320000.0,,,,375046000.0,696986000.0,,,,297975000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,0.4635685954111102,0.4605008767085695,0.4714175671972329,0.47815544886195877,0.45924921458241086,0.4976789348372594,0.48304289210239587,0.3805463360482108,,,,,,,0.4635685954111102,0.4714175671972329,0.45924921458241086,0.48304289210239587,,,,,0.4714175671972329,0.4976789348372594,,,,0.4635685954111102,0.45924921458241086,,,,0.47815544886195877,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,0.17475257743427094,0.1385503210474165,0.21629583817854578,0.18615447321462958,0.0968995772450292,0.09403705723520571,0.20603886107710395,0.23443287758130474,,,,,,,0.17475257743427094,0.21629583817854578,0.0968995772450292,0.20603886107710395,,,,,0.21629583817854578,0.09403705723520571,,,,0.17475257743427094,0.0968995772450292,,,,0.18615447321462958,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,0.1238540444798224,0.13453849363584933,0.2151070637642301,0.19811257172933489,0.09058526788538175,0.09101501709208444,0.19488586393639787,0.21411377564313144,,,,,,,0.1238540444798224,0.2151070637642301,0.09058526788538175,0.19488586393639787,,,,,0.2151070637642301,0.09101501709208444,,,,0.1238540444798224,0.09058526788538175,,,,0.19811257172933489,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,0.1464882496684346,0.19969048082319504,0.06422900017035396,0.10323568301731774,0.27315005165833806,0.3172264268897727,0.09724158272625527,-0.08262865460641829,,,,,,,0.1464882496684346,0.06422900017035396,0.27315005165833806,0.09724158272625527,,,,,0.06422900017035396,0.3172264268897727,,,,0.1464882496684346,0.27315005165833806,,,,0.10323568301731774,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,0.0004360696705158201,0.001966731762717968,-0.0015251478022448805,,,,,,,,,,0.001966731762717968,,,,,,0.0004360696705158201,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,-0.01453909567824132,0.21435959317359077,0.0784557907845579,0.10964780704385912,0.18338454358056863,-0.3430314281925474,0.13725874225482515,-0.06238872716533772,0.6800601524086308,0.6604779888719117,0.18649547673081107,0.11408756482933301,0.09107776296259025,0.2084874170717857,-0.18252077799674407,,,,0.21435959317359077,0.10964780704385912,-0.3430314281925474,-0.06238872716533772,0.6604779888719117,0.11408756482933301,0.2084874170717857,,-0.01453909567824132,0.10964780704385912,0.13725874225482515,0.6604779888719117,0.09107776296259025,,,0.10964780704385912,-0.06238872716533772,0.11408756482933301,,-0.01453909567824132,-0.3430314281925474,0.18649547673081107,,-0.3430314281925474,-0.01453909567824132,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,0.15586231105716522,0.06374385488589292,0.021577551791308984,0.0839249265055137,0.2419250901385287,0.2883341535760365,0.07696793631168593,-0.097710100930006,,,,,,,0.15586231105716522,0.021577551791308984,0.2419250901385287,0.07696793631168593,,,,,0.021577551791308984,0.2883341535760365,,,,0.15586231105716522,0.2419250901385287,,,,0.0839249265055137,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,0.3768050942478157,0.6101371158087316,0.6171794828659388,0.6916705992141975,0.7019067890188626,0.7048852861801973,0.7015975578211955,0.4115978694793902,0.3247632620359313,0.4074781454789981,0.21870248175997098,0.2683561532373196,0.41705541700511845,0.44522807129677444,0.22829922619460416,,,0.3768050942478157,0.6171794828659388,0.7019067890188626,0.7015975578211955,0.3247632620359313,0.21870248175997098,0.41705541700511845,0.22829922619460416,,0.6171794828659388,0.7048852861801973,0.3247632620359313,0.2683561532373196,0.22829922619460416,,0.6171794828659388,0.7015975578211955,0.21870248175997098,0.22829922619460416,,0.7019067890188626,0.4074781454789981,0.22829922619460416,0.7019067890188626,0.22829922619460416,0.22829922619460416,0.22829922619460416,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,0.414722122321183,0.22368478367839495,0.26494008265621405,0.2156900693012084,0.20476524159863244,0.15352100530274865,0.16704825710488103,0.2081851765609168,0.24651033705975955,0.21911024435217416,0.23092411496914655,0.3115586327289942,0.23221645498729024,0.13338373737866446,0.19489262306862737,,,0.414722122321183,0.26494008265621405,0.20476524159863244,0.16704825710488103,0.24651033705975955,0.23092411496914655,0.23221645498729024,0.19489262306862737,,0.26494008265621405,0.15352100530274865,0.24651033705975955,0.3115586327289942,0.19489262306862737,,0.26494008265621405,0.16704825710488103,0.23092411496914655,0.19489262306862737,,0.20476524159863244,0.21911024435217416,0.19489262306862737,0.20476524159863244,0.19489262306862737,0.19489262306862737,0.19489262306862737,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,0.03381708942435846,0.035326801550720266,0.03024886586029193,0.03182977459874759,0.018013802225402924,0.023943655998495836,0.019572516268813817,0.025109557344275432,0.0147487067913333,0.017263197467751085,0.02280875521392799,0.017446685751059628,0.04669508410370212,0.04520469144482439,0.04639515635411924,,,0.03381708942435846,0.03024886586029193,0.018013802225402924,0.019572516268813817,0.0147487067913333,0.02280875521392799,0.04669508410370212,0.04639515635411924,,0.03024886586029193,0.023943655998495836,0.0147487067913333,0.017446685751059628,0.04639515635411924,,0.03024886586029193,0.019572516268813817,0.02280875521392799,0.04639515635411924,,0.018013802225402924,0.017263197467751085,0.04639515635411924,0.018013802225402924,0.04639515635411924,0.04639515635411924,0.04639515635411924,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,0.15632444096553766,0.11792056349934903,0.08270387878583965,0.05055091014173078,0.05932259031074704,0.11181717038773258,0.11178166880510973,0.12798962011030207,0.11667593461990756,0.09992492316092513,0.1299808415756409,0.12376968540339821,0.13887358244384954,0.18275307007732172,0.178637583885872,,,0.15632444096553766,0.08270387878583965,0.05932259031074704,0.11178166880510973,0.11667593461990756,0.1299808415756409,0.13887358244384954,0.178637583885872,,0.08270387878583965,0.11181717038773258,0.11667593461990756,0.12376968540339821,0.178637583885872,,0.08270387878583965,0.11178166880510973,0.1299808415756409,0.178637583885872,,0.05932259031074704,0.09992492316092513,0.178637583885872,0.05932259031074704,0.178637583885872,0.178637583885872,0.178637583885872,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,0.8147453586799709,0.8509728977980233,0.8745808346891709,0.8741520798522353,0.8869636020193806,0.7820846775887651,0.7948972155155918,0.8140861595054936,0.8326218226592677,0.8278415658900943,0.815687211611222,0.8440708253024574,0.8385036123024123,0.792823199715691,0.8022766380521255,,,0.8147453586799709,0.8745808346891709,0.8869636020193806,0.7948972155155918,0.8326218226592677,0.815687211611222,0.8385036123024123,0.8022766380521255,,0.8745808346891709,0.7820846775887651,0.8326218226592677,0.8440708253024574,0.8022766380521255,,0.8745808346891709,0.7948972155155918,0.815687211611222,0.8022766380521255,,0.8869636020193806,0.8278415658900943,0.8022766380521255,0.8869636020193806,0.8022766380521255,0.8022766380521255,0.8022766380521255,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,0.05181076548385039,0.03638293169465301,0.034870875627905036,0.0550884478918741,0.055858025005082336,0.058856828227926754,0.05124159748545464,0.05786149344167527,0.06415150032890853,0.06703309324796965,0.0560865796924991,0.04244548213664696,0.0509304110099528,0.07337824223201182,0.052269784108850297,,,0.05181076548385039,0.034870875627905036,0.055858025005082336,0.05124159748545464,0.06415150032890853,0.0560865796924991,0.0509304110099528,0.052269784108850297,,0.034870875627905036,0.058856828227926754,0.06415150032890853,0.04244548213664696,0.052269784108850297,,0.034870875627905036,0.05124159748545464,0.0560865796924991,0.052269784108850297,,0.055858025005082336,0.06703309324796965,0.052269784108850297,0.055858025005082336,0.052269784108850297,0.052269784108850297,0.052269784108850297,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,0.04601762589866056,0.05703804687317663,0.050938623776834245,0.048141702028055816,0.043989716744595786,0.08985633511928585,0.08272430795037682,0.048089542629324224,0.047691736805707825,0.051584081747584325,0.05376145257859631,0.04554669583693123,0.04286544307279559,0.05912412311963712,0.07236796483040119,,,0.04601762589866056,0.050938623776834245,0.043989716744595786,0.08272430795037682,0.047691736805707825,0.05376145257859631,0.04286544307279559,0.07236796483040119,,0.050938623776834245,0.08985633511928585,0.047691736805707825,0.04554669583693123,0.07236796483040119,,0.050938623776834245,0.08272430795037682,0.05376145257859631,0.07236796483040119,,0.043989716744595786,0.051584081747584325,0.07236796483040119,0.043989716744595786,0.07236796483040119,0.07236796483040119,0.07236796483040119,CommonMetricCalculated
