,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,24465005.0,29518809.0,40127669.0,45666117.0,47401190.0,40394177.0,50335167.0,,,,,,,,29518809.0,45666117.0,40394177.0,,,,,29518809.0,47401190.0,,,,,45666117.0,,,,40127669.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,2175481.0,3341075.0,2178472.0,1550873.0,5236791.0,3006352.0,786867.0,3364658.0,4892066.0,4216161.0,7745762.0,9976103.0,10279660.0,7177027.0,3802372.0,,,,3341075.0,1550873.0,3006352.0,3364658.0,4216161.0,9976103.0,7177027.0,,2175481.0,1550873.0,786867.0,4216161.0,10279660.0,,,1550873.0,3364658.0,9976103.0,,2175481.0,3006352.0,7745762.0,,3006352.0,2175481.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,12321609.0,15990881.0,17165870.0,19124750.0,19908020.0,18134580.0,16961773.0,20541244.0,27210849.0,21316459.0,11822703.0,18100519.0,17965097.0,21842157.0,22844719.0,,,,15990881.0,19124750.0,18134580.0,20541244.0,21316459.0,18100519.0,21842157.0,,12321609.0,19124750.0,16961773.0,21316459.0,17965097.0,,,19124750.0,20541244.0,18100519.0,,12321609.0,18134580.0,11822703.0,,18134580.0,12321609.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,10972030.0,13218018.0,12121689.0,15983147.0,15499230.0,14625061.0,15252794.0,15515057.0,12553237.0,9132969.0,3924241.0,6312148.0,8387898.0,3600066.0,5832782.0,,,,13218018.0,15983147.0,14625061.0,15515057.0,9132969.0,6312148.0,3600066.0,,10972030.0,15983147.0,15252794.0,9132969.0,8387898.0,,,15983147.0,15515057.0,6312148.0,,10972030.0,14625061.0,3924241.0,,14625061.0,10972030.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,640059.0,543759.0,132642.0,31142.0,76877.0,829602.0,817180.0,,,,,,,,543759.0,31142.0,829602.0,,,,,543759.0,76877.0,,,,,31142.0,,,,132642.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,-54000.0,0.0,1099000.0,-12933209.0,-180000.0,-25000.0,3130000.0,2963000.0,30000.0,108000.0,129000.0,129000.0,144000.0,156000.0,170000.0,,,,0.0,-12933209.0,-25000.0,2963000.0,108000.0,129000.0,156000.0,,-54000.0,-12933209.0,3130000.0,108000.0,144000.0,,,-12933209.0,2963000.0,129000.0,,-54000.0,-25000.0,129000.0,,-25000.0,-54000.0,,CommonMetricExtracted
NetIncome,,,,,19270153.0,8955798.0,4259633.0,-18994272.0,-5606016.0,-28670789.0,-14843067.0,-23031145.0,-25380115.0,-34482492.0,-29374222.0,-4530925.0,-13468371.0,-19326265.0,-19748219.0,-43877896.0,,,19270153.0,4259633.0,-5606016.0,-14843067.0,-25380115.0,-29374222.0,-13468371.0,-19748219.0,,8955798.0,-5606016.0,-23031145.0,-29374222.0,-19326265.0,,19270153.0,-5606016.0,-25380115.0,-13468371.0,,8955798.0,-14843067.0,-4530925.0,,-14843067.0,8955798.0,,CommonMetricExtracted
Cash,,,,57949449.0,54832744.0,49834547.0,43095163.0,27135387.0,,14635801.0,19767889.0,15822495.0,24848227.0,14326347.0,6029247.0,17112869.0,26787931.0,8258878.0,5710685.0,14160120.0,,57949449.0,49834547.0,27135387.0,14635801.0,15822495.0,14326347.0,17112869.0,8258878.0,14160120.0,54832744.0,27135387.0,19767889.0,14326347.0,26787931.0,14160120.0,57949449.0,27135387.0,15822495.0,17112869.0,14160120.0,54832744.0,14635801.0,6029247.0,14160120.0,14635801.0,14160120.0,14160120.0,14160120.0,CommonMetricExtracted
CurrentReceivables,,,,,,14539664.0,16510851.0,5254549.0,,3758832.0,1487633.0,1664488.0,3955123.0,3088360.0,6023250.0,9260865.0,12113070.0,6537891.0,9706036.0,11850654.0,,,14539664.0,5254549.0,3758832.0,1664488.0,3088360.0,9260865.0,6537891.0,11850654.0,,5254549.0,1487633.0,3088360.0,12113070.0,11850654.0,,5254549.0,1664488.0,9260865.0,11850654.0,,3758832.0,6023250.0,11850654.0,3758832.0,11850654.0,11850654.0,11850654.0,CommonMetricExtracted
PrepaidExpenses,,,,,,2060833.0,1294368.0,917841.0,,802837.0,920410.0,853757.0,978677.0,784790.0,1164927.0,1263688.0,1758079.0,1074867.0,1210207.0,1153852.0,,,2060833.0,917841.0,802837.0,853757.0,784790.0,1263688.0,1074867.0,1153852.0,,917841.0,920410.0,784790.0,1758079.0,1153852.0,,917841.0,853757.0,1263688.0,1153852.0,,802837.0,1164927.0,1153852.0,802837.0,1153852.0,1153852.0,1153852.0,CommonMetricExtracted
Inventory,,,,,,21462871.0,21415517.0,5789753.0,,4081886.0,2512473.0,3302112.0,5080797.0,4797238.0,3768696.0,4455756.0,6581139.0,6426400.0,7601806.0,6134096.0,,,21462871.0,5789753.0,4081886.0,3302112.0,4797238.0,4455756.0,6426400.0,6134096.0,,5789753.0,2512473.0,4797238.0,6581139.0,6134096.0,,5789753.0,3302112.0,4455756.0,6134096.0,,4081886.0,3768696.0,6134096.0,4081886.0,6134096.0,6134096.0,6134096.0,CommonMetricExtracted
CurrentAssets,,,,,,152624762.0,146428257.0,126967069.0,,99924620.0,101156222.0,83394104.0,79739496.0,49404025.0,33764641.0,39456180.0,52207745.0,30860673.0,39830543.0,62842400.0,,,152624762.0,126967069.0,99924620.0,83394104.0,49404025.0,39456180.0,30860673.0,62842400.0,,126967069.0,101156222.0,49404025.0,52207745.0,62842400.0,,126967069.0,83394104.0,39456180.0,62842400.0,,99924620.0,33764641.0,62842400.0,99924620.0,62842400.0,62842400.0,62842400.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,32613961.0,32369441.0,8486406.0,,4589421.0,2677103.0,2976006.0,5077043.0,2598842.0,1473341.0,1626930.0,1888963.0,1831641.0,2163417.0,2099708.0,,,32613961.0,8486406.0,4589421.0,2976006.0,2598842.0,1626930.0,1831641.0,2099708.0,,8486406.0,2677103.0,2598842.0,1888963.0,2099708.0,,8486406.0,2976006.0,1626930.0,2099708.0,,4589421.0,1473341.0,2099708.0,4589421.0,2099708.0,2099708.0,2099708.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,192096398.0,194563529.0,176208802.0,,122941414.0,106060086.0,87832272.0,91322490.0,59549111.0,43046515.0,47549147.0,63007728.0,43752172.0,49312316.0,70765766.0,,,192096398.0,176208802.0,122941414.0,87832272.0,59549111.0,47549147.0,43752172.0,70765766.0,,176208802.0,106060086.0,59549111.0,63007728.0,70765766.0,,176208802.0,87832272.0,47549147.0,70765766.0,,122941414.0,43046515.0,70765766.0,122941414.0,70765766.0,70765766.0,70765766.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,13274507.0,14511824.0,7685121.0,,8672762.0,6512986.0,6915606.0,6984630.0,5823427.0,6233451.0,7416405.0,10250349.0,11400465.0,13720363.0,15675430.0,,,13274507.0,7685121.0,8672762.0,6915606.0,5823427.0,7416405.0,11400465.0,15675430.0,,7685121.0,6512986.0,5823427.0,10250349.0,15675430.0,,7685121.0,6915606.0,7416405.0,15675430.0,,8672762.0,6233451.0,15675430.0,8672762.0,15675430.0,15675430.0,15675430.0,CommonMetricExtracted
CurrentLiability,,,,,,22483048.0,24606744.0,22740233.0,,16411952.0,13830126.0,15925851.0,14169538.0,12268912.0,14586625.0,19674379.0,23499974.0,17356406.0,19149325.0,45356636.0,,,22483048.0,22740233.0,16411952.0,15925851.0,12268912.0,19674379.0,17356406.0,45356636.0,,22740233.0,13830126.0,12268912.0,23499974.0,45356636.0,,22740233.0,15925851.0,19674379.0,45356636.0,,16411952.0,14586625.0,45356636.0,16411952.0,45356636.0,45356636.0,45356636.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,0.0,2876750.0,2091634.0,5559133.0,3946641.0,3326998.0,2951970.0,,,,,,,0.0,2091634.0,3946641.0,2951970.0,,,,0.0,5559133.0,2951970.0,,,,2091634.0,2951970.0,,,2876750.0,2951970.0,,2951970.0,2951970.0,2951970.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,19250552.0,23380871.0,19761557.0,19803421.0,47484204.0,,,,,,,,19250552.0,19761557.0,47484204.0,,,,,23380871.0,47484204.0,,,,19250552.0,47484204.0,,,,47484204.0,,47484204.0,47484204.0,47484204.0,CommonMetricExtracted
ShareholderEquity,,,,,,165835919.0,165584725.0,148733680.0,,109846959.0,94740875.0,74077686.0,78099269.0,47861874.0,28608635.0,28435431.0,39799191.0,24163297.0,29508895.0,23281562.0,,,165835919.0,148733680.0,109846959.0,74077686.0,47861874.0,28435431.0,24163297.0,23281562.0,,148733680.0,94740875.0,47861874.0,39799191.0,23281562.0,,148733680.0,74077686.0,28435431.0,23281562.0,,109846959.0,28608635.0,23281562.0,109846959.0,23281562.0,23281562.0,23281562.0,CommonMetricExtracted
OperatingCashFlow,,,,,23357159.0,13933341.0,19252101.0,3788201.0,-18900405.0,-19604996.0,-16919549.0,-26174695.0,-25912698.0,-28103782.0,-21026854.0,-4417157.0,-10747782.0,-17687250.0,-15260677.0,-14226605.0,,,23357159.0,19252101.0,-18900405.0,-16919549.0,-25912698.0,-21026854.0,-10747782.0,-15260677.0,,13933341.0,-18900405.0,-26174695.0,-21026854.0,-17687250.0,,23357159.0,-18900405.0,-25912698.0,-10747782.0,,13933341.0,-16919549.0,-4417157.0,,-16919549.0,13933341.0,,CommonMetricExtracted
CapitalExpenditures,,,,,3684630.0,15849823.0,7132371.0,9831967.0,741543.0,1489986.0,1122808.0,394897.0,2794467.0,1183131.0,170186.0,542862.0,1033503.0,832712.0,949487.0,815299.0,,,3684630.0,7132371.0,741543.0,1122808.0,2794467.0,170186.0,1033503.0,949487.0,,15849823.0,741543.0,394897.0,170186.0,832712.0,,3684630.0,741543.0,2794467.0,1033503.0,,15849823.0,1122808.0,542862.0,,1122808.0,15849823.0,,CommonMetricExtracted
InvestingCashFlow,,,,,-20471628.0,-12203359.0,-20401767.0,-15930572.0,21461684.0,18655260.0,23302358.0,22833376.0,11276727.0,18757245.0,4742922.0,11798441.0,53675.0,-3311819.0,-8136979.0,-10288835.0,,,-20471628.0,-20401767.0,21461684.0,23302358.0,11276727.0,4742922.0,53675.0,-8136979.0,,-12203359.0,21461684.0,22833376.0,4742922.0,-3311819.0,,-20471628.0,21461684.0,11276727.0,53675.0,,-12203359.0,23302358.0,11798441.0,,23302358.0,-12203359.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,-6162199.0,-7185087.0,-5371748.0,-4084163.0,-12846700.0,-1136675.0,-986338.0,-510596.0,23101190.0,-844993.0,7993016.0,3689536.0,20449293.0,2660601.0,21335000.0,33515827.0,,,-6162199.0,-5371748.0,-12846700.0,-986338.0,23101190.0,7993016.0,20449293.0,21335000.0,,-7185087.0,-12846700.0,-510596.0,7993016.0,2660601.0,,-6162199.0,-12846700.0,23101190.0,20449293.0,,-7185087.0,-986338.0,3689536.0,,-986338.0,-7185087.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,0.19996178214555851,0.14282964465131368,0.19302795784125912,0.21845743968115353,0.21686501963347335,0.1776747920869882,0.07554106257360783,,,,,,,,0.14282964465131368,0.21845743968115353,0.1776747920869882,,,,,0.14282964465131368,0.21686501963347335,,,,,0.21845743968115353,,,,0.19302795784125912,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,19572939.0,25302648.0,32381907.0,35690014.0,37121530.0,33217150.0,46532795.0,,,,,,,,25302648.0,35690014.0,33217150.0,,,,,25302648.0,37121530.0,,,,,35690014.0,,,,32381907.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,0.8000382178544415,0.8571703553486864,0.8069720421587409,0.7815425603188465,0.7831349803665266,0.8223252079130118,0.9244589374263922,,,,,,,,0.8571703553486864,0.7815425603188465,0.8223252079130118,,,,,0.8571703553486864,0.7831349803665266,,,,,0.7815425603188465,,,,0.8069720421587409,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,1.1122355789422482,0.722131404420822,0.29462720598099035,0.3963665007909475,0.37900097022880647,0.5407253872259856,0.4538520553632016,,,,,,,,0.722131404420822,0.3963665007909475,0.5407253872259856,,,,,0.722131404420822,0.37900097022880647,,,,,0.3963665007909475,,,,0.29462720598099035,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,0.5131099298773901,0.3093949013999853,0.09779389378436111,0.13822388270936195,0.17695543086576518,0.08912339023518168,0.1158788645719602,,,,,,,,0.3093949013999853,0.13822388270936195,0.08912339023518168,,,,,0.3093949013999853,0.17695543086576518,,,,,0.13822388270936195,,,,0.09779389378436111,,,,,CommonMetricCalculated
