,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,41863000000.0,36212000000.0,34300000000.0,37266000000.0,33014000000.0,38655000000.0,43004000000.0,45754000000.0,47061000000.0,,,,,,,36212000000.0,37266000000.0,38655000000.0,45754000000.0,,,,41863000000.0,37266000000.0,43004000000.0,,,,36212000000.0,38655000000.0,,,,33014000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,16465000000.0,13721000000.0,13067000000.0,14619000000.0,13433000000.0,15357000000.0,18000000000.0,18520000000.0,18324000000.0,,,,,,,13721000000.0,14619000000.0,15357000000.0,18520000000.0,,,,16465000000.0,14619000000.0,18000000000.0,,,,13721000000.0,15357000000.0,,,,13433000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,11774000000.0,11358000000.0,13194000000.0,17440000000.0,17738000000.0,17310000000.0,17218000000.0,16427000000.0,15370000000.0,12834000000.0,11002000000.0,12103000000.0,9731000000.0,12144000000.0,12880000000.0,13972000000.0,14582000000.0,,,11358000000.0,17440000000.0,17310000000.0,16427000000.0,12834000000.0,12103000000.0,12144000000.0,13972000000.0,,13194000000.0,17310000000.0,15370000000.0,12103000000.0,12880000000.0,,11358000000.0,17310000000.0,12834000000.0,12144000000.0,,13194000000.0,16427000000.0,9731000000.0,,16427000000.0,13194000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,7506000000.0,8946000000.0,14243000000.0,11458000000.0,11809000000.0,11477000000.0,9325000000.0,9605000000.0,8136000000.0,6890000000.0,8350000000.0,10786000000.0,9749000000.0,12425000000.0,11686000000.0,12952000000.0,13086000000.0,,,8946000000.0,11458000000.0,11477000000.0,9605000000.0,6890000000.0,10786000000.0,12425000000.0,12952000000.0,,14243000000.0,11477000000.0,8136000000.0,10786000000.0,11686000000.0,,8946000000.0,11477000000.0,6890000000.0,12425000000.0,,14243000000.0,9605000000.0,9749000000.0,,9605000000.0,14243000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,882000000.0,1527000000.0,1656000000.0,,,,,,,,,,1527000000.0,,,,,,882000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,1632000000.0,2040000000.0,2384000000.0,2812000000.0,2723000000.0,2851000000.0,2201000000.0,2239000000.0,1586000000.0,5607000000.0,1749000000.0,1801000000.0,1981000000.0,2621000000.0,2115000000.0,2249000000.0,2437000000.0,,,2040000000.0,2812000000.0,2851000000.0,2239000000.0,5607000000.0,1801000000.0,2621000000.0,2249000000.0,,2384000000.0,2851000000.0,1586000000.0,1801000000.0,2115000000.0,,2040000000.0,2851000000.0,5607000000.0,2621000000.0,,2384000000.0,2239000000.0,1981000000.0,,2239000000.0,2384000000.0,,CommonMetricExtracted
NetIncome,,,,5874000000.0,6906000000.0,11859000000.0,8646000000.0,9086000000.0,8626000000.0,7124000000.0,7366000000.0,6550000000.0,1283000000.0,6476000000.0,8985000000.0,7768000000.0,9804000000.0,9571000000.0,10703000000.0,10649000000.0,,,6906000000.0,8646000000.0,8626000000.0,7366000000.0,1283000000.0,8985000000.0,9804000000.0,10703000000.0,,11859000000.0,8626000000.0,6550000000.0,8985000000.0,9571000000.0,,6906000000.0,8626000000.0,1283000000.0,9804000000.0,,11859000000.0,7366000000.0,7768000000.0,,7366000000.0,11859000000.0,,CommonMetricExtracted
Cash,,,,,9151000000.0,11199000000.0,13891000000.0,13459000000.0,17121000000.0,18010000000.0,15631000000.0,18150000000.0,15358000000.0,11102000000.0,7947000000.0,8566000000.0,10926000000.0,10562000000.0,12363000000.0,12848000000.0,,,11199000000.0,13459000000.0,18010000000.0,18150000000.0,11102000000.0,8566000000.0,10562000000.0,12848000000.0,9151000000.0,13459000000.0,15631000000.0,11102000000.0,10926000000.0,12848000000.0,,13459000000.0,18150000000.0,8566000000.0,12848000000.0,9151000000.0,18010000000.0,7947000000.0,12848000000.0,18010000000.0,12848000000.0,12848000000.0,12848000000.0,CommonMetricExtracted
CurrentReceivables,,,,,3758000000.0,4430000000.0,4920000000.0,4759000000.0,4873000000.0,4466000000.0,3941000000.0,3856000000.0,3667000000.0,3685000000.0,3971000000.0,3144000000.0,3512000000.0,3487000000.0,3410000000.0,3569000000.0,,,4430000000.0,4759000000.0,4466000000.0,3856000000.0,3685000000.0,3144000000.0,3487000000.0,3569000000.0,3758000000.0,4759000000.0,3941000000.0,3685000000.0,3512000000.0,3569000000.0,,4759000000.0,3856000000.0,3144000000.0,3569000000.0,3758000000.0,4466000000.0,3971000000.0,3569000000.0,4466000000.0,3569000000.0,3569000000.0,3569000000.0,CommonMetricExtracted
