,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,77389.0,385406.0,198816.0,70296.0,,,,,,,,,77389.0,198816.0,,,,,,385406.0,,,,,77389.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,40555.0,68046.0,70275.0,42177.0,,,,,,,,,40555.0,70275.0,,,,,,68046.0,,,,,40555.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,0.0,915.0,355920.0,183428.0,,,,,,,,,0.0,355920.0,,,,,,915.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,94966.0,59385.0,259502.0,142353.0,,,,,,,,,94966.0,259502.0,,,,,,59385.0,,,,,94966.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,-136839.0,-60166.0,-1016459.0,-609914.0,,,,,,,,,-136839.0,-1016459.0,,,,,,-60166.0,,,,,-136839.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,0.0,309701.0,897943.0,,,,,,,,,,309701.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,-133331.0,-60166.0,-1315508.0,-1507469.0,,,,,,,,,-133331.0,-1315508.0,,,,,,-60166.0,,,,,-133331.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,42463.0,14864.0,4911.0,1556.0,,,,,,,,,14864.0,1556.0,,,,,42463.0,1556.0,,,,,1556.0,,,,1556.0,,1556.0,1556.0,1556.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,0.0,19078.0,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,94220.0,83926.0,,,,,,,,,,83926.0,,,,,,83926.0,,,,,83926.0,,,,83926.0,,83926.0,83926.0,83926.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,107492.0,91269.0,541460.0,107706.0,,,,,,,,,91269.0,107706.0,,,,,107492.0,107706.0,,,,,107706.0,,,,107706.0,,107706.0,107706.0,107706.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,0.0,5208.0,5095.0,2524.0,,,,,,,,,5208.0,2524.0,,,,,0.0,2524.0,,,,,2524.0,,,,2524.0,,2524.0,2524.0,2524.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,21352.0,19469.0,14937.0,10486.0,,,,,,,,,19469.0,10486.0,,,,,21352.0,10486.0,,,,,10486.0,,,,10486.0,,10486.0,10486.0,10486.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,160642.0,188075.0,1089496.0,120716.0,,,,,,,,,188075.0,120716.0,,,,,160642.0,120716.0,,,,,120716.0,,,,120716.0,,120716.0,120716.0,120716.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,11896.0,165392.0,553942.0,673158.0,,,,,,,,,165392.0,673158.0,,,,,11896.0,673158.0,,,,,673158.0,,,,673158.0,,673158.0,673158.0,673158.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,1889179.0,2091241.0,3010411.0,3394451.0,,,,,,,,,2091241.0,3394451.0,,,,,1889179.0,3394451.0,,,,,3394451.0,,,,3394451.0,,3394451.0,3394451.0,3394451.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,0.0,33721.0,0.0,0.0,,,,,,,,,33721.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,1844578.0,1920873.0,2722831.0,3153293.0,,,,,,,,,1920873.0,3153293.0,,,,,1844578.0,3153293.0,,,,,3153293.0,,,,3153293.0,,3153293.0,3153293.0,3153293.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,-1555251.0,-1683936.0,-1732798.0,-1633335.0,-3032577.0,,,,,,,,-1555251.0,-1732798.0,-3032577.0,,,,,-1683936.0,-3032577.0,,,,-1555251.0,-3032577.0,,,,-3032577.0,,-3032577.0,-3032577.0,-3032577.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
