,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1678898000.0,2147770000.0,2475807000.0,2371482000.0,2796166000.0,4472697000.0,5207143000.0,3784808000.0,3741208000.0,,,,,,,2147770000.0,2371482000.0,4472697000.0,3784808000.0,,,,1678898000.0,2371482000.0,5207143000.0,,,,2147770000.0,4472697000.0,,,,2796166000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1249995000.0,1654656000.0,1955463000.0,1832280000.0,2090076000.0,3429662000.0,3933854000.0,3008618000.0,2861493000.0,,,,,,,1654656000.0,1832280000.0,3429662000.0,3008618000.0,,,,1249995000.0,1832280000.0,3933854000.0,,,,1654656000.0,3429662000.0,,,,2090076000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,80742000.0,91173000.0,109071000.0,132935000.0,157482000.0,186032000.0,228053000.0,278833000.0,321556000.0,338992000.0,483156000.0,644625000.0,720261000.0,652762000.0,661478000.0,,,,91173000.0,132935000.0,186032000.0,278833000.0,338992000.0,644625000.0,652762000.0,,80742000.0,132935000.0,228053000.0,338992000.0,720261000.0,,,132935000.0,278833000.0,644625000.0,,80742000.0,186032000.0,483156000.0,,186032000.0,80742000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,45428000.0,48548000.0,58132000.0,78298000.0,95487000.0,116254000.0,200850000.0,214281000.0,198788000.0,200210000.0,222934000.0,398410000.0,553028000.0,123428000.0,218237000.0,,,,48548000.0,78298000.0,116254000.0,214281000.0,200210000.0,398410000.0,123428000.0,,45428000.0,78298000.0,200850000.0,200210000.0,553028000.0,,,78298000.0,214281000.0,398410000.0,,45428000.0,116254000.0,222934000.0,,116254000.0,45428000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,16366000.0,27573000.0,40424000.0,28899000.0,,,,,,,,,16366000.0,40424000.0,,,,,,27573000.0,,,,,16366000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,17176000.0,18197000.0,20462000.0,27828000.0,32791000.0,40024000.0,69501000.0,79960000.0,43801000.0,44905000.0,51041000.0,94305000.0,130481000.0,18809000.0,46471000.0,,,,18197000.0,27828000.0,40024000.0,79960000.0,44905000.0,94305000.0,18809000.0,,17176000.0,27828000.0,69501000.0,44905000.0,130481000.0,,,27828000.0,79960000.0,94305000.0,,17176000.0,40024000.0,51041000.0,,40024000.0,17176000.0,,CommonMetricExtracted
NetIncome,,,,,,28034000.0,30059000.0,37340000.0,50119000.0,62266000.0,74345000.0,129671000.0,132884000.0,148551000.0,146509000.0,158440000.0,287739000.0,394974000.0,64195000.0,142867000.0,,,,30059000.0,50119000.0,74345000.0,132884000.0,146509000.0,287739000.0,64195000.0,,28034000.0,50119000.0,129671000.0,146509000.0,394974000.0,,,50119000.0,132884000.0,287739000.0,,28034000.0,74345000.0,158440000.0,,74345000.0,28034000.0,,CommonMetricExtracted
Cash,,,,,52365000.0,38880000.0,6584000.0,9939000.0,66280000.0,4000.0,12305000.0,86170000.0,26049000.0,14928000.0,,51821000.0,62896000.0,47499000.0,66157000.0,165756000.0,,,38880000.0,9939000.0,4000.0,86170000.0,14928000.0,51821000.0,47499000.0,165756000.0,52365000.0,9939000.0,12305000.0,14928000.0,62896000.0,165756000.0,,9939000.0,86170000.0,51821000.0,165756000.0,52365000.0,4000.0,,165756000.0,4000.0,165756000.0,165756000.0,165756000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,22620000.0,21846000.0,31015000.0,37987000.0,41509000.0,57374000.0,82157000.0,121812000.0,,268625000.0,319782000.0,214262000.0,214707000.0,199560000.0,,,,21846000.0,37987000.0,57374000.0,121812000.0,268625000.0,214262000.0,199560000.0,,21846000.0,41509000.0,121812000.0,319782000.0,199560000.0,,21846000.0,57374000.0,268625000.0,199560000.0,,37987000.0,,199560000.0,37987000.0,199560000.0,199560000.0,199560000.0,CommonMetricExtracted
