,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,12925000.0,28809000.0,,,,,,,,,,12925000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,9123000.0,37932000.0,72787000.0,59504000.0,29801000.0,,,,,,,,,37932000.0,59504000.0,,,,,,72787000.0,,,,,37932000.0,,,,9123000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-54873000.0,-10317000.0,4587000.0,10540000.0,8842000.0,,,,,,,,,-10317000.0,10540000.0,,,,,,4587000.0,,,,,-10317000.0,,,,-54873000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,0.0,-1048000.0,1048000.0,190000.0,,,,,,,,,0.0,1048000.0,,,,,,-1048000.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,-70760000.0,-101052000.0,-69968000.0,-49769000.0,,,,,,,,,-70760000.0,-69968000.0,,,,,,-101052000.0,,,,,-70760000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,19782000.0,376976000.0,47730000.0,184259000.0,20158000.0,,,,,,,,19782000.0,47730000.0,20158000.0,,,,,376976000.0,20158000.0,,,,19782000.0,20158000.0,,,,20158000.0,,20158000.0,20158000.0,20158000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,1286000.0,4760000.0,7136000.0,2160000.0,2773000.0,,,,,,,,1286000.0,7136000.0,2773000.0,,,,,4760000.0,2773000.0,,,,1286000.0,2773000.0,,,,2773000.0,,2773000.0,2773000.0,2773000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,21103000.0,381736000.0,275365000.0,188021000.0,211917000.0,,,,,,,,21103000.0,275365000.0,211917000.0,,,,,381736000.0,211917000.0,,,,21103000.0,211917000.0,,,,211917000.0,,211917000.0,211917000.0,211917000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,1461000.0,6507000.0,22630000.0,54000.0,651000.0,,,,,,,,1461000.0,22630000.0,651000.0,,,,,6507000.0,651000.0,,,,1461000.0,651000.0,,,,651000.0,,651000.0,651000.0,651000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,22564000.0,401987000.0,321902000.0,188456000.0,215304000.0,,,,,,,,22564000.0,321902000.0,215304000.0,,,,,401987000.0,215304000.0,,,,22564000.0,215304000.0,,,,215304000.0,,215304000.0,215304000.0,215304000.0,CommonMetricExtracted
