,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,4904030000.0,5575440000.0,5763087000.0,4452609000.0,5763936000.0,6168600000.0,6179000000.0,6355300000.0,,,,,,,4904030000.0,5763087000.0,5763936000.0,6179000000.0,,,,,5763087000.0,6168600000.0,,,,4904030000.0,5763936000.0,,,,4452609000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,2341301000.0,2577465000.0,2661714000.0,2099700000.0,2417225000.0,2619800000.0,2663300000.0,2539400000.0,,,,,,,2341301000.0,2661714000.0,2417225000.0,2663300000.0,,,,,2661714000.0,2619800000.0,,,,2341301000.0,2417225000.0,,,,2099700000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1595317000.0,1841562000.0,1955846000.0,1865352000.0,1884965000.0,1906164000.0,1823863000.0,1866805000.0,2095560000.0,2460915000.0,2534698000.0,2347628000.0,2660500000.0,2893200000.0,3072200000.0,3246200000.0,,,1595317000.0,1955846000.0,1884965000.0,1823863000.0,2095560000.0,2534698000.0,2660500000.0,3072200000.0,,1841562000.0,1884965000.0,1866805000.0,2534698000.0,2893200000.0,,1595317000.0,1884965000.0,2095560000.0,2660500000.0,,1841562000.0,1823863000.0,2347628000.0,,1823863000.0,1841562000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,378088000.0,381361000.0,336393000.0,333979000.0,465507000.0,313851000.0,431047000.0,462207000.0,480067000.0,540411000.0,566675000.0,-85100000.0,686211000.0,646500000.0,353300000.0,264100000.0,,,378088000.0,336393000.0,465507000.0,431047000.0,480067000.0,566675000.0,686211000.0,353300000.0,,381361000.0,465507000.0,462207000.0,566675000.0,646500000.0,,378088000.0,465507000.0,480067000.0,686211000.0,,381361000.0,431047000.0,-85100000.0,,431047000.0,381361000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,25700000.0,45900000.0,41800000.0,,,,,,,,,,45900000.0,,,,,,25700000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,39213000.0,86152000.0,67715000.0,54922000.0,94477000.0,49545000.0,100507000.0,116051000.0,64225000.0,214778000.0,82604000.0,-62600000.0,26700000.0,80500000.0,15600000.0,8400000.0,,,39213000.0,67715000.0,94477000.0,100507000.0,64225000.0,82604000.0,26700000.0,15600000.0,,86152000.0,94477000.0,116051000.0,82604000.0,80500000.0,,39213000.0,94477000.0,64225000.0,26700000.0,,86152000.0,100507000.0,-62600000.0,,100507000.0,86152000.0,,CommonMetricExtracted
NetIncome,,,,,150712000.0,149446000.0,135112000.0,140959000.0,228136000.0,104309000.0,209891000.0,291209000.0,284556000.0,285244000.0,394980000.0,-127100000.0,553541000.0,569100000.0,249600000.0,210600000.0,,,150712000.0,135112000.0,228136000.0,209891000.0,284556000.0,394980000.0,553541000.0,249600000.0,,149446000.0,228136000.0,291209000.0,394980000.0,569100000.0,,150712000.0,228136000.0,284556000.0,553541000.0,,149446000.0,209891000.0,-127100000.0,,209891000.0,149446000.0,,CommonMetricExtracted
Cash,,,,210812000.0,270804000.0,269726000.0,204542000.0,406134000.0,489258000.0,298255000.0,318571000.0,375563000.0,633622000.0,713120000.0,934237000.0,1497200000.0,810300000.0,429600000.0,398800000.0,690000000.0,,210812000.0,269726000.0,406134000.0,298255000.0,375563000.0,713120000.0,1497200000.0,429600000.0,690000000.0,270804000.0,406134000.0,318571000.0,713120000.0,810300000.0,690000000.0,210812000.0,406134000.0,375563000.0,1497200000.0,690000000.0,270804000.0,298255000.0,934237000.0,690000000.0,298255000.0,690000000.0,690000000.0,690000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,553385000.0,654903000.0,500672000.0,446671000.0,481981000.0,498196000.0,479018000.0,485485000.0,534164000.0,782846000.0,540227000.0,707625000.0,697000000.0,752700000.0,710000000.0,,,553385000.0,500672000.0,481981000.0,479018000.0,534164000.0,540227000.0,697000000.0,710000000.0,,500672000.0,498196000.0,534164000.0,707625000.0,710000000.0,,500672000.0,479018000.0,540227000.0,710000000.0,,481981000.0,782846000.0,710000000.0,481981000.0,710000000.0,710000000.0,710000000.0,CommonMetricExtracted
