,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,1588000.0,3951000.0,3746000.0,5869000.0,7753000.0,6545000.0,4873000.0,4393000.0,5966000.0,5511000.0,13854000.0,25663000.0,,,,,1588000.0,3746000.0,7753000.0,4873000.0,5966000.0,13854000.0,,,1588000.0,5869000.0,4873000.0,5511000.0,,,1588000.0,7753000.0,5966000.0,,,3746000.0,4393000.0,,3746000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,2017000.0,4106000.0,3532000.0,5133000.0,4652000.0,3720000.0,2147000.0,2204000.0,3063000.0,3606000.0,9401000.0,17447000.0,,,,,2017000.0,3532000.0,4652000.0,2147000.0,3063000.0,9401000.0,,,2017000.0,5133000.0,2147000.0,3606000.0,,,2017000.0,4652000.0,3063000.0,,,3532000.0,2204000.0,,3532000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,4091000.0,7389000.0,13056000.0,13961000.0,11360000.0,7897000.0,6167000.0,5754000.0,6993000.0,9842000.0,13922000.0,17949000.0,,,,,4091000.0,13056000.0,11360000.0,6167000.0,6993000.0,13922000.0,,,4091000.0,13961000.0,6167000.0,9842000.0,,,4091000.0,11360000.0,6993000.0,,,13056000.0,5754000.0,,13056000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,2463000.0,8563000.0,5937000.0,9028000.0,6042000.0,7349000.0,5348000.0,3459000.0,2939000.0,4031000.0,4148000.0,4625000.0,,,,,2463000.0,5937000.0,6042000.0,5348000.0,2939000.0,4148000.0,,,2463000.0,9028000.0,5348000.0,4031000.0,,,2463000.0,6042000.0,2939000.0,,,5937000.0,3459000.0,,5937000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,-12155000.0,-21623000.0,-25362000.0,-32500000.0,-24598000.0,-21680000.0,-15544000.0,-12925000.0,-12642000.0,-19102000.0,-22145000.0,-28899000.0,,,,,-12155000.0,-25362000.0,-24598000.0,-15544000.0,-12642000.0,-22145000.0,,,-12155000.0,-32500000.0,-15544000.0,-19102000.0,,,-12155000.0,-24598000.0,-12642000.0,,,-25362000.0,-12925000.0,,-25362000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,22000.0,45000.0,53000.0,3000.0,119000.0,-5000.0,7000.0,51000.0,94000.0,467000.0,-12000.0,43000.0,,,,,22000.0,53000.0,119000.0,7000.0,94000.0,-12000.0,,,22000.0,3000.0,7000.0,467000.0,,,22000.0,119000.0,94000.0,,,53000.0,51000.0,,53000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,-12177000.0,-21668000.0,-25415000.0,-32503000.0,-24717000.0,-21675000.0,-15551000.0,-12976000.0,-12736000.0,-19569000.0,-22133000.0,-28942000.0,,,,,-12177000.0,-25415000.0,-24717000.0,-15551000.0,-12736000.0,-22133000.0,,,-12177000.0,-32503000.0,-15551000.0,-19569000.0,,,-12177000.0,-24717000.0,-12736000.0,,,-25415000.0,-12976000.0,,-25415000.0,,,CommonMetricExtracted
Cash,,,,,,,,769000.0,8860000.0,,17869000.0,23678000.0,14567000.0,9546000.0,16253000.0,20350000.0,88337000.0,67896000.0,28083000.0,6746000.0,,,,769000.0,,23678000.0,9546000.0,20350000.0,67896000.0,6746000.0,,769000.0,17869000.0,9546000.0,88337000.0,6746000.0,,769000.0,23678000.0,20350000.0,6746000.0,,,16253000.0,6746000.0,,6746000.0,6746000.0,6746000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,2146000.0,1254000.0,1103000.0,758000.0,794000.0,684000.0,585000.0,1036000.0,3120000.0,6004000.0,,,,,,1254000.0,758000.0,684000.0,1036000.0,6004000.0,,,2146000.0,758000.0,585000.0,6004000.0,,,1254000.0,684000.0,6004000.0,,,794000.0,6004000.0,,6004000.0,6004000.0,6004000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,1227000.0,1291000.0,1625000.0,693000.0,903000.0,672000.0,610000.0,649000.0,2366000.0,1624000.0,,,,,,1291000.0,693000.0,672000.0,649000.0,1624000.0,,,1227000.0,693000.0,610000.0,1624000.0,,,1291000.0,672000.0,1624000.0,,,903000.0,1624000.0,,1624000.0,1624000.0,1624000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,2534000.0,3264000.0,3643000.0,2240000.0,3123000.0,3542000.0,2989000.0,2929000.0,5653000.0,6723000.0,,,,,,3264000.0,2240000.0,3542000.0,2929000.0,6723000.0,,,2534000.0,2240000.0,2989000.0,6723000.0,,,3264000.0,3542000.0,6723000.0,,,3123000.0,6723000.0,,6723000.0,6723000.0,6723000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,23776000.0,29487000.0,20938000.0,13237000.0,21073000.0,25248000.0,92521000.0,72510000.0,39222000.0,21294000.0,,,,,,29487000.0,13237000.0,25248000.0,72510000.0,21294000.0,,,23776000.0,13237000.0,92521000.0,21294000.0,,,29487000.0,25248000.0,21294000.0,,,21073000.0,21294000.0,,21294000.0,21294000.0,21294000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,1328000.0,1258000.0,840000.0,626000.0,501000.0,437000.0,284000.0,196000.0,1262000.0,867000.0,,,,,,1258000.0,626000.0,437000.0,196000.0,867000.0,,,1328000.0,626000.0,284000.0,867000.0,,,1258000.0,437000.0,867000.0,,,501000.0,867000.0,,867000.0,867000.0,867000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,0.0,7538000.0,7538000.0,,,,,,,,,0.0,7538000.0,,,,,,7538000.0,,,,,7538000.0,,,,7538000.0,,7538000.0,7538000.0,7538000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,0.0,12525000.0,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,25574000.0,31763000.0,22863000.0,14962000.0,24372000.0,28067000.0,94750000.0,74236000.0,63192000.0,30487000.0,,,,,,31763000.0,14962000.0,28067000.0,74236000.0,30487000.0,,,25574000.0,14962000.0,94750000.0,30487000.0,,,31763000.0,28067000.0,30487000.0,,,24372000.0,30487000.0,,30487000.0,30487000.0,30487000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,2474000.0,3424000.0,1811000.0,2328000.0,2698000.0,2268000.0,1384000.0,1950000.0,5069000.0,5022000.0,,,,,,3424000.0,2328000.0,2268000.0,1950000.0,5022000.0,,,2474000.0,2328000.0,1384000.0,5022000.0,,,3424000.0,2268000.0,5022000.0,,,2698000.0,5022000.0,,5022000.0,5022000.0,5022000.0,CommonMetricExtracted
