,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,5808300000.0,6011600000.0,8680100000.0,9641800000.0,10441400000.0,11333400000.0,11554800000.0,13978500000.0,16120900000.0,14876800000.0,12161600000.0,13008900000.0,,,,,5808300000.0,8680100000.0,10441400000.0,11554800000.0,16120900000.0,12161600000.0,,,5808300000.0,9641800000.0,11554800000.0,14876800000.0,,,5808300000.0,10441400000.0,16120900000.0,,,8680100000.0,13978500000.0,,8680100000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,3585100000.0,3808500000.0,5776800000.0,6698900000.0,7216200000.0,8157000000.0,8302300000.0,9025700000.0,10496600000.0,10491700000.0,8796700000.0,9384500000.0,,,,,3585100000.0,5776800000.0,7216200000.0,8302300000.0,10496600000.0,8796700000.0,,,3585100000.0,6698900000.0,8302300000.0,10491700000.0,,,3585100000.0,7216200000.0,10496600000.0,,,5776800000.0,9025700000.0,,5776800000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,958900000.0,1034300000.0,1159600000.0,1114600000.0,1128800000.0,1198200000.0,1628100000.0,1630200000.0,1812400000.0,1570900000.0,1624500000.0,1729300000.0,1952100000.0,1996600000.0,2021400000.0,2230000000.0,,,958900000.0,1159600000.0,1128800000.0,1628100000.0,1812400000.0,1624500000.0,1952100000.0,2021400000.0,,1034300000.0,1128800000.0,1630200000.0,1624500000.0,1996600000.0,,958900000.0,1128800000.0,1812400000.0,1952100000.0,,1034300000.0,1628100000.0,1729300000.0,,1628100000.0,1034300000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,935900000.0,978800000.0,948400000.0,1023500000.0,990900000.0,910400000.0,1002900000.0,1312400000.0,1364200000.0,1325700000.0,1330200000.0,2445400000.0,3259500000.0,1773900000.0,725600000.0,1086700000.0,,,935900000.0,948400000.0,990900000.0,1002900000.0,1364200000.0,1330200000.0,3259500000.0,725600000.0,,978800000.0,990900000.0,1312400000.0,1330200000.0,1773900000.0,,935900000.0,990900000.0,1364200000.0,3259500000.0,,978800000.0,1002900000.0,2445400000.0,,1002900000.0,978800000.0,,CommonMetricExtracted
Interest,,,,,62900000.0,70000000.0,87500000.0,94500000.0,96500000.0,109500000.0,274900000.0,219100000.0,235100000.0,244200000.0,240700000.0,207400000.0,212100000.0,180300000.0,199600000.0,208300000.0,,,62900000.0,87500000.0,96500000.0,274900000.0,235100000.0,240700000.0,212100000.0,199600000.0,,70000000.0,96500000.0,219100000.0,240700000.0,180300000.0,,62900000.0,96500000.0,235100000.0,212100000.0,,70000000.0,274900000.0,207400000.0,,274900000.0,70000000.0,,CommonMetricExtracted
Taxes,,,,,329000000.0,344000000.0,333000000.0,359400000.0,340200000.0,314100000.0,294100000.0,372300000.0,-139100000.0,384400000.0,280000000.0,662100000.0,747100000.0,302000000.0,188500000.0,212400000.0,,,329000000.0,333000000.0,340200000.0,294100000.0,-139100000.0,280000000.0,747100000.0,188500000.0,,344000000.0,340200000.0,372300000.0,280000000.0,302000000.0,,329000000.0,340200000.0,-139100000.0,747100000.0,,344000000.0,294100000.0,662100000.0,,294100000.0,344000000.0,,CommonMetricExtracted
NetIncome,,,,,555600000.0,571600000.0,533100000.0,584800000.0,575400000.0,512600000.0,438700000.0,733200000.0,1274000000.0,883900000.0,824900000.0,1557000000.0,2379500000.0,1280600000.0,419200000.0,747100000.0,,,555600000.0,533100000.0,575400000.0,438700000.0,1274000000.0,824900000.0,2379500000.0,419200000.0,,571600000.0,575400000.0,733200000.0,824900000.0,1280600000.0,,555600000.0,575400000.0,1274000000.0,2379500000.0,,571600000.0,438700000.0,1557000000.0,,438700000.0,571600000.0,,CommonMetricExtracted
Cash,,,,219700000.0,148500000.0,230700000.0,159300000.0,466800000.0,404000000.0,580000000.0,716400000.0,433600000.0,316700000.0,426800000.0,337500000.0,1320800000.0,1472700000.0,430000000.0,536800000.0,1518700000.0,,219700000.0,230700000.0,466800000.0,580000000.0,433600000.0,426800000.0,1320800000.0,430000000.0,1518700000.0,148500000.0,466800000.0,716400000.0,426800000.0,1472700000.0,1518700000.0,219700000.0,466800000.0,433600000.0,1320800000.0,1518700000.0,148500000.0,580000000.0,337500000.0,1518700000.0,580000000.0,1518700000.0,1518700000.0,1518700000.0,CommonMetricExtracted
CurrentReceivables,,,,,,655600000.0,699800000.0,718500000.0,784700000.0,815700000.0,1374500000.0,1518700000.0,1847500000.0,1862300000.0,2025300000.0,3016600000.0,2978300000.0,3017400000.0,2098700000.0,2097000000.0,,,655600000.0,718500000.0,815700000.0,1518700000.0,1862300000.0,3016600000.0,3017400000.0,2097000000.0,,718500000.0,1374500000.0,1862300000.0,2978300000.0,2097000000.0,,718500000.0,1518700000.0,3016600000.0,2097000000.0,,815700000.0,2025300000.0,2097000000.0,815700000.0,2097000000.0,2097000000.0,2097000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,95700000.0,79600000.0,74600000.0,106900000.0,157500000.0,340300000.0,321200000.0,421400000.0,309000000.0,373700000.0,364800000.0,478100000.0,707000000.0,655300000.0,697600000.0,,,95700000.0,74600000.0,157500000.0,321200000.0,309000000.0,364800000.0,707000000.0,697600000.0,,74600000.0,340300000.0,309000000.0,478100000.0,697600000.0,,74600000.0,321200000.0,364800000.0,697600000.0,,157500000.0,373700000.0,697600000.0,157500000.0,697600000.0,697600000.0,697600000.0,CommonMetricExtracted
Inventory,,,,,,103400000.0,110800000.0,121000000.0,136500000.0,139500000.0,191000000.0,205200000.0,227600000.0,237300000.0,244700000.0,423200000.0,401400000.0,470600000.0,474600000.0,493200000.0,,,103400000.0,121000000.0,139500000.0,205200000.0,237300000.0,423200000.0,470600000.0,493200000.0,,121000000.0,191000000.0,237300000.0,401400000.0,493200000.0,,121000000.0,205200000.0,423200000.0,493200000.0,,139500000.0,244700000.0,493200000.0,139500000.0,493200000.0,493200000.0,493200000.0,CommonMetricExtracted
CurrentAssets,,,,,,1143800000.0,1084800000.0,1391800000.0,1432100000.0,1692700000.0,2663000000.0,2478700000.0,2733800000.0,2835400000.0,2981200000.0,5125400000.0,5330500000.0,4625000000.0,3765400000.0,4806500000.0,,,1143800000.0,1391800000.0,1692700000.0,2478700000.0,2835400000.0,5125400000.0,4625000000.0,4806500000.0,,1391800000.0,2663000000.0,2835400000.0,5330500000.0,4806500000.0,,1391800000.0,2478700000.0,5125400000.0,4806500000.0,,1692700000.0,2981200000.0,4806500000.0,1692700000.0,4806500000.0,4806500000.0,4806500000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,586900000.0,578300000.0,630800000.0,707400000.0,786500000.0,1747400000.0,1718600000.0,1748900000.0,1784700000.0,2636600000.0,2729600000.0,2815400000.0,2956200000.0,2911800000.0,3045400000.0,,,586900000.0,630800000.0,786500000.0,1718600000.0,1784700000.0,2729600000.0,2956200000.0,3045400000.0,,630800000.0,1747400000.0,1784700000.0,2815400000.0,3045400000.0,,630800000.0,1718600000.0,2729600000.0,3045400000.0,,786500000.0,2636600000.0,3045400000.0,786500000.0,3045400000.0,3045400000.0,3045400000.0,CommonMetricExtracted
