,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,20371900000.0,21836000000.0,23076000000.0,24286500000.0,22603400000.0,23113100000.0,19615600000.0,19958700000.0,21222100000.0,22871300000.0,24555700000.0,22319500000.0,24539800000.0,28318400000.0,28541400000.0,34124100000.0,45042700000.0,,,21836000000.0,24286500000.0,23113100000.0,19958700000.0,22871300000.0,22319500000.0,28318400000.0,34124100000.0,,23076000000.0,23113100000.0,21222100000.0,22319500000.0,28541400000.0,,21836000000.0,23113100000.0,22871300000.0,28318400000.0,,23076000000.0,19958700000.0,24539800000.0,,19958700000.0,23076000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,5710100000.0,6150800000.0,6430000000.0,4721200000.0,5483300000.0,7312800000.0,6629800000.0,7082200000.0,8418300000.0,,,,,,,6150800000.0,4721200000.0,7312800000.0,7082200000.0,,,,5710100000.0,4721200000.0,6629800000.0,,,,6150800000.0,7312800000.0,,,,5483300000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,6626400000.0,6892500000.0,7053400000.0,7879900000.0,7513500000.0,7125600000.0,6620800000.0,6533000000.0,6528000000.0,6680100000.0,6631800000.0,6213800000.0,6121200000.0,6431600000.0,6440400000.0,7403100000.0,8593800000.0,,,6892500000.0,7879900000.0,7125600000.0,6533000000.0,6680100000.0,6213800000.0,6431600000.0,7403100000.0,,7053400000.0,7125600000.0,6528000000.0,6213800000.0,6440400000.0,,6892500000.0,7125600000.0,6680100000.0,6431600000.0,,7053400000.0,6533000000.0,6121200000.0,,6533000000.0,7053400000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,6930700000.0,7190800000.0,9313400000.0,10990600000.0,,,,,,,,,6930700000.0,9313400000.0,,,,,,7190800000.0,,,,,6930700000.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,5889300000.0,3000300000.0,2790000000.0,3374000000.0,2304800000.0,3795700000.0,5265900000.0,7229900000.0,6155500000.0,6806400000.0,6554600000.0,12680400000.0,,,,,5889300000.0,2790000000.0,2304800000.0,5265900000.0,6155500000.0,6554600000.0,,,5889300000.0,3374000000.0,5265900000.0,6806400000.0,,,5889300000.0,2304800000.0,6155500000.0,,,2790000000.0,7229900000.0,,2790000000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,764300000.0,1029000000.0,1455700000.0,1001800000.0,1319600000.0,1204500000.0,609800000.0,381600000.0,636400000.0,2401500000.0,563700000.0,628000000.0,1036200000.0,573800000.0,561600000.0,1314200000.0,2090400000.0,,,1029000000.0,1001800000.0,1204500000.0,381600000.0,2401500000.0,628000000.0,573800000.0,1314200000.0,,1455700000.0,1204500000.0,636400000.0,628000000.0,561600000.0,,1029000000.0,1204500000.0,2401500000.0,573800000.0,,1455700000.0,381600000.0,1036200000.0,,381600000.0,1455700000.0,,CommonMetricExtracted
NetIncome,,,,-2071900000.0,4328800000.0,5069500000.0,4347700000.0,4088600000.0,4684800000.0,2390500000.0,2408400000.0,2737600000.0,-204100000.0,3232000000.0,8318400000.0,6193700000.0,5581700000.0,6244800000.0,5240400000.0,10590000000.0,,,4328800000.0,4347700000.0,4684800000.0,2408400000.0,-204100000.0,8318400000.0,5581700000.0,5240400000.0,,5069500000.0,4684800000.0,2737600000.0,8318400000.0,6244800000.0,,4328800000.0,4684800000.0,-204100000.0,5581700000.0,,5069500000.0,2408400000.0,6193700000.0,,2408400000.0,5069500000.0,,CommonMetricExtracted
Cash,,,3220500000.0,5496700000.0,4462900000.0,5993200000.0,5922500000.0,4018800000.0,3830200000.0,,3666400000.0,4582100000.0,6536200000.0,7998200000.0,,3657100000.0,3818500000.0,2067000000.0,2818600000.0,3268400000.0,,5496700000.0,5993200000.0,4018800000.0,,4582100000.0,7998200000.0,3657100000.0,2067000000.0,3268400000.0,4462900000.0,4018800000.0,3666400000.0,7998200000.0,3818500000.0,3268400000.0,5496700000.0,4018800000.0,4582100000.0,3657100000.0,3268400000.0,4462900000.0,,,3268400000.0,,3268400000.0,3268400000.0,3268400000.0,CommonMetricExtracted
CurrentReceivables,,,,,3343300000.0,3493800000.0,3597700000.0,3336300000.0,3434400000.0,,3513000000.0,4029400000.0,4546300000.0,5246500000.0,,5875300000.0,6672800000.0,8558900000.0,11336200000.0,13275400000.0,,,3493800000.0,3336300000.0,,4029400000.0,5246500000.0,5875300000.0,8558900000.0,13275400000.0,3343300000.0,3336300000.0,3513000000.0,5246500000.0,6672800000.0,13275400000.0,,3336300000.0,4029400000.0,5875300000.0,13275400000.0,3343300000.0,,,13275400000.0,,13275400000.0,13275400000.0,13275400000.0,CommonMetricExtracted
