,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,331378000.0,343374000.0,347337000.0,339410000.0,425208000.0,935061000.0,1296429000.0,1533910000.0,,,,,,,331378000.0,347337000.0,425208000.0,1296429000.0,,,,,347337000.0,935061000.0,,,,331378000.0,425208000.0,,,,339410000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,169243000.0,168489000.0,172526000.0,200649000.0,237513000.0,353358000.0,586886000.0,545619000.0,,,,,,,169243000.0,172526000.0,237513000.0,586886000.0,,,,,172526000.0,353358000.0,,,,169243000.0,237513000.0,,,,200649000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,35116000.0,34740000.0,36542000.0,42315000.0,43159000.0,41888000.0,40901000.0,68422000.0,100243000.0,141736000.0,177940000.0,,,,,,34740000.0,42315000.0,41888000.0,68422000.0,141736000.0,,,,36542000.0,41888000.0,100243000.0,,,,42315000.0,68422000.0,,,34740000.0,40901000.0,,34740000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,13673000.0,14358000.0,12203000.0,18125000.0,17071000.0,20018000.0,32788000.0,44966000.0,311681000.0,77707000.0,168098000.0,,,,,,14358000.0,18125000.0,20018000.0,44966000.0,77707000.0,,,,12203000.0,20018000.0,311681000.0,,,,18125000.0,44966000.0,,,14358000.0,32788000.0,,14358000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,39417000.0,42530000.0,56588000.0,51853000.0,64488000.0,51661000.0,-4198000.0,-60825000.0,36195000.0,364642000.0,456979000.0,,,,,,42530000.0,51853000.0,51661000.0,-60825000.0,364642000.0,,,,56588000.0,51661000.0,36195000.0,,,,51853000.0,-60825000.0,,,42530000.0,-4198000.0,,42530000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,7185000.0,20019000.0,19669000.0,,,,,,,,,,20019000.0,,,,,,7185000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,1195000.0,2968000.0,1532000.0,-83746000.0,9030000.0,-3040000.0,1994000.0,-3759000.0,-1348000.0,84282000.0,118535000.0,,,,,,2968000.0,-83746000.0,-3040000.0,-3759000.0,84282000.0,,,,1532000.0,-3040000.0,-1348000.0,,,,-83746000.0,-3759000.0,,,2968000.0,1994000.0,,2968000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,123385000.0,40518000.0,31667000.0,-13473000.0,-71279000.0,28067000.0,326661000.0,312442000.0,,,,,,,123385000.0,31667000.0,-71279000.0,326661000.0,,,,,31667000.0,28067000.0,,,,123385000.0,-71279000.0,,,,-13473000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,18578000.0,19739000.0,28596000.0,51178000.0,76290000.0,113401000.0,92919000.0,79612000.0,98508000.0,415652000.0,713656000.0,912814000.0,,,,,19739000.0,51178000.0,113401000.0,79612000.0,415652000.0,912814000.0,,,28596000.0,113401000.0,98508000.0,912814000.0,,,51178000.0,79612000.0,912814000.0,,19739000.0,92919000.0,912814000.0,19739000.0,912814000.0,912814000.0,912814000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,37293000.0,36818000.0,40259000.0,43753000.0,43529000.0,54002000.0,89336000.0,213397000.0,284292000.0,321258000.0,,,,,,36818000.0,43753000.0,54002000.0,213397000.0,321258000.0,,,37293000.0,43753000.0,89336000.0,321258000.0,,,36818000.0,54002000.0,321258000.0,,,43529000.0,321258000.0,,321258000.0,321258000.0,321258000.0,CommonMetricExtracted
